price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Hướng,Mặt tiền
12 tỷ VNĐ,Đường Phố Vọng phường Đồng Tâm, 50m2, 6, 6, 5, 5,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499932.5642626,,
"2,7 tỷ VNĐ","Xã Quang Trung, huyện Phú Xuyên, TP. Hà Nội", 3027m2, 7, 1, 2, 1,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499934.087608, Đông bắc, 36
"8,8 tỷ VNĐ",Bạch Mai, 75m2, 6, 4, 5, 3,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499934.9994802,, 3
,"Nguyễn Trãi, Thanh Xuân, Hà Nội", 60m2,, 5, 4, 4,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499935.8476787,, 6
"2,45 tỷ VNĐ",Đường Mễ Trì Thượng phường Mễ Trì, 91m2, 6, 1, 3, 2,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499938.976626,, 8
"4,2 tỷ VNĐ",Đường Hoàng Như Tiếp phường Bồ Đề, 35m2, 3, 5, 4, 4,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499941.1910021,, 3
"4,18 tỷ VNĐ","205 Phú Diễn, phường Phú Diễn, Bác Từ Liêm", 35m2, 6, 5, 4, 4,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499942.256208,, 3
"5,35 tỷ VNĐ",Đường Nguyễn Văn Linh phường Phúc Đồng, 40m2, 7, 5, 3, 4,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499943.0881338,, 4
"2,346 tỷ VNĐ",Đường Đại Lộ Thăng Long phường Đại Mỗ, 46m2, 50, 23, 2, 1,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499945.2804532,, 4
"6,7 tỷ VNĐ",Đường Thái Hà phường Trung Liệt, 52m2, 2, 4, 3, 4,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499946.2969224,, 5
23 tỷ VNĐ,Đường Nguyễn Văn Lộc phường Mộ Lao, 110m2, 10, 5, 6, 6,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499947.2573533,, 22
"7,9 tỷ VNĐ",Đường Nguyễn Văn Lộc phường Mộ Lao, 45m2, 7, 4, 3, 3,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499948.3953106,, 5
"5,8 tỷ VNĐ","Phố Cự Lộc, Thượng Đình, Thanh Xuân", 46m2,, 6, 4, 4,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499949.6033187,, 9
3 tỷ VNĐ,Đường Thạch Bàn phường Thạch Bàn, 52m2,,,,,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499950.4939392,, 4
12 tỷ VNĐ,đường Xuân Phương, 90m2, 8, 3, 3,,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499951.4554484,, 6
,Nội đồng- đại thịnh- mê linh- hà nội, 395m2, 13, 3,,,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499952.5056472, Tây, 15
"7,5 tỷ VNĐ","Chính chủ cần bán căn góc ngõ 129 đường Bát Khối, Long Biên; 7,5 tỷ; 0987093999", 45m2,,,,,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499953.4081836,,
,Vạn yên- mê linh- hà nội, 136m2,,,,,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499954.5025427,,
"3,7 tỷ VNĐ","Tương mai, hoàng mai, hà nội.", 42m2,, 5, 6, 4,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499955.4508584,,
"8,6 tỷ VNĐ",Đường Hoàng Cầu phường Ô Chợ Dừa, 68m2, 1, 7,,,24/08/2022,Tin thường,batdongsan_so_com_vn_1670499956.5366826,,
