price,address,Diện tích,Hướng,Mặt tiền,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Lộ giới,Số toilet
115 triệu VNĐ/m2,"Đường Bắc Nam, thị trấn Quốc Oai, Hà Nội", 98m2, Tây, 6,05/04/2022,Tin thường,batdongsan_so_com_vn_1670500107.9539042,,,,
6 tỷ VNĐ,Phố Lò Đúc Hai Bà Trưng Hà nội, 45m2,, 3,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500114.7909172, 5, 6,,
"46,5 tỷ VNĐ",Phố Hồng Tiến Long Biên Hà Nội, 172m2,, 6,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500115.9149094, 5, 6,,
"7,8 tỷ VNĐ",Đường Mậu Lương phường Kiến Hưng, 52m2,, 12,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500117.0748081, 1, 3, 20, 2
"11,5 triệu VNĐ",Đường Quốc lộ 32 phường Phùng, 1555m2,, 10,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500117.9763968, 1, 2, 8, 1
"2,1 tỷ VNĐ",Đường Đông Hội phường Đông Hội, 85m2,, 8,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500119.2799115, 10, 3, 15, 2
12 tỷ VNĐ,"Chính chủ bán toà chung cư mini số 39 ngách 29 ngõ 2 Đại Từ, Hoàng Mai, hơn 12 tỷ; 0815501111", 118m2,,,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500120.2044406,,,,
10 tỷ VNĐ,Đường Trần Duy Hưng phường Trung Hòa, 45m2,, 4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500121.0880775, 4, 4, 3, 3
"3,3 tỷ VNĐ","24 Phố Nguyễn Cơ Thạch, Mỹ Đình, Nam Từ Liêm, Hà Nội, Việt Nam", 84m2, Đông bắc,,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500122.3397741,, 2,, 2
"3,9 tỷ VNĐ",Đường 800A phường Dịch Vọng,,,,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500123.1774888,,, 1,
15 tỷ VNĐ,Đường Xã Đàn phường Quang Trung, 52m2,, 7,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500127.232594, 7, 7, 7, 7
"2,6 tỷ VNĐ",xã Vĩnh Quỳnh, 50m2,,,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500128.3617876,,,,
"4,8 tỷ VNĐ",Đường Thụy Phương phường Thụy Phương, 75m2,, 5,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500129.5286686, 3, 3, 2, 3
3 tỷ VNĐ,Đường Giải phóng phường Giáp Bát, 55m2,,,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500130.8033798, 4,, 1,
,"Trần Đăng Ninh, Cầu Giấy", 35m2,,,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500131.942386,,,,
"4,5 tỷ VNĐ",Đường Phùng Chí Kiên phường Nghĩa Đô, 50m2,, 4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500133.5204334, 5, 5, 3, 4
5 tỷ VNĐ,Đường Dương Lâm phường Văn Quán, 30m2,, 5,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500134.6075299, 5, 4, 6, 4
"3,6 tỷ VNĐ","Gốc Đề, Hoàng Nai, Hà Nội", 42m2,,,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500135.813302,,,,
,kim hoa- mê linh- hà nội, 120m2, Tây, 6,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500136.8575096,,, 25,
"3,7 tỷ VNĐ",Đường Xa La phường Phúc La, 38m2,, 4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500137.8428752, 4, 4, 2, 3
