price,address,Diện tích,Hướng,Mặt tiền,Lộ giới,Số tầng,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet
5 tỷ VNĐ,Chính chủ cần bán gấp căn nhà tại ngõ Nguyễn Khang Yên Hòa Cầu Giấy dt 45 m2 giá 5 tỷ, 45m2, Đông nam, 6, 2, 5,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444211.620042,,
26 tỷ VNĐ,"Đường Lê Quang Đạo, Cầu Diễn, Nam Từ Liêm", 115m2,, 8, 6, 7,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444214.2853801, 17, 17
"2,2 tỷ VNĐ","Kính Nỗ, Uy Nỗ, Đông Anh, Hà Nội", 59m2,, 4,,,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444216.4730685,,
"2,8 tỷ VNĐ",đại áng - thanh trì - hà nội, 42m2,, 4,,,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444218.9669814,,
"3,4 tỷ VNĐ","đường phúc lợi, phường phúc lợi, quận long biên, hà nội", 35m2,,,, 5,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444221.5497868, 3,
"17,8 tỷ VNĐ","Đường Đồng Cổ, Bưởi, Tây Hồ", 66m2,, 6, 10, 6,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444223.299429, 6, 6
"2,2 tỷ VNĐ","Kính Nỗ, Uy Nỗ, Đông Anh, Hà Nội", 59.5m2,, 4,,,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444225.958089,,
"11,5 tỷ VNĐ","Đường Ngọc Lâm, Ngọc Lâm, Long Biên", 67m2,, 5, 5, 5,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444228.2211752,,
"3,5 tỷ VNĐ","Đường Bát Khối, Thạch Bàn, Long Biên", 45m2,,, 3, 5,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444230.5971441, 4,
"11,8 tỷ VNĐ","Đường Nguyễn Khánh Toàn, Quan Hoa, Cầu Giấy", 47m2,, 4, 6, 7,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444232.4881277, 5, 6
"11,8 tỷ VNĐ","Đường Nguyễn Khánh Toàn, Quan Hoa, Cầu Giấy", 47m2,, 4, 6, 7,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444234.6776652, 5, 6
"7,5 tỷ VNĐ","Đường Cầu Giấy, Quan Hoa, Cầu Giấy", 65m2,, 8, 5, 4,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444236.7994165, 4, 4
2 tỷ VNĐ,"Kính Nỗ, Uy Nỗ, Đông Anh, Hà Nội", 48m2,, 4,,,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444238.8331542,,
"85,714 triệu VNĐ","Đường Việt Hưng, Việt Hưng, Long Biên", 42m2,, 4, 3, 5,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444241.1739597, 4, 3
4 tỷ VNĐ,"Đường Quan Nhân, Nhân Chính, Thanh Xuân", 36m2,, 3, 3, 5,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444242.9042506, 3, 4
"6,4 tỷ VNĐ","Đường Ngọc Lâm, Ngọc Lâm, Long Biên", 41m2,, 3, 5, 5,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444245.4215453,,
"7,7 tỷ VNĐ",93 Láng Hạ, 91m2, Đông nam,,,,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444250.1570845, 2, 2
"3,8 tỷ VNĐ","Đường Chu Mân, Phường Phúc Đồng, Quận Long Biên, Hà Nội", 42m2,,,, 4,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444252.847239, 4,
"3,25 tỷ VNĐ",Trương Định, 45m2,,,,,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444255.9511733,,
"3,5 tỷ VNĐ","Đường Thạch Bàn, Thạch Bàn, Long Biên", 45m2,,, 3, 5,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444257.8495643, 6,
