price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id
"4,9 tỷ VNĐ",Đường Đình Thôn phường Mỹ Đình 1, 40m2, 4, 3, 5, 5, 4,20/08/2022,Tin thường,batdongsan_so_com_vn_1670500593.1216254
"22,5 tỷ VNĐ",Quận Cầu Giấy, 42m2,,,,,,20/08/2022,Tin thường,batdongsan_so_com_vn_1670500594.0521374
,"Cổ Nhuế, Bắc Từ Liêm, Hà Nội", 60m2,,,,,,20/08/2022,Tin thường,batdongsan_so_com_vn_1670500594.8873818
"1,8 tỷ VNĐ",Đường Đại Lộ Thăng Long phường Đại Mỗ, 51m2, 5, 50, 4, 1, 1,20/08/2022,Tin thường,batdongsan_so_com_vn_1670500596.253773
5 tỷ VNĐ,Bùi Xương Trạch, 42m2,,, 5,,,20/08/2022,Tin thường,batdongsan_so_com_vn_1670500597.2789881
"2,35 tỷ VNĐ",Tổ 5 Yên Nghĩa, 30m2,,,,,,20/08/2022,Tin thường,batdongsan_so_com_vn_1670500598.928575
"16,5 tỷ VNĐ",Đường Nguyễn Chí Thanh phường Ngọc Khánh, 55m2, 5, 5, 5, 4, 4,20/08/2022,Tin thường,batdongsan_so_com_vn_1670500600.1712523
,Đường Lương Thế Vinh phường Thanh Xuân Nam, 53m2, 5, 1, 4, 4, 3,20/08/2022,Tin thường,batdongsan_so_com_vn_1670500601.1815505
"2,9 tỷ VNĐ",55/x6/8, 30m2, 3,, 4, 3, 2,20/08/2022,Tin thường,batdongsan_so_com_vn_1670500602.1818762
5 tỷ VNĐ,Đường Yên Hòa phường Yên Hòa, 39m2, 3, 1, 6, 7, 5,20/08/2022,Tin thường,batdongsan_so_com_vn_1670500603.4464948
"3,95 tỷ VNĐ",Đường Bát Khối phường Long Biên, 40m2, 4, 5, 4, 3, 4,20/08/2022,Tin thường,batdongsan_so_com_vn_1670500604.285251
91 tỷ VNĐ,Cầu Giấy Hà Nội, 263m2, 6,,,,,20/08/2022,Tin thường,batdongsan_so_com_vn_1670500605.5847762
"5,2 tỷ VNĐ","Tương mai, hoàng mai, hà nội.", 57m2, 4,, 5, 4, 3,20/08/2022,Tin thường,batdongsan_so_com_vn_1670500606.604051
"5,55 tỷ VNĐ","Ngọc Hội, Thanh Trì, Hà Nội", 53m2,,,,,,20/08/2022,Tin thường,batdongsan_so_com_vn_1670500607.4937067
,"Phố Cổ Nhuế, Bắc Từ Liêm, Hà Nội", 50m2,,,,,,20/08/2022,Tin thường,batdongsan_so_com_vn_1670500608.6317258
"3,2 tỷ VNĐ",khu đô thị mới tây nam linh đàm, 68m2,,, 10, 2, 2,20/08/2022,Tin thường,batdongsan_so_com_vn_1670500609.7167776
"10,8 tỷ VNĐ","Đường Nguyễn Chính, Phường Tân Mai", 75m2, 4, 6, 6, 5, 5,20/08/2022,Tin thường,batdongsan_so_com_vn_1670500610.5425694
"1,9 tỷ VNĐ",phường tây mỗ đại mỗ, 43m2,,, 10, 1, 1,20/08/2022,Tin thường,batdongsan_so_com_vn_1670500612.1592476
"3,2 tỷ VNĐ",khu đô thị mới tây nam linh đàm, 68m2,,, 10, 2, 2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500613.2317746
"11,9 tỷ VNĐ",Đường Đình Thôn phường Mỹ Đình 1, 65m2, 4, 6, 6, 6, 5,20/08/2022,Tin thường,batdongsan_so_com_vn_1670500614.404244
