price,address,Diện tích,Mặt tiền,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"2,1 tỷ VNĐ","Kính Nỗ, Uy Nỗ, Đông Anh, Hà Nội", 48m2, 4,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444321.521573,,,,,
86 tỷ VNĐ,"Đường Lê Hồng Phong, Điện Biên, Ba Đình", 149m2, 7,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444324.376068, Đông nam, 10, 8, 6, 6
"2,7 tỷ VNĐ","Đường Thạch Cầu, Long Biên, Long Biên", 40m2, 4,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444326.8700285,, 3, 3, 3, 3
7 tỷ VNĐ,"Đường Hồ Tai Trâu, Ngọc Lâm, Long Biên", 60m2, 4,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444345.200752,,,,,
"7,5 tỷ VNĐ","Đường Tôn Đức Thắng, Ô Chợ Dừa, Đống Đa", 38m2, 3,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444347.9741082,, 6, 4, 4, 4
"17,6 tỷ VNĐ","Đường Dương Khuê, Mai Dịch, Cầu Giấy", 50m2, 4,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444350.031669,, 12,,,
"21,5 tỷ VNĐ",Đinh Tiên Hoàng Hoàn Kiếm Hà Nội, 102m2, 4,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444352.8265007,,, 3, 3, 3
"6,45 tỷ VNĐ","Đường Phú Viên, Bồ Đề, Long Biên", 52m2, 5,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444355.0490832,, 1, 4, 5, 3
"3,3 tỷ VNĐ","Đường Quốc lộ 32, Di Trạch, Hoài Đức", 48m2, 4,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444373.8163087,, 3, 4, 3, 2
5 tỷ VNĐ,"Số 55 Nguyễn Văn Giáp, Cầu Diễn, Nam Từ Liêm, Hà Nội", 110m2,,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444376.0047588, Đông nam,,, 3, 2
,vũ lăng thanh trì, 53m2,,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444378.7927296,,,,,
"3,9 tỷ VNĐ",Xa La- Hà Đông, 48m2,,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444381.4068496,,, 4,,
"3,25 tỷ VNĐ","Đường Thanh Lãm, Phú Lãm, Hà Đông", 40m2, 3,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444384.7126312,,,,,
170 triệu VNĐ,"Đường Nguyễn Khang, Trung Hòa, Cầu Giấy", 150m2, 6,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444387.0918617,,,,,
9 tỷ VNĐ,Văn La- Hà Đông, 50m2,,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444389.5019603,,, 6,,
4 tỷ VNĐ,"Đường Quan Nhân, Nhân Chính, Thanh Xuân", 36m2, 4,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444392.207318,, 3, 4, 4, 4
19 tỷ VNĐ,"Nghĩa Tân, Cầu Giấy", 53m2, 5,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444394.7953985, Bắc, 10, 4, 4, 3
"7,9 tỷ VNĐ","Đường Nguyễn Văn Cừ, Ngọc Lâm, Long Biên", 110m2, 5,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444397.1803021,,,,,
