price,address,Diện tích,Hướng,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Lộ giới
90 triệu VNĐ/m2,"Tây Mỗ, Nam Từ Liêm, Hà Nội", 82m2, Đông, 4, 5, 4, 4,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500776.2925944,
"3,5 tỷ VNĐ","hoàng mai , hà nội", 47m2,,,,,,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500777.6826558,
"31,5 tỷ VNĐ",Quận Cầu Giấy, 82m2,,,,,,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500778.815375,
"1,9 tỷ VNĐ",phường tây mỗ đại mỗ, 43m2,,, 10, 1, 1,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500780.3730736,
"6,915 tỷ VNĐ",Đường Tây Bầu phường Kim Chung, 91m2,, 6,,,,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500781.5122125,
"3,2 tỷ VNĐ",khu đô thị mới tây nam linh đàm, 68m2,,, 10, 2, 2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500782.8629816,
,phố hoàng van thái, 37m2,, 5, 4, 4,,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500784.3864532, 3
"4,5 tỷ VNĐ",Đường Kim Ngưu phường Minh Khai, 40m2,, 5, 4, 3, 4,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500785.6578734, 5
"12,8 tỷ VNĐ",68, 62m2,,,,,,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500787.26853,
"3,5 tỷ VNĐ",Đường Đại Lộ Thăng Long phường Tây Mỗ, 66m2,, 6, 22, 2, 2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500788.3958464, 50
"20,8 tỷ VNĐ",Thái Hà Đống Đa, 60m2,, 4, 7, 6, 6,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500790.0773475,
37 tỷ VNĐ,Bán nhà mặt phố Q.HBT 68m x 7 tầng SĐCC 550tr/m, 68m2,,,,,,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500791.2741475,
"4,5 tỷ VNĐ",Đường Yên Phúc phường Văn Quán, 50m2,, 4, 3, 3, 3,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500792.4131038, 8
3 tỷ VNĐ,Đường Phúc Lợi phường Phúc Lợi, 45m2,, 4,,,,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500793.3645568,
8 tỷ VNĐ,Đường Ao Sen phường Mộ Lao, 40m2,, 5, 4, 6, 6,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500794.3928096, 10
"7,5 tỷ VNĐ",Ngọc Thụy Long Biên, 30m2,, 3, 7, 4,,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500795.5307662, 6
"4,55 tỷ VNĐ","tương mai, hoàng mai, hà nội.", 52m2, Đông nam, 4, 5, 6, 4,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500796.5779703,
"5,9 tỷ VNĐ",66, 50m2,, 4,,,,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500797.4875042,
750 triệu VNĐ,Đường Quốc Lộ 18 phường Hiền Ninh, 48m2,, 6,,,,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500798.666353,
"5,5 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 52m2,, 5, 4, 4, 4,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500804.9335213, 4
