price,address,Diện tích,Lộ giới,Ngày đăng,Loại tin,id,Số tầng,Mặt tiền,Số phòng ngủ,Số toilet,Hướng
"12,89 tỷ VNĐ",Đường Hoàng Như Tiếp phường Bồ Đề, 97m2, 1,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500969.5729058,,,,,
4 tỷ VNĐ,Quan Nhân, 42m2,,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500970.6629903, 5,,,,
"5,4 tỷ VNĐ",Đường Lò Đúc phường Phạm Đình Hổ, 39m2, 2,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500971.7720256, 4, 5, 4, 4,
11 tỷ VNĐ,Đường Bùi Ngọc Dương phường Bạch Mai, 93m2, 5,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500972.7125158, 4, 11, 4, 4,
6 tỷ VNĐ,Trịnh văn bô - Hoài Đức - Hà Nội, 70m2, 40,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500973.8886325, 5, 6, 4, 4,
"24,5 triệu VNĐ/m2",Thành Trung - Trâu quỳ - Gia Lâm - Hà Nội, 60m2, 30,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500975.541228,,, 2, 2,
48 triệu VNĐ/m2,Khu đô thị Hud Mê Linh - Vành đai 4 - Mê Linh - Hà Nội, 120m2, 14,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500976.6233213, 3, 6, 4, 3,
55 triệu VNĐ/m2,khu đô thị Kim Chung Di Trạch - Vành đai 3.5 - Hoài Đức - Hà Nội, 95m2, 17,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500978.2719157, 5, 5, 4, 4,
"4,7 tỷ VNĐ","Giáp Nhị, Hoàng Mai, Hà Nội", 52m2,,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500981.3956041, 5, 4, 6, 5, Đông bắc
"10,5 tỷ VNĐ",Đường Tây Sơn phường Ngã Tư Sở, 35m2, 40,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500983.238443, 6, 3, 4, 4,
15 tỷ VNĐ,"Hoa Lâm, Việt Hưng, Long Biên, Hà Nội", 100m2,,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500984.7844236,, 6,,,
"2,75 tỷ VNĐ",Thanh Am, 40m2,,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500986.2584922,, 4,,,
"11,6 tỷ VNĐ",Quận Cầu Giấy, 55m2,,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500987.2977016,,,,,
"4,85 tỷ VNĐ",Đường Nguyễn Sơn phường Ngọc Thụy, 45m2, 3,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500988.9607346, 4, 5, 3, 4,
"52,5 tỷ VNĐ",Hào Nam Đống Đa, 141m2,,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500990.4058712,, 8,,,
"1,9 tỷ VNĐ",phường tây mỗ đại mỗ, 43m2,,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500992.2423866, 10,, 1, 1,
,phố hoàng văn thái, 37m2, 3,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500993.300557, 4, 5, 4,,
"3,2 tỷ VNĐ",khu đô thị mới tây nam linh đàm, 68m2,,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500994.6110516, 10,, 2, 2,
"6,5 tỷ VNĐ",Đường Việt Hưng phường Việt Hưng, 65m2,,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500995.527602,, 4,,,
105 triệu VNĐ,Đường Phú Tàng phường Bắc Phú, 64m2,,18/08/2022,Tin thường,batdongsan_so_com_vn_1670500996.5418885,, 4,,,
