price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Hướng,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"3,25 tỷ VNĐ",Trương Định, 45m2,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444462.3328412,,,,,,
170 triệu VNĐ,"Đường Nguyễn Khang, Trung Hòa, Cầu Giấy", 150m2,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444498.635795, 6,,,,,
"2,6 tỷ VNĐ",ngõ 1137 quang trung hà đông hà nội, 31m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670444501.298471, 3, Đông nam, 3, 5, 5, 5
"8,9 tỷ VNĐ",CIPUTRA, 70m2,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444503.8996813, 5,, 40, 2, 2, 2
"5,55 tỷ VNĐ","Đường Quang Trung, Quang Trung, Hà Đông", 40m2,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444506.2314112, 4,, 20, 4, 4, 4
"5,2 tỷ VNĐ","Đường Vũ Trọng Phụng, Nhân Chính, Thanh Xuân", 62m2,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444507.9631722,,, 3, 5, 5,
"9,2 tỷ VNĐ","Đường Đỗ Đức Dục, Mễ Trì, Nam Từ Liêm", 45m2,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444510.4954653, 5,, 10, 6, 6,
"3,39 tỷ VNĐ","Đường A, Đông Dư, Gia Lâm", 42m2,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444512.5247903, 4,,,,,
"3,75 tỷ VNĐ","Kim ngưu , hai bà trưng", 46m2,31/03/2022,Tin thường,batdongsan_so_com_vn_1670444515.2268353, 6,,, 4, 4, 4
"4,95 tỷ VNĐ",lĩnh nam, 48m2,30/03/2022,Tin thường,batdongsan_so_com_vn_1670444517.3150213,,,, 4, 4, 3
2 tỷ VNĐ,"1/36 tân khai , lĩnh nam", 25m2,30/03/2022,Tin thường,batdongsan_so_com_vn_1670444519.265426, 3,,, 4, 3, 3
"25,5 tỷ VNĐ","Linh đàm, hoàng mai", 80m2,01/04/2022,Tin thường,batdongsan_so_com_vn_1670444522.7086253, 5,,, 8, 7, 7
"2,65 tỷ VNĐ",Minh khai, 42m2,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444525.2150695, 5,,, 1, 1, 1
"3,3 tỷ VNĐ","Đường Quốc lộ 32, Di Trạch, Hoài Đức", 50m2,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444526.94076, 4,, 1, 4, 3, 2
"5,8 tỷ VNĐ","Chính chủ cần bán  nhà  riêng tại ngõ 41 Thái Hà Trung Liệt Đống Đa dt 35 m2 giá 5,9 tỷ", 35m2,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444529.5566456, 4, Tây nam, 3, 6,,
"4,3 tỷ VNĐ","Đường Phan Đình Giót, Phương Liệt, Thanh Xuân", 33m2,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444531.877835,,, 10, 4, 3, 3
"3,8 tỷ VNĐ","Đường Trương Định, Hoàng Văn Thụ, Hoàng Mai", 40m2,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444534.2365644, 4,, 14, 5, 3, 4
"3,5 tỷ VNĐ","Đường Tô Hiệu, Nguyễn Trãi, Hà Đông", 41m2,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444536.6660461, 3,, 4, 3, 3, 2
