price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số toilet,Ngày đăng,Loại tin,id,Số phòng ngủ,Hướng
36 tỷ VNĐ,ngõ 2 Hoàng Quốc Việt, 80m2, 4, 10, 8, 8,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501820.8815207,,
"4,2 tỷ VNĐ",Đường Cầu Bươu phường Tân Triều, 67m2, 3, 10, 1, 1,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501824.8330772, 2,
"6,5 tỷ VNĐ",Đường Tôn Thất Tùng phường Khương Thượng, 40m2, 6, 5, 5, 4,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501827.5262945, 4,
"3,7 tỷ VNĐ",Đường Thạch Bàn phường Thạch Bàn, 58m2, 5, 5, 5, 4,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501828.7749555, 3,
"3,5 tỷ VNĐ",Đường Vĩnh Hưng phường Vĩnh Hưng, 35m2, 3, 3, 5, 4,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501829.7683048, 5,
"11,5 tỷ VNĐ",Đường Đông Tác phường Kim Liên, 52m2, 5, 3, 2, 1,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501830.9850473, 2,
"5,8 tỷ VNĐ","Cự Lộc, Nhân Chính, Thanh Xuân", 36m2, 5, 2, 6, 5,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501832.1628952, 3,
"4,25 tỷ VNĐ",Đường Cầu Giấy phường Dịch Vọng, 30m2, 4, 2, 5, 4,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501833.3577523, 3,
"6,35 tỷ VNĐ",Đường Thụy Phương phường Thụy Phương, 71m2, 4, 3, 4, 3,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501834.8358004, 4,
,Đường Lê Trọng Tấn phường Khương Mai, 175m2, 7, 4, 1, 2,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501837.2134418, 4,
17 tỷ VNĐ,"Hào Nam, Đống Đa, Hà Nội", 50m2, 4,, 7,,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501841.319117,,
"5,5 tỷ VNĐ",Đường Kim Giang phường Đại Kim, 60m2, 5, 10, 4, 5,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501843.5987465, 6,
"1,2 tỷ VNĐ",Lĩnh Nam, 35m2, 5, 2, 1, 1,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501845.7480006, 2,
"3,88 tỷ VNĐ",Đường Khương Đình phường Hạ Đình, 53m2, 4, 3, 4, 4,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501846.9941492, 5,
"16,8 tỷ VNĐ",Trần Quốc Hoàn Cầu Giấy, 50m2,,,,,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501848.237087,,
140 triệu VNĐ/m2,Quận Cầu Giấy, 60m2,,,,,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501849.1536355,,
,"xã sài sơn, huyện quốc oai, thành phố Hà Nội", 86m2, 5, 11,,,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501850.4441862,, Tây bắc
"1,2 tỷ VNĐ",Lĩnh Nam, 35m2, 5, 2, 2,,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501851.525294, 1,
20 tỷ VNĐ,Vũ thạnh - Đống Đa - Hà Nội, 70m2, 5,, 5, 5,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501853.6296942, 5,
"8,3 tỷ VNĐ",phố Minh Khai, 52m2,,,,,15/08/2022,Tin thường,batdongsan_so_com_vn_1670501854.9461722,,
