price,address,Diện tích,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Lộ giới,Số toilet
"4,699 tỷ VNĐ","Quan Nhân, Nhân Chính", 35m2, 4, 4,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501927.2511013,,,,
17 tỷ VNĐ,khâm thiên, 65m2,,,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501928.5984988,,,,
"6,3 tỷ VNĐ","Lê Quý Đôn, Nguyễn Trãi, Hà Đông", 42m2, 3, 3,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501929.7504191, Đông nam, 3, 7, 3
"2,8 tỷ VNĐ","phố Bạch Mai, Hai Bà Trưng, Hà Nội", 45m2, 3, 2,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501931.2232301,,,, 3
"6,7 tỷ VNĐ",Đường Nguyễn Trãi phường Thanh Xuân Nam, 62m2, 5, 5,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501932.2415075,, 5, 5, 5
"16,5 tỷ /tháng",tôn đức thắng, 60m2,,,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501933.1266227,,,,
"4,2 tỷ VNĐ",Đường Kim Ngưu phường Thanh Lương, 40m2,,,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501934.883883,, 4, 1,
"14,7 tỷ VNĐ","gốc đề , minh khai, hai bà trưng", 105m2, 4, 5,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501936.6312113,, 8, 6, 5
"1,25 tỷ VNĐ","Chính chủ nhượng căn hộ tầng 1 Số 06 ngõ 52/25/19 Phú Mỹ, Mỹ Đình 2, NTL; 1,25 tỷ; 0868839930", 55m2,,,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501937.7731574,,,,
"8,8 tỷ VNĐ",Đường Đa Sĩ phường Kiến Hưng, 50m2, 7, 7,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501939.0347843,, 5, 10,
7 tỷ VNĐ,La Khê- Hà Đông, 50m2,,,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501940.010176,,,,
"12,5 tỷ VNĐ",phú la, 80m2, 5, 6,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501941.0643566,, 4,, 4
"7,15 tỷ VNĐ",Kiến Hưng- Hà Đông, 50m2,,,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501942.1215322,,,,
"3,6 tỷ VNĐ",Mỗ Lao- Hà Đông, 41m2, 4,,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501943.5586934,,,,
"3,6 tỷ VNĐ",Trần Phú- Hà Đông, 41m2, 4,,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501945.59734,,,,
"3,2 tỷ VNĐ",Đường Bùi Xương Trạch phường Khương Đình, 42m2, 4, 4,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501948.427036,, 4, 3, 4
12 tỷ VNĐ,Đường Nguyễn Văn Huyên phường Dịch Vọng, 50m2, 6, 4,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501953.719465,, 4, 5, 4
"3,85 tỷ VNĐ",Ngọc Lâm, 30m2, 3, 3,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501955.1705854, Tây, 3,,
"7,2 tỷ VNĐ","Ngô Quyền, Hà Đông, Hà Nội", 103m2, 3, 4,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501958.150684,, 4, 3,
6 tỷ VNĐ,Vũ Tông Phan, 50m2, 5,,14/08/2022,Tin thường,batdongsan_so_com_vn_1670501978.794751,,,,
