price,address,Diện tích,Mặt tiền,Số tầng,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet,Hướng
"8,6 tỷ VNĐ",lê trọng tấn hà đông hà nội, 50m2, 4, 5,14/08/2022,Tin thường,batdongsan_so_com_vn_1670502068.3577793,,,,
"9,8 tỷ VNĐ",Đường Quốc Lộ 35 phường Minh Phú, 1246m2, 40,,14/08/2022,Tin thường,batdongsan_so_com_vn_1670502071.6226463,,,,
11 tỷ VNĐ,Đường Ngọc Lâm phường Ngọc Lâm, 75m2, 5, 4,14/08/2022,Tin thường,batdongsan_so_com_vn_1670502072.613995, 4, 4, 4,
"3,4 tỷ VNĐ",Ngõ 17 Phan ĐÌnh Giót, 30m2, 4, 4,14/08/2022,Tin thường,batdongsan_so_com_vn_1670502074.283531, 7, 3, 3, Tây bắc
130 tỷ VNĐ,Đường Chu Huy Mân phường Phúc Đồng, 325m2, 12, 4,14/08/2022,Tin thường,batdongsan_so_com_vn_1670502075.1911309, 21, 4, 4,
"6,5 tỷ VNĐ",đường Mễ Trì, 70m2, 5, 4,14/08/2022,Tin thường,batdongsan_so_com_vn_1670502076.8086307, 5, 4,,
"3,9 tỷ VNĐ",Bùi Xương Trạch Khương Trung Thanh Xuân Hà Nội, 45m2,,,14/08/2022,Tin thường,batdongsan_so_com_vn_1670502077.8497548,,,,
"5,35 tỷ VNĐ","Thanh Bình, Mỗ Lao, Hà Đông", 49m2, 3, 5,14/08/2022,Tin thường,batdongsan_so_com_vn_1670502081.7273264, 2, 5, 3, Đông nam
"4,5 tỷ VNĐ",Đường Giáp Bát phường Giáp Bát, 30m2, 4, 5,14/08/2022,Tin thường,batdongsan_so_com_vn_1670502083.0084329, 3, 4, 4,
"3,15 tỷ VNĐ",Đường Lê Trọng Tấn phường La Khê, 50m2, 4, 5,14/08/2022,Tin thường,batdongsan_so_com_vn_1670502086.9871175, 1, 3, 5,
"17,8 tỷ VNĐ",Đường Trường Chinh phường Phương Liệt, 85m2, 5, 5,14/08/2022,Tin thường,batdongsan_so_com_vn_1670502107.2723668, 10, 4, 5,
4 tỷ VNĐ,"Đường 19/5, phường Văn Quán, quận Hà Đông", 40m2, 6, 5,14/08/2022,Tin thường,batdongsan_so_com_vn_1670502110.9282486, 40, 5, 5, Tây nam
"3,9 tỷ VNĐ",xã Tứ Hiệp, 46m2,,,13/08/2022,Tin thường,batdongsan_so_com_vn_1670502111.9884129,,,,
"3,6 tỷ VNĐ",Trần Đại Nghĩa - Hà Nội, 45m2,,,13/08/2022,Tin thường,batdongsan_so_com_vn_1670502113.5412602,,,,
"6,6 tỷ VNĐ",lạc trung, 50m2,,,13/08/2022,Tin thường,batdongsan_so_com_vn_1670502115.6296756,,,,
"4,86 tỷ VNĐ","Đại Từ, Đại Kim, Hoàng Mai, Hà Nội", 45m2,,,13/08/2022,Tin thường,batdongsan_so_com_vn_1670502117.0184755,,,,
"5,3 tỷ VNĐ",xã Tứ Hiệp, 30m2,,,13/08/2022,Tin thường,batdongsan_so_com_vn_1670502118.0636833,,,,
6 tỷ VNĐ,Hạ Đình, 51m2,, 5,13/08/2022,Tin thường,batdongsan_so_com_vn_1670502119.322317,,,,
"6,5 tỷ VNĐ",kim ngưu, 55m2,,,13/08/2022,Tin thường,batdongsan_so_com_vn_1670502120.4722407,,,,
5 tỷ VNĐ,Đường Lâm Hạ phường Bồ Đề, 36m2,, 5,13/08/2022,Tin thường,batdongsan_so_com_vn_1670502121.9522855, 4, 4,,
