price,address,Diện tích,Lộ giới,Số tầng,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số phòng ngủ,Số toilet
"4,5 tỷ VNĐ","Đường Vạn Phúc, Vạn Phúc, Hà Đông", 35m2, 3, 5,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444702.5868263,,,,
7 tỷ VNĐ,"Lê Duẩn, Đống Đa, Hà Nội", 43m2, 2, 5,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444705.0746384, Đông nam, 3, 9, 9
"8,6 tỷ VNĐ","Đường Phùng Chí Kiên, Nghĩa Đô, Cầu Giấy", 50m2, 8, 7,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444707.6540842,, 4, 4, 6
"2,5 tỷ VNĐ","Đường La Tinh, Đông La, Hoài Đức", 31m2, 8, 4,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444710.198827,, 5, 3, 3
"3,2 tỷ VNĐ","Đường Di Ái, Di Trạch, Hoài Đức", 32m2, 8, 5,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444712.6814673,, 5, 3, 3
"6,8 tỷ VNĐ","Đường Chùa Bộc, Quang Trung, Đống Đa", 40m2, 10, 5,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444714.367031,, 4, 6,
"4,8 tỷ VNĐ","Đường Thái Thịnh, Thịnh Quang, Đống Đa", 42m2, 3, 4,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444716.5668726,,, 4, 3
7 tỷ VNĐ,"Đường Tôn Đức Thắng, Ô Chợ Dừa, Đống Đa", 52m2, 2, 4,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444718.6247203,, 5, 5, 4
"19,5 tỷ VNĐ",Trương Định Hoàng Mai Hà Nội, 190m2,, 2,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444720.7679389,, 10, 4,
"3,15 tỷ VNĐ","Đường Cổ Linh, Thạch Bàn, Long Biên", 40m2, 3, 5,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444722.7012181,,, 5,
"3,5 tỷ VNĐ",Vĩnh Hưng Hoàng Mai Hà Nội, 38m2,, 4,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444724.8360844,, 4, 4,
"1,73 tỷ VNĐ","Bán CHCC 1703 ĐN1T2 Thăng Long Victory An Khánh, Hoài Đức, 1,73 tỷ; 0977654576", 70m2,,,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444727.2453206,,,,
"2,6 tỷ VNĐ",huỳnh cung tam hiệp thanh trì hà nội, 42m2, 11,,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444729.6883447,, 4,,
900 triệu VNĐ,Cổ Đồng - Sơn Tây - Hà Nội, 61m2,,,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444733.099014,,,,
"6,9 tỷ VNĐ","Đường Quốc lộ 32, Kim Chung, Hoài Đức", 70m2, 3, 7,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444734.981382,, 4, 12, 12
"2,65 tỷ VNĐ","Đường Lý Sơn, Long Biên, Long Biên", 38m2,,,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444737.469595,, 4,,
"32,95 tỷ VNĐ","Chính chủ cần Bán gấp tòa nhà VP Tại Phố Nghĩa Tân Tô Hiệu Hoàng Quốc Việt Cầu Giấy Hà Nội dt 80 m2 x 10 tầng mới giá 32,95 tỷ", 80m2, 12, 10,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444739.4553065, Nam, 5,,
8 tỷ VNĐ,"Xã Cổ Bi, Huyện Gia Lâm, TP Hà Nội", 90m2,,,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444742.1294558,, 7,,
"3,35 tỷ VNĐ",x16 Phú Viên, 41m2,, 4,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444743.9982529,, 3, 4, 3
"4,6 tỷ VNĐ","Đường Ngọc Khánh, Giảng Võ, Ba Đình", 105m2, 10,,23/11/2022,Tin thường,batdongsan_so_com_vn_1670444746.688921,, 10, 3, 2
