price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Mặt tiền,Số toilet
"4,7 tỷ VNĐ",Đường 1 phường Ngọc Thụy, 45m2, 1, 4, 4,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502474.3632016,,
"3,78 tỷ VNĐ","khu đất dịch vụ vân canh 25,2ha", 45m2,,,,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502476.0726311,,
"6,7 tỷ VNĐ",Đường Cầu Giấy phường Quan Hoa, 60m2, 2, 5, 9,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502477.0470247, 4, 8
"4,55 tỷ VNĐ",Đường 1 phường Thượng Thanh, 45m2, 1, 4, 4,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502478.1889715,,
140 tỷ VNĐ,"phố Hồng Tiến, long Biên, Hà Nội", 429m2,,,,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502479.7109013,,
5 tỷ VNĐ,hoang mai hà nội, 50m2,,,,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502480.6268885,,
"46,5 tỷ VNĐ",Đường Hoàng Cầu phường Ô Chợ Dừa, 79m2, 10, 8, 12,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502481.6434073, 6, 8
"3,8 tỷ VNĐ",Đường Hồ Văn Chương phường Hàng Bột, 35m2, 1,,,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502486.6008008,,
"6,37 tỷ VNĐ",Đường Thạch Bàn phường Thạch Bàn, 90m2,,,,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502487.8135092, 5,
"15,9 tỷ VNĐ",Đường Văn Quán phường Văn Quán, 80m2, 8, 4, 5,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502489.517006, 6, 5
"4,5 tỷ VNĐ",Đường Lâm Hạ phường Bồ Đề, 55m2, 4, 4, 4,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502490.3996463, 4, 4
"10,5 tỷ VNĐ",Đường Lê Trọng Tấn phường Phương Mai, 65m2, 7, 5, 5,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502491.419917, 5, 4
"2,25 tỷ VNĐ",xã Ngọc Hồi, 55m2,,,,11/08/2022,Tin thường,batdongsan_so_com_vn_1670502492.692514,,
"11,4 tỷ VNĐ",Đường Thái Hà phường Trung Liệt, 75m2, 3, 5, 4,11/08/2022,Tin thường,batdongsan_so_com_vn_1670502495.3601785, 5, 5
15 tỷ VNĐ,Phố Trần Đại Nghĩa Hai Bà Trưng Hà Nội, 72m2,, 4, 4,11/08/2022,Tin thường,batdongsan_so_com_vn_1670502497.6908975, 4,
"6,5 tỷ VNĐ",Phố Kim Ngưu Hai Bà Trưng Hà Nội, 52m2,, 5, 3,11/08/2022,Tin thường,batdongsan_so_com_vn_1670502498.7509625, 5,
"10,5 tỷ VNĐ",Đường Hào Nam phường Ô Chợ Dừa, 54m2, 3, 5, 4,11/08/2022,Tin thường,batdongsan_so_com_vn_1670502500.4111512, 4, 5
"22,9 tỷ VNĐ",Đường Thanh Nhàn phường Thanh Nhàn, 51m2, 30, 4, 4,11/08/2022,Tin thường,batdongsan_so_com_vn_1670502501.560106, 4, 3
"3,4 tỷ VNĐ",Hà Trì 1 Hà Cầu Hà Đông Hà Nội, 35m2,,,,11/08/2022,Tin thường,batdongsan_so_com_vn_1670502502.5025332,,
36 tỷ VNĐ,khâm thiên, 80m2,,,,11/08/2022,Tin thường,batdongsan_so_com_vn_1670502503.4401584,,
