price,address,Diện tích,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"3,5 tỷ VNĐ","Tứ Hiệp, Thanh Trì, Hà Nội", 35m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502923.5914817,,,,,,
"6,3 tỷ VNĐ","Ngô Quyền, Vạn Phúc, Hà Đông", 41m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502924.78854, Đông nam, 3, 6, 5, 3, 4
"1,4 tỷ VNĐ",Đường Quốc lộ 6 phường Phụng Châu, 75m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502925.776898,, 5,,,,
"1,4 tỷ VNĐ",Đường Quốc lộ 6 phường Phụng Châu, 75m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502926.6625304,, 5,,,,
"8,45 tỷ VNĐ",Hà Nội, 60m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502927.7625866,,,,,,
4 tỷ VNĐ,Chiến Thắng, 35m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502928.6611855,,, 3, 5, 5,
"4,5 tỷ VNĐ",Bà Triệu, 35m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502929.963704,, 4, 3, 5, 4,
"8,45 tỷ VNĐ",Hà Nội, 60m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502930.8573124,,,,,,
4 tỷ VNĐ,Giang Biên, 54m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502932.0724277, Nam, 3,, 1, 1,
5 tỷ VNĐ,"nguyễn an ninh, hoàng mai, hà nội", 82m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502933.0518072,,,,,,
155 triệu VNĐ/m2,Quận Nam Từ Liêm, 92m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502934.2525957,,,,,,
"5,2 tỷ VNĐ",Hạ Đình Thanh Xuân Hà Nội, 45m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502935.3945413,,,,,,
18 triệu VNĐ/m2,KDT Chuôm Nho – TT Nhã Nam – Tân Yên – Bắc Giang giá cực mềm cho các NĐT, 100m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502936.4178479, Đông nam, 5, 7,,,
"4,15 tỷ VNĐ",Đường Trương Định phường Trương Định, 35m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502937.524888,, 3, 3, 4, 3, 4
"4,9 tỷ VNĐ",Vạn Phúc- Hà Đông, 39m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502938.4863155,,,, 5,,
"4,9 tỷ VNĐ",Phùng Hưng- Hà Đông, 40m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502939.4557235,,,, 5,,
"3,386 tỷ VNĐ","Bán nhà số 9 ngõ 371 Nam Dư, P.Trần Phú, Hoàng Mai, 3,386 tỷ; 0986767368", 34m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502940.6336894,,,,,,
"4,9 tỷ VNĐ",Phùng Hưng- Hà Đông, 40m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502941.4794285,,,, 5,,
"4,9 tỷ VNĐ",Vạn Phúc- Hà Đông, 39m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502942.6592731,,,, 5,,
"7,4 tỷ VNĐ",Đường Kim Giang phường Thanh Liệt, 46m2,09/08/2022,Tin thường,batdongsan_so_com_vn_1670502943.8720307,, 4, 4, 7, 6, 5
