price,address,Diện tích,Số tầng,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới
5 tỷ VNĐ,Ngô Quyền- Hà Đông, 49m2, 4,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503143.8139896,,,,
6 tỷ VNĐ,Cầu Giấy Hà Nội, 50m2, 5,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503145.0107887, 6, 4,,
"6,6 tỷ VNĐ",Đình Thôn Mỹ Đình, 73m2,,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503146.0300617,,,,
"7,8 tỷ VNĐ",láng hạ, 65m2,,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503147.1443903,,,,
"6,5 tỷ VNĐ",la khê, 50m2, 4,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503148.176049, 4, 3,,
"7,5 tỷ VNĐ",láng, 60m2,,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503149.4378383,,,,
75 tỷ VNĐ,Đường Nguyễn Ngọc Nại phường Khương Mai, 260m2, 9,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503150.7667565, 9, 10, 6, 1
160 triệu VNĐ/m2,Quận Nam Từ Liêm, 120m2,,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503151.9087026,,,,
"1,925 tỷ VNĐ",Đường Thụy Lâm phường Đông Anh, 70m2,,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503153.0307028,,, 5,
9 tỷ VNĐ,Khương Đình, 60m2, 5,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503154.1168327,,, 4,
"3,6 tỷ VNĐ",phố Minh Khai, 42m2,,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503155.3269563,,,,
17 tỷ VNĐ,Đường Lâm Du phường Bồ Đề, 60m2, 5,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503156.3197167, 5, 5, 5, 8
"4,6 tỷ VNĐ",Mỹ Đình Nam Từ liêm, 37m2,,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503157.2522593,,,,
80 triệu VNĐ/m2,Quận Bắc Từ Liêm, 65m2,,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503158.3064413,,,,
"11,7 tỷ VNĐ",Đường Chính Trung phường Trâu Quỳ, 110m2,,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503159.5870168,,, 5,
"4,7 tỷ VNĐ","Ngọc Lâm, Long Biên", 39m2, 6,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503160.617297, 3,, 4,
9 tỷ VNĐ,Đường Xóm Chuôm phường Xuân Canh, 100m2,,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503161.6734369,,, 5,
"4,7 tỷ VNĐ",Đường 1 phường Ngọc Thụy, 47m2, 4,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503162.6579852,,,, 3
"13,2 tỷ VNĐ",Đường Trần Quốc Hoàn phường Dịch Vọng Hậu, 60m2, 5,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503163.6697683, 5, 5, 5, 15
"3,7 tỷ VNĐ",Minh Khai Hai Bà Trưng Hà Nội, 40m2, 4,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503164.8020773, 4,,,
