price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Lộ giới,Số toilet,Hướng
"5,5 tỷ VNĐ",Trần Khát Chân Hai Bà Trưng Hà Nội, 50m2, 4, 5, 6,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503185.8026261,,,
18 tỷ VNĐ,Đường Trung Yên phường Yên Hòa, 70m2,, 4, 4,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503186.770039, 15, 3,
"6,8 tỷ VNĐ",mỗ lao, 48m2, 4, 5, 6,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503187.7168398,, 4,
17 tỷ VNĐ,Đường Vũ Phạm Hàm phường Yên Hoà, 65m2,, 6, 6,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503188.828913, 8, 4,
"10,3 tỷ VNĐ",Đường Văn Khê phường La Khê, 82m2, 5, 4, 4,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503189.8780608, 10, 4,
"5,3 tỷ VNĐ",Đường Tạ Quang Bửu phường Bạch Mai, 42m2, 5, 5, 3,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503190.7321541, 1, 4,
"3,35 tỷ VNĐ",the pride tố hữu, 146m2,, 10, 3,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503192.0386124, 5, 3, Đông nam
"2,45 tỷ VNĐ",the pride tố hữu hà đông, 103m2,, 10, 3,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503193.0748425, 5, 3, Đông nam
2 tỷ VNĐ,the pride tố hữu, 81m2,, 10, 2,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503194.0841439, 5, 2, Tây bắc
2 tỷ VNĐ,the pride tố hữu hà đông, 76m2,, 10, 2,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503195.0615296, 5, 2, Tây bắc
"1,85 tỷ VNĐ",the pride tố hữu hà đông, 73m2,, 10, 2,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503196.3204901, 5, 2, Tây nam
"1,85 tỷ VNĐ",the pride tố hữu hà đông, 72.9m2,, 10, 2,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503197.3218098, 5, 2, Đông nam
"5,2 tỷ VNĐ",Đường Tạ Quang Bửu phường Bạch Mai, 42m2, 5, 5, 3,08/08/2022,Tin thường,batdongsan_so_com_vn_1670503198.2423532, 1, 4,
"4,6 tỷ VNĐ",Đường Ngô Quyền phường Quang Trung, 47m2, 3, 4, 4,07/08/2022,Tin thường,batdongsan_so_com_vn_1670503199.435683, 3,,
"13,2 tỷ VNĐ","Khu đô thị mới Văn Khê, LA KHÊ, HÀ ĐÔNG", 83m2, 5, 4, 4,07/08/2022,Tin thường,batdongsan_so_com_vn_1670503200.608498, 7, 3, Đông nam
"8,9 tỷ VNĐ",Cầu Giấy, 60m2,,,,07/08/2022,Tin thường,batdongsan_so_com_vn_1670503203.8068564,,,
"5,4 tỷ VNĐ",Đường Nguyễn Sơn phường Gia Thụy, 48m2, 4, 4, 4,07/08/2022,Tin thường,batdongsan_so_com_vn_1670503205.9994373, 5, 4,
25 tỷ VNĐ,Hồ Tùng Mậu, 61m2, 5, 5, 6,07/08/2022,Tin thường,batdongsan_so_com_vn_1670503207.0376596,, 5,
"7,95 tỷ VNĐ",tôn thất tùng, 45m2,,,,07/08/2022,Tin thường,batdongsan_so_com_vn_1670503208.303781,,,
"3,6 tỷ VNĐ",xã Ngọc Hồi, 45m2,,,,07/08/2022,Tin thường,batdongsan_so_com_vn_1670503209.6601553,,,
