price,address,Diện tích,Hướng,Mặt tiền,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Lộ giới,Số toilet
"3,85 tỷ VNĐ",phố Trương Định, 38m2, Đông nam, 4, 5, 4,06/08/2022,Tin thường,batdongsan_so_com_vn_1670503408.3092415,,
"5,9 tỷ VNĐ","Cần bán CHCC Eco Dream ngõ 300 Nguyễn Xiển, Tân Triều, Thanh Trì, 5,9 tỷ; 0389995279", 150m2,,,,,06/08/2022,Tin thường,batdongsan_so_com_vn_1670503409.4192715,,
5 ngàn VNĐ,Đường Chiến Thắng phường Nguyễn Trãi, 45m2,, 4, 4, 4,06/08/2022,Tin thường,batdongsan_so_com_vn_1670503410.8638277, 3, 4
"6,3 tỷ VNĐ",đường cầu giấy, 60m2,, 4, 4, 4,06/08/2022,Tin thường,batdongsan_so_com_vn_1670503412.7529366, 2, 4
23 tỷ VNĐ,Đường Yên Hoa phường Yên Phụ, 50m2,, 5, 5, 5,06/08/2022,Tin thường,batdongsan_so_com_vn_1670503416.5088918, 10, 5
"5,7 tỷ VNĐ",Đường Đê La Thành phường Kim Mã, 70m2,,,,,06/08/2022,Tin thường,batdongsan_so_com_vn_1670503417.4214942, 3,
4 tỷ VNĐ,Đường Phùng Hưng phường Phúc La, 50m2,, 1, 1, 2,06/08/2022,Tin thường,batdongsan_so_com_vn_1670503418.4617314, 4,
1 ngàn VNĐ,Đường  phường Yên Nghĩa, 39m2,, 4, 4, 3,06/08/2022,Tin thường,batdongsan_so_com_vn_1670503419.570705, 3, 4
7 tỷ VNĐ,Đường Lê Đức Thọ phường Mỹ Đình 1, 55m2,, 4, 6, 4,06/08/2022,Tin thường,batdongsan_so_com_vn_1670503420.4024806, 4, 5
"11,5 tỷ VNĐ",Đường Doãn Kế Thiện phường Mai Dịch, 65m2,, 5, 6, 6,06/08/2022,Tin thường,batdongsan_so_com_vn_1670503421.2000992, 6, 5
"2,6 tỷ VNĐ","Đường An Trai, xã Vân Canh. Hoài Đức, Hà Nội", 31.2m2, Đông nam, 3, 4, 3,06/08/2022,Tin thường,batdongsan_so_com_vn_1670503422.7140963,, 3
"1,6 tỷ VNĐ",Trương Định - Hà Nội, 32m2,,,,,06/08/2022,Tin thường,batdongsan_so_com_vn_1670503423.6946542,,
"4,3 tỷ VNĐ",xã Tam Hiệp, 42m2,,,,,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503424.7368686,,
"6,7 tỷ /tháng",yên lãng, 60m2,,,,,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503425.5217683,,
"6,5 tỷ VNĐ",thai hà, 55m2,,,,,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503426.5659761,,
"6,3 tỷ VNĐ",tây sơn, 50m2,,,,,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503427.3331723,,
"11,23 tỷ VNĐ",Hà Nội, 79m2,,,,,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503428.3384843,,
"1,371 tỷ VNĐ",Đường Tây Mỗ phường Đại Mỗ, 35m2,, 5, 8, 1,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503429.5416691, 40, 1
9 tỷ VNĐ,"+ Bán Nhà Phố hoàng Cầu, trung tâm Quận Đống Đa,", 70m2,,,,,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503430.4622085,,
"6,5 tỷ VNĐ",Hạ Đình, 46m2,, 4, 5,,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503431.2750342,,
