price,address,Diện tích,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới,Hướng
"6,35 tỷ VNĐ",Hà Nội, 50m2,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503538.4399142,,,,,,
"4,5 tỷ /tháng","Tây Nam hồ Linh Đàm, Hoàng Liệt, Hoàng Mai, Hà Nội", 100m2,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503539.722885, 7, 3, 2,,,
"3,29 tỷ VNĐ",Đường Liên Mạc phường Liên Mạc, 35m2,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503540.8398564, 4, 3, 3, 3, 3,
36 tỷ VNĐ,Đường Đoàn Khuê phường Việt Hưng, 220m2,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503541.7404892, 5, 5, 5, 8, 21,
"3,4 tỷ VNĐ",Đường A phường Cổ Bi, 73m2,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503542.6543796,,,, 5,,
"3,5 tỷ VNĐ",phố Lạc Trung, 38m2,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503543.6896107,,,,,,
"35,5 tỷ VNĐ",Đường Khúc Thừa Dụ phường Dịch Vọng, 80m2,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503544.7089214, 5, 5, 5, 10, 30,
"3,2 tỷ VNĐ",tây sơn, 60m2,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503545.8588104,,,,,,
32 ngàn VNĐ,Đường Tây Sơn 2 phường Nam Đồng, 60m2,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503546.8282194,,, 28,, 2,
"4,65 tỷ VNĐ",Ngũ Hiệp. Thanh Trì HN, 61m2,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503548.1817682,,,,,,
"3,8 tỷ VNĐ","Tứ Hiệp, Thanh trì HN", 56m2,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503549.1756623,,,,,,
"4,3 tỷ VNĐ",Đường Bằng B phường Hoàng Liệt, 40m2,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503550.0951896, 5, 3, 4, 4, 2,
5 tỷ VNĐ,Đường Phan Đình Giót phường Phương Liệt, 45m2,05/08/2022,Tin thường,batdongsan_so_com_vn_1670503551.0466535, 5, 6, 4, 4, 3,
"2,7 tỷ VNĐ",Hồng Mai - Hà Nội, 35m2,04/08/2022,Tin thường,batdongsan_so_com_vn_1670503552.1756258,,,,,,
"3,95 tỷ VNĐ",xã Ngọc Hồi, 43m2,04/08/2022,Tin thường,batdongsan_so_com_vn_1670503553.2058754,,,,,,
"6,35 tỷ VNĐ",Hà Nội, 50m2,04/08/2022,Tin thường,batdongsan_so_com_vn_1670503554.0497258,,,,,,
"4,7 tỷ VNĐ",xã Ngọc Hồi, 34m2,04/08/2022,Tin thường,batdongsan_so_com_vn_1670503555.0230913,,,,,,
"5,1 tỷ VNĐ","Trường Chinh, Thanh Xuân, HN", 42m2,04/08/2022,Tin thường,batdongsan_so_com_vn_1670503556.176358, 4, 4, 3, 5, 2, Tây bắc
"8,35 tỷ VNĐ",Đường Ngô Gia Tự phường Đức Giang, 42m2,04/08/2022,Tin thường,batdongsan_so_com_vn_1670503557.3622825, 4, 4, 4, 3, 30,
"19,5 tỷ VNĐ","Cầu Diễn, Minh Khai, Bắc Từ Liêm", 127m2,04/08/2022,Tin thường,batdongsan_so_com_vn_1670503558.2189922, 7,,, 14, 4,
