price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền
"3,5 tỷ VNĐ",Lạc Long Quân, 45m2, 5, 3, 4,19/03/2020,Tin thường,batdongsan_so_com_vn_1670504320.2026844,
"2,5 tỷ VNĐ","Xuân Đỉnh, Bắc Từ Liêm, Hà Nội", 36m2, 4, 4, 4,06/05/2020,Tin thường,batdongsan_so_com_vn_1670504322.1089482,
"6,2 tỷ VNĐ","Xuân la, Tây Hồ, Hà Nội", 45m2, 4, 4, 4,06/05/2020,Tin thường,batdongsan_so_com_vn_1670504322.9866002,
"3,5 tỷ VNĐ","Xuân Đỉnh,Bắc Từ Liêm, Hà Nội", 52m2, 5, 6, 4,11/05/2020,Tin thường,batdongsan_so_com_vn_1670504323.8353307,
"6,2 tỷ VNĐ","Võng Thị,Tây Hồ, Hà Nội", 50m2, 5, 6, 4,15/05/2020,Tin thường,batdongsan_so_com_vn_1670504325.1348956,
"2,3 tỷ VNĐ","Xuân Đỉnh, Bắc Từ Liêm, Hà Nội", 30m2, 5, 3, 4,15/05/2020,Tin thường,batdongsan_so_com_vn_1670504325.9726162, 3
"4,8 tỷ VNĐ","Xuân La, Tây Hồ, Hà Nội", 35m2, 5, 4, 4,20/05/2020,Tin thường,batdongsan_so_com_vn_1670504326.9490042,
"6,2 tỷ VNĐ","Võng Thị, Tây Hồ, Hà Nội", 50m2, 5, 6, 3,20/05/2020,Tin thường,batdongsan_so_com_vn_1670504329.4966211,
"6,2 tỷ VNĐ","Võng Thị, Tây Hồ, Hà Nội", 50m2, 5, 6, 4,04/06/2020,Tin thường,batdongsan_so_com_vn_1670504332.4433558,
"3,1 tỷ VNĐ","Xuân Đỉnh, Bắc Từ Liêm Hà Nội", 40m2, 5, 3, 4,04/06/2020,Tin thường,batdongsan_so_com_vn_1670504334.2116277,
"2,8 tỷ VNĐ","Trần Cung, Bắc Từ Liêm, Hà Nội", 35m2, 5, 3, 4,17/06/2020,Tin thường,batdongsan_so_com_vn_1670504337.1050532,
"2,5 tỷ VNĐ","Xuân Đỉnh, Bắc Từ Liêm, Hà Nội", 35m2, 5, 3, 4,17/06/2020,Tin thường,batdongsan_so_com_vn_1670504338.2081027,
"3,5 tỷ VNĐ",Xuân La. Tây Hồ. Hà Nội, 45m2, 5, 6, 4,17/06/2020,Tin thường,batdongsan_so_com_vn_1670504339.0468597,
"4,6 tỷ VNĐ","Trần Cung, Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội", 52m2, 5, 6, 5,16/07/2020,Tin thường,batdongsan_so_com_vn_1670504339.9863477,
"2,85 tỷ VNĐ","Xuân Đỉnh, Bắc Từ Liêm, Hà Nội", 35m2, 5, 3, 4,16/07/2020,Tin thường,batdongsan_so_com_vn_1670504341.1193693,
,"Võng thị, Tây hồ, Hà Nội", 52m2, 5, 6, 5,16/07/2020,Tin thường,batdongsan_so_com_vn_1670504342.0847626,
"3,5 tỷ VNĐ","Xuân la, Tây Hồ, Hà Nội", 45m2, 5, 5, 4,16/07/2020,Tin thường,batdongsan_so_com_vn_1670504342.892576,
"2,7 tỷ VNĐ","Xuân La, Tây Hồ, Hà Nội", 35m2, 5, 3, 4,13/08/2020,Tin thường,batdongsan_so_com_vn_1670504344.22901,
"3,2 tỷ VNĐ","Xuân Đỉnh, Bắc Từ Liêm, Hà Nội", 53m2,,,,13/08/2020,Tin thường,batdongsan_so_com_vn_1670504345.2692668,
"2,15 tỷ VNĐ","Thụy Phương, Đông Ngạc, Bắc Từ Liêm, Hà Nội", 35m2, 5, 3, 4,14/08/2020,Tin thường,batdongsan_so_com_vn_1670504346.3303838,
