price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Lộ giới,Số phòng ngủ,Số toilet
"15,65 tỷ VNĐ",Xuân thủy, 85m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504411.5186553,,,,,
5 tỷ VNĐ,Vạn Phúc- Hà Đông, 46m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504412.9767606, 5,,,,
"5,1 tỷ VNĐ",Mỗ Lao- Hà Đông, 46m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504415.0406868,, 5,,,
"5,1 tỷ VNĐ",Mỗ Lao- Hà Đông, 46m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504416.8023071,, 5,,,
5 tỷ VNĐ,Vạn Phúc- Hà Đông, 46m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504437.9531047, 5,,,,
"3,6 tỷ VNĐ",Đường Vũ Tông Phan phường Khương Đình, 48m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504439.2685184, 3, 4, 2, 4, 4
"2,35 tỷ VNĐ",Đường Bát Khối phường Thạch Bàn, 32m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504440.4794588, 4, 3, 2, 2,
"3,9 tỷ VNĐ","Tứ Hiệp, Thanh Trì HN", 45m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504441.388278,,,,,
"3,8 tỷ VNĐ","Tứ Hiệp, Thanh Trì, HN", 56m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504442.4364762,,,,,
"3,3 tỷ VNĐ","xuân đỉnh, bắc từ liêm", 59m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504443.5606265,,,,,
"2,8 tỷ VNĐ","trần cung, cổ nhuế 1, bắc từ liêm", 35m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504445.449643,,,,,
"4,09 tỷ VNĐ",Đường Mỹ Đình phường Mỹ Đình 1, 32m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504446.5833335, 3, 5, 2, 3, 4
9 tỷ VNĐ,"Giảng Võ, Giảng Võ, Ba Đình, Hà Nội.", 90m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504447.645556, 6, 4,, 3, 3
11 tỷ VNĐ,Đường Văn Khê phường Phú La, 90m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504448.9629722, 4, 5, 24, 4, 4
"5,45 tỷ VNĐ",Đường Phú Mỹ phường Phú Đô, 45m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504450.1266003, 4,,,,
"3,675 tỷ VNĐ",Đường Thôn 7 phường Phú Cát, 150m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504451.1917813, 10,,,,
9 tỷ VNĐ,"Ngọc Khánh, Ngọc Khánh, Ba Đình, Hà Nội.", 91m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504452.1209579, 6, 4,, 3, 3
"4,5 tỷ VNĐ",đường hoàng quốc việt, 32m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504453.7206798, 3, 5, 2, 3, 4
"3,75 tỷ VNĐ","Hà Trì 3, Hà Cầu, Hà Đông, Hà Nội", 36m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504455.3403492,,,,,
"32,9 tỷ VNĐ","trần khát chân, hai bà trưng", 262m2,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504457.021111,,,,,
