price,address,Diện tích,Hướng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng
"3,2 tỷ VNĐ",Hà Nội, 80m2, Đông nam, 2, 2,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504687.988661,,,
25 tỷ VNĐ,Đường Ái Mộ phường Long Biên, 170m2,, 8, 8,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504689.0877223, 11, 1, 7
"22,9 tỷ VNĐ",Đường Dương Quảng Hàm phường Mai Dịch, 100m2,, 6, 6,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504689.8467307, 4, 15, 6
"4,7 tỷ VNĐ",Đường 1 phường Ngọc Thụy, 47m2,,,,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504691.482318,, 1, 3
4 tỷ VNĐ,Đường Chiến Thắng phường Văn Quán, 36m2,, 6,,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504692.5454755, 1, 4, 5
11 tỷ VNĐ,Đường Nguyễn Khuyến phường Văn Quán, 75m2,, 4, 5,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504693.4530475, 5, 25, 5
"4,7 tỷ VNĐ",Đường Nguyễn Văn Linh phường Phúc Đồng, 64m2,, 3, 3,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504694.3705938, 4, 6, 3
"2,5 tỷ VNĐ",Đường Hậu Ái phường Di Trạch, 36m2,, 2, 2,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504695.5459795, 4, 6, 2
"3,7 tỷ VNĐ","lê quang đạo, phú đô, nam từ liêm", 45m2,,,,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504696.3707182,,,
"3,8 tỷ VNĐ","lê quang đạo, phú đô, nam từ liêm", 3m2,,,,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504697.5465734,,,
,"Đông Dư, Gia Lâm", 152m2,,,,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504698.4092646,,,
"4,1 tỷ VNĐ","lê quang đạo, phú đô, nam từ liêm", 37m2,,,,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504699.2400978,,,
"14,6 tỷ VNĐ",Đường Phú Thượng phường Phú Thượng, 120m2,,,,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504701.0322883, 7,,
"2,9 tỷ VNĐ",Đường Quang Trung phường Quang Trung, 36m2,, 4, 3,29/07/2022,Tin thường,batdongsan_so_com_vn_1670504702.2989087, 3, 3, 5
"8,5 tỷ VNĐ","Ao Sen, Mỗ Lao, Hà Đông", 39m2, Tây bắc, 3, 3,29/07/2022,Tin thường,batdongsan_so_com_vn_1670504713.1403298, 4, 7, 4
"25,5 tỷ VNĐ","Phố Lạc Trung, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội", 76m2,, 6, 5,29/07/2022,Tin thường,batdongsan_so_com_vn_1670504714.090782, 4, 15, 5
"9,35 tỷ VNĐ",Lạc Long Quân, 70m2,,,,29/07/2022,Tin thường,batdongsan_so_com_vn_1670504715.053246,,,
"1,4 tỷ VNĐ","ngõ 260 phố Tân Mai, Quận Hoàng Mai, Hà Nội", 25m2,, 2, 3,29/07/2022,Tin thường,batdongsan_so_com_vn_1670504716.3417625,,, 4
15 tỷ VNĐ,Đường Trần Quốc Vượng phường Dịch Vọng Hậu, 50m2,, 4, 4,29/07/2022,Tin thường,batdongsan_so_com_vn_1670504717.21443, 5, 20, 4
