price,address,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Diện tích,Mặt tiền,Hướng
,Đường Hoàng Quốc Việt phường Nghĩa Đô, 2, 3, 3, 3,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505250.6381674,,,
"3,2 tỷ VNĐ",xã Tứ Hiệp,,,,,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505251.8964713, 37m2,,
26 tỷ VNĐ,Đường Lê Trọng Tấn phường Khương Mai, 1, 1, 1, 1,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505264.52271, 174m2, 6,
26 tỷ VNĐ,Đường Lê Trọng Tấn phường Khương Mai, 1, 1, 1, 1,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505265.6995873, 174m2, 6,
5 tỷ VNĐ,Đường Âu Cơ phường Nhật Tân, 3, 5, 6, 4,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505266.601739, 47m2, 3,
"3,2 tỷ VNĐ","Lô đất PT1 PT2 khu đô thị mới Linh Đàm, phường Hoàng Liệt, quận Hoàng Mai, Hà Nội.",,,,,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505267.691809, 86m2,,
"2,7 tỷ VNĐ",Đường Lạc Long Quân phường Bưởi, 2, 3, 3, 2,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505268.726043, 56m2, 6,
4 tỷ VNĐ,nguyễn hoàng, 3, 5, 4,,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505271.856822, 42m2, 4,
3 tỷ VNĐ,Đường cổ linh phường Thạch Bàn, 4, 2,,,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505272.9090092, 70m2, 5,
"3,85 tỷ VNĐ","trương định, tân mai", 3, 5, 4, 4,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505274.0632699, 35m2, 4, Đông nam
"3,7 tỷ VNĐ",Đường Lạc Long Quân phường Xuân La, 2, 2, 3, 4,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505274.9440775, 65m2, 2,
"8,4 tỷ VNĐ/m2","Đường Dương Văn Bé, quận Hai Bà Trưng",, 3,,,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505275.975331, 33m2, 3,
90 triệu VNĐ,Đường 19 phường Hải Bối,,,,,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505277.3686035, 80m2, 4,
"3,4 tỷ VNĐ",Đường Pháo Đài Láng phường Láng Thượng, 3, 5, 3, 4,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505278.193398, 35m2, 6,
5 tỷ VNĐ,Khương Hạ,, 5,,,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505279.2914631, 36m2, 3,
"3,4 tỷ VNĐ",Đường Pháo Đài Láng phường Láng Thượng, 3, 5, 3, 4,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505283.7675827, 35m2, 6,
"7,4 tỷ VNĐ/m2","Phố Tân Mai, quận Hoàng Mai",, 5,,,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505285.673166, 38m2, 3,
,Đường Lê Trọng Tấn phường An Khánh, 25,, 3, 2,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505286.637825, 92m2,,
"1,3 tỷ VNĐ",Đường 19/12 phường Chương Dương Độ, 1,,,,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505287.913718, 240m2, 12,
"4,8 tỷ VNĐ",Đường Hoàng Quốc Việt phường Dịch Vọng, 3, 5, 5,,28/07/2022,Tin thường,batdongsan_so_com_vn_1670505289.5308318, 45m2, 3,
