price,address,Diện tích,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Hướng,Số toilet
"2,9 tỷ VNĐ","đường Phúc Lợi, phường phúc lợi,  Long Biên, hà nội", 35m2, 4, 3,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445440.4418066,,,,
6 tỷ VNĐ,"Đường Phùng Khoang, Thanh Xuân Bắc, Thanh Xuân", 45m2, 6, 12,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445442.976709, 5, 6,,
680 triệu VNĐ,"Đường Ngọc Hồi, Ngọc Hồi, Thanh Trì", 60m2, 15, 2,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445445.0847218, 7, 10, Bắc, 2
"6,999999 tỷ VNĐ","Đường Ngọc Lâm, Ngọc Lâm, Long Biên", 55m2, 6, 3,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445447.3495364, 4, 6, Đông nam, 5
"4,6 tỷ VNĐ","Đường Trường Chinh, Thượng Đình, Thanh Xuân", 56m2, 5,,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445449.8696232, 5, 3,,
"3,5 tỷ VNĐ","Phố Nguyễn An Ninh, phường Tương Mai, quận Hoàng Mai, Hà Nội", 160m2, 4, 3,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445452.901932, 5,, Đông bắc, 3
"16,9 tỷ VNĐ",PHẠM NGỌC THẠCH ĐỐNG ĐA HÀ NỘI, 114m2,,,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445454.5530841, 7,,,
"2,3 tỷ VNĐ",Hương Viên, 25m2, 4, 3,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445457.1283777, 3,,, 2
"14,6 tỷ VNĐ",Lê Lai- Hà Đông, 70m2,,,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445459.2197614, 6,,,
"4,15 tỷ VNĐ",Mậu Lương - Hà Đông, 37m2, 4,,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445461.715035,,,,
"1,08 tỷ VNĐ","Đường Tỉnh Lộ 16, Đông Xuân, Sóc Sơn", 65m2,,,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445464.1081595, 4,,,
168 tỷ VNĐ,"Đường Đội Cung, Lê Đại Hành, Hai Bà Trưng", 550m2, 5, 3,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445467.2745388,, 12,, 4
18 tỷ VNĐ,"Đường Hồng Tiến, Bồ Đề, Long Biên", 98m2, 1, 1,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445469.040647, 7, 1,, 1
4 tỷ VNĐ,"Đường Hào Nam, Cát Linh, Đống Đa", 40m2, 4, 4,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445472.3498676, 3, 2,, 3
40 tỷ VNĐ,"Đường Phạm Văn Đồng, Xuân Đỉnh, Bắc Từ Liêm", 180m2, 4, 6,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445474.6456554, 9, 25, Bắc, 4
,"Đường Quan Nhân, Nhân Chính, Thanh Xuân", 45m2, 5, 4,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445477.1609018,, 11,, 3
"5,5 tỷ VNĐ","Đường Đỗ Đức Dục, Mễ Trì, Nam Từ Liêm", 38m2, 5, 4,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445479.3345957, 4, 3,, 5
"6,4 tỷ VNĐ","Đường Minh Khai, Minh Khai, Hai Bà Trưng", 48m2, 5,,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445482.0317934, 5, 3,,
830 triệu VNĐ,tổ 15 đồng mai hà đông hn, 34m2,,,15/11/2022,Tin thường,batdongsan_so_com_vn_1670445485.5028825, 4,,,
9 triệu VNĐ/m2,hà nội, 80m2,,,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445488.077627,,,,
