price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Hướng,Số phòng ngủ,Số toilet,Lộ giới
"6,7 tỷ VNĐ",Phố Kim Ngưu, 40m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506267.7563007,,,,,,
"5,5 tỷ VNĐ",Khương Trung, 36m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506269.1335762, 4, 5,,,,
"2,93 tỷ VNĐ",Số 2 Lê Văn Thiêm - Chung cư Golden West, 92m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506271.501764,, 6, Đông nam, 3, 2,
7 tỷ VNĐ,VÕNG THI, 50m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506272.4125803, 4, 5,, 6, 6, 3
"3,4 tỷ VNĐ",Đường Nguyễn Lam phường Phúc Đồng, 35m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506273.3361354, 3,,,,,
"3,6 tỷ VNĐ",Đường Đội Cấn phường Cống Vị, 40m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506274.6825087, 3, 4,, 3, 3, 2
"2,99 tỷ VNĐ",Đường Lê Quý Đôn phường Nguyễn Trãi, 36m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506275.6429884, 4, 3,, 3, 3, 3
"1,8 tỷ VNĐ",Phú Lương, 30m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506276.5187123,,,,,,
"46,5 tỷ VNĐ","Chính chủ bán Biệt thự lô góc 2 mặt tiền hướng chính Bắc và chính Tây BT1 KĐT Pháp Vân, Hoàng Mai, 46,5 tỷ; 0913508019", 340m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506277.390688,,,,,,
"5,98 tỷ VNĐ",Đường Chùa Láng phường Láng Thượng, 43m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506278.4917443, 3, 5,, 9, 9, 2
"19,2 tỷ VNĐ",Cầu giấy, 115m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506279.4601915,,,,,,
"4,35 tỷ VNĐ",Đường Tạ Quang Bửu phường Bạch Mai, 39m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506280.7038283,,,,,, 1
"9,8 tỷ VNĐ",võng thị, 41m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506285.7507527, 4,,,,, 4
,Đường Hoàng Văn Thái phường Khương Mai, 58m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506287.9193504, 4, 3,, 3, 3, 6
"1,7 tỷ VNĐ",Đường Việt Hưng phường Việt Hưng, 80m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506288.8458734, 5, 13,, 2, 2, 5
"16,5 tỷ VNĐ",Đường Hồng Tiến phường Bồ Đề, 106m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506289.940004, 6, 5,, 5, 5, 1
"1,445 tỷ VNĐ","Chính chủ Bán CHCC Tòa CT4A, Hà Đông; 1,445 tỷ; 0378658388", 83m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506290.6980085,,,,,,
"3,4 tỷ VNĐ",Đường Tân Triều phường Tân Triều, 30m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506291.6704483, 3, 4,, 2, 3, 2
"3,6 tỷ VNĐ",Đường Yên Xá phường Tân Triều, 36m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506292.7963746, 4, 5,, 3, 3, 2
,Đường Kim Giang phường Thanh Liệt,,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506293.602312,, 5,, 4, 5, 1
