price,address,Diện tích,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet
"3,6 tỷ VNĐ",Mỗ Lao- Hà Đông, 40m2, 4,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506420.035026,,,,
"3,5 tỷ VNĐ",Phúc La- Hà Đông, 40m2, 4,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506420.9535115,,,,
"3,5 tỷ VNĐ",Phúc La- Hà Đông, 40m2, 4,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506422.8311958,,,,
"3,6 tỷ VNĐ",Mỗ Lao- Hà Đông, 40m2, 4,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506423.7741706,,,,
"6,5 tỷ VNĐ",Mỗ Lao- Hà Đông, 58m2, 4,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506427.1510606,,,,
"7,5 tỷ VNĐ",Đường Thái Hà phường Láng Hạ, 33m2, 4,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506428.1333706, 3, 2, 3, 3
5 tỷ VNĐ,Đường Hoàng Quốc Việt phường Nghĩa Tân, 42m2, 4,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506429.0180562, 5, 3, 4, 4
"3,075 tỷ VNĐ",Đường Uy Nỗ phường Uy Nỗ, 75m2,,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506429.9477038, 5,,,
"4,1 tỷ VNĐ",Khương Đình, 46m2, 4,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506431.1904602, 4,, 5, 5
"6,3 tỷ VNĐ","Lê Quý Đôn 2, Nguyễn Trãi, Hà Đông, Hà Nội", 40m2, 4,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506432.4600844,,, 4,
4 tỷ VNĐ,chung cư Melody Hưng Thịnh Linh Đàm, 100m2,,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506434.3556032,,,,
"5,7 tỷ VNĐ","Chiến Thắng, Hà Đông, Hà Nội", 46m2,,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506435.4927578,,,,
"5,4 tỷ VNĐ",Nguyễn Trãi, 48m2, 4,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506438.296125, 4,, 5, 5
"4,7 tỷ VNĐ","Khu đô thị Nam Thăng Long, phường Đông Ngạc, quận Bắc Từ Liêm, Tp Hà Nội", 85.5m2,,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506439.5148182,,, 2, 1
"2,8 tỷ VNĐ",Phố Trần Điền, 80m2, 9,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506440.516451, 6,, 9, 9
"3,05 tỷ VNĐ","Phố Đại Từ , Phường , Quận Hoàng Mai, Thành phố Hà Nội.", 30m2,,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506441.663385,,,,
13 tỷ VNĐ,TÒA NHÀ 8 TẦNG THANG MÁY KINH DOANH SẦM UẤT NGÀY ĐÊM - THÔNG THƯƠNG KHẮP NGẢ!!!, 52m2,,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506442.6012957,,,,
"5,25 tỷ VNĐ","Long Biên, Hà Nội", 58m2, 4,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506443.5677109, 4,, 3, 3
250 triệu VNĐ/m2,"Trâu QUỳ, Gia LÂm, HÀ Nội", 42m2,,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506444.7190666, 4,,,
"2,5 tỷ VNĐ",Hà Trì - Hà Cầu, 30m2,,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506448.669592,,,,
