price,address,Diện tích,Ngày đăng,Loại tin,id,Số tầng,Lộ giới,Số phòng ngủ,Mặt tiền,Số toilet
"2,75 tỷ VNĐ",Minh Khai - Hà Nội, 45m2,22/07/2022,Tin thường,batdongsan_so_com_vn_1670506609.727672,,,,,
"6,5 tỷ VNĐ",Quang Trung- Hà Đông, 58m2,21/07/2022,Tin thường,batdongsan_so_com_vn_1670506610.7359226, 4,,,,
"6,5 tỷ VNĐ",Quang Trung- Hà Đông, 58m2,21/07/2022,Tin thường,batdongsan_so_com_vn_1670506611.5486126, 4,,,,
"9,7 tỷ VNĐ","Phố Lê Trọng Tấn, Phường , Quận Thanh Xuân, Thành phố Hà Nội.", 60m2,21/07/2022,Tin thường,batdongsan_so_com_vn_1670506612.6606803, 6,,,,
"6,2 tỷ VNĐ","Lê Lợi, Hà Đông, Hà Nội", 38m2,21/07/2022,Tin thường,batdongsan_so_com_vn_1670506613.6699865, 4, 8, 4,,
"4,2 tỷ VNĐ",Đường Đào Tấn phường Liễu Giai, 40m2,21/07/2022,Tin thường,batdongsan_so_com_vn_1670506614.8551245, 5, 3, 4, 5, 5
"5,35 tỷ VNĐ","Ngõ 63 Lê Đức Thọ,Nam Từ Liêm, HÀ NỘI", 42m2,21/07/2022,Tin thường,batdongsan_so_com_vn_1670506616.0377777, 4, 3, 3, 4, 3
"13,5 tỷ VNĐ",Đường Tố Hữu phường La Khê, 83m2,21/07/2022,Tin thường,batdongsan_so_com_vn_1670506617.3921654, 4, 30, 6, 5, 6
"4,5 tỷ VNĐ",Khương Hạ, 38m2,21/07/2022,Tin thường,batdongsan_so_com_vn_1670506619.810793, 5,,, 3,
"4,95 tỷ VNĐ",Đường Nguyễn Văn Cừ phường Gia Thụy, 40m2,21/07/2022,Tin thường,batdongsan_so_com_vn_1670506622.9044638, 4, 4, 4, 4, 4
"4,45 tỷ VNĐ",Giáp Nhất, 36m2,21/07/2022,Tin thường,batdongsan_so_com_vn_1670506623.8901603, 5,,, 3,
4 tỷ VNĐ,"Khu đô thị mới Tây Nam Hồ Linh Đàm, P. Hoàng Liệt, Q. Hoàng Mai, TP Hà Nội.", 100m2,21/07/2022,Tin thường,batdongsan_so_com_vn_1670506624.975342,,,,,
"17,5 tỷ VNĐ","Phố Ngụy Như Kon Tum, Phường , Quận Thanh Xuân, Thành phố Hà Nội.", 61m2,21/07/2022,Tin thường,batdongsan_so_com_vn_1670506626.0614548, 5,, 10, 5, 10
"6,9 tỷ VNĐ",mỗ lao, 50m2,21/07/2022,Tin thường,batdongsan_so_com_vn_1670506626.9909503, 5,, 6,, 4
"8,8 tỷ VNĐ","Lê Trọng Tấn, Hà Đông, Hà Nội", 57m2,21/07/2022,Tin thường,batdongsan_so_com_vn_1670506628.3084824, 7, 10, 4, 5, 7
"10,2 tỷ VNĐ","Khu vip Văn Quán, Hà Đông, Hà Nội", 60m2,21/07/2022,Tin thường,batdongsan_so_com_vn_1670506629.7037525, 5, 10, 4, 5, 5
10 tỷ VNĐ,"Làng việt kiều Châu Âu, nguyễn Văn Lộc, Mỗ Lao, Hà Đông", 60m2,21/07/2022,Tin thường,batdongsan_so_com_vn_1670506630.9299462, 4,, 3,, 5
"4,5 tỷ VNĐ",Phố Thượng Đình, 36m2,21/07/2022,Tin thường,batdongsan_so_com_vn_1670506631.7563384, 5,,, 3,
"8,85 tỷ VNĐ","Thịnh Liệt, Hoàng Mai, Hà Nội", 60m2,21/07/2022,Tin thường,batdongsan_so_com_vn_1670506632.717727,,,,,
"9,52 tỷ VNĐ","KĐT Mỗ Lao, Hà Đông, Hà Nội", 55m2,21/07/2022,Tin thường,batdongsan_so_com_vn_1670506634.6128392, 6, 8, 4, 5, 6
