price,address,Diện tích,Mặt tiền,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Hướng,Số toilet
"2,7 tỷ VNĐ",Đường Thạch Bàn phường Thạch Bàn, 60m2, 6,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506850.2827744,,,,,
,Đường Nguyễn Trãi phường Khương Đình, 50m2, 5,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506851.688066, 1, 5, 9,,
"25,8 tỷ VNĐ",Phường Mai Dịch Quận Cầu Giấy, 62m2,,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506852.6903913,,,,,
"9,08 tỷ VNĐ","Xã Thanh Lâm – Đại Thịnh, huyện Mê Linh, tp Hà Nội", 219.9m2, 10,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506853.5142155, 13, 3, 5, Tây nam, 6
"10,65 tỷ VNĐ",Đường A phường Trâu Quỳ, 90m2, 6,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506854.5404892, 15, 4, 4,, 4
"9,7 tỷ VNĐ","KĐT Văn Khê, Hà Đông, Hà Nội", 60m2, 5,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506863.773392, 12, 5, 4,,
,"Xá Đồng Trúc, Thạch Thất, Hà Nội", 80m2, 7,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506865.8061795, 5,,,,
"7,5 tỷ VNĐ",Phố Trần Khát Chân, 40m2,,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506866.825457,,,,,
"3,6 tỷ VNĐ",Dương Văn Bé - Hà Nội, 40m2,,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506867.8217576,,,,,
"12,8 tỷ VNĐ",Đường Quan Nhân phường Thanh Xuân Nam, 96m2,,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506868.676471,,,,,
"5,99 tỷ VNĐ",Đường  phường Đông Sơn, 7000m2, 70,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506869.9191482, 1,,,,
"15,5 tỷ VNĐ",Đường Phùng Chí Kiên phường Nghĩa Đô, 65m2, 4,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506870.9483957, 4, 5, 4,, 4
"1,8 tỷ VNĐ",Đường Ấp Tó phường Đông Anh, 42m2, 4,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506871.7472608,,,,,
31 tỷ VNĐ,Đường Cổ Linh phường Long Biên, 129m2, 7,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506872.932131, 40, 1, 3,, 1
1 tỷ VNĐ,Đường Mễ Trì Thượng phường Mễ Trì, 65m2, 4,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506878.2908385, 4, 6, 6,, 7
"4,96 tỷ VNĐ",Văn Quán- Hà Đông, 50m2,,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506879.7413225,, 4,,,
"4,8 tỷ VNĐ",Mỗ Lao- Hà Đông, 50m2,,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506881.732003,, 4,,,
"4,8 tỷ VNĐ",Mỗ Lao- Hà Đông, 50m2,,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506882.5428326,, 4,,,
"4,96 tỷ VNĐ",Văn Quán- Hà Đông, 50m2,,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506883.6736908,, 4,,,
