price,address,Diện tích,Hướng,Mặt tiền,Lộ giới,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet
"16,5 triệu VNĐ/m2","xã bình yên, thạch thất", 133.6m2, Đông nam, 8, 8,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506954.9319475,,,
65 triệu VNĐ/m2,Phan Trọng Tuệ, 72m2,, 5, 30,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506956.0170891,,,
4 tỷ VNĐ,Quang Minh, 70m2,, 5, 24,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506958.4814422,,,
6 tỷ VNĐ,Trịnh Văn Bô, 70m2,,, 40,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506960.331518,,,
55 triệu VNĐ/m2,QL32, 90m2,,, 30,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506961.3996515,,,
26 tỷ VNĐ,Bán nhà chính chủ 100m 8T 27 căn hộ khép kín giá chào 26 tỷ, 100m2,,,,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506962.515614,,,
"1,8 tỷ VNĐ",Đường Quốc lộ 21A phường Bình Yên, 77m2,, 5,,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506965.0040352,,,
"6,5 tỷ VNĐ","NGUYỄN TRÃI, THANH XUÂN", 35m2,,,,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506966.14304,,,
"4,05 tỷ VNĐ",Đường Võ Nguyên Giáp phường Nguyên Khê, 90m2,, 5,,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506967.1734104,,,
"3,6 tỷ VNĐ",Đường Khương Trung phường Khương Trung, 34m2,, 3, 3,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506968.0540547, 5, 4, 4
"19,5 tỷ VNĐ",Cầu Diễn, 140m2,, 14,,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506969.3126879, 8,,
"5,9 tỷ VNĐ",Đường Thái Thịnh phường Thịnh Quang, 57m2,, 3, 3,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506970.7099924, 4, 4, 6
4 tỷ VNĐ,Đường Ngọc Thụy phường Ngọc Thụy, 37m2,, 4, 1,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506972.110207, 5, 4, 4
6 tỷ VNĐ,Đường Khương Trung phường Khương Trung, 48m2,, 3, 4,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506972.9130623, 5, 6, 3
"5,25 tỷ VNĐ",Đường Hào Nam phường Ô Chợ Dừa, 36m2,, 4, 4,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506973.8994243, 4, 3, 3
,"Bán nhà Hồ Ba Mẫu,", 55m2,,,,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506974.976804,,,
11 tỷ VNĐ,hồ tùng mậu, 80m2,, 6, 3,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506976.1097918, 6, 5, 6
3 tỷ VNĐ,Nguyễn An Ninh - Hà Nội, 45m2,,,,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506976.9036624,,,
"5,6 tỷ VNĐ",Đường Nguyễn Trãi phường Thượng Đình, 109m2,, 1, 1,20/07/2022,Tin thường,batdongsan_so_com_vn_1670506977.9737635, 18, 2, 2
"2,85 tỷ VNĐ",Đường Văn Cao phường Liễu Giai, 35m2,, 5, 3,19/07/2022,Tin thường,batdongsan_so_com_vn_1670506978.734769, 3, 3, 3
