price,address,Diện tích,Mặt tiền,Số tầng,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet
7 tỷ VNĐ,Vũ Trọng Phụng, 44m2, 4, 7,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507000.387323,,,
"3,8 tỷ VNĐ","Quan Nhân, Nhân Chính", 34m2,,,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507001.4305236,,,
"8,8 tỷ VNĐ",Đường Thái Thịnh phường Ngã Tư Sở, 43m2, 4, 6,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507002.2702792, 2, 4, 5
"4,5 tỷ VNĐ","Quan Nhân, Nhân Chính, Thanh Xuân, Hà Nội", 55m2,,,09/04/2022,Tin thường,batdongsan_so_com_vn_1670507003.3485487,,,
"4,2 tỷ VNĐ","Quan Nhân, Thanh Xuân", 50m2,,,15/04/2022,Tin thường,batdongsan_so_com_vn_1670507004.2541568,,,
"4,2 tỷ VNĐ","Thanh Xuân, Hà Nội", 45m2,,,18/04/2022,Tin thường,batdongsan_so_com_vn_1670507005.229954,,,
"3,8 tỷ VNĐ","Hoàng Ngân, Nhân Chính, Thanh Xuân", 40m2,,,18/04/2022,Tin thường,batdongsan_so_com_vn_1670507006.169454,,,
"3,65 tỷ VNĐ",Bùi Xương Trạch, 35m2,,,13/04/2022,Tin thường,batdongsan_so_com_vn_1670507006.9752886,,,
"5,6 tỷ VNĐ","Quan Nhân, Nhân Chính, Thanh Xuân", 45m2,,,09/04/2022,Tin thường,batdongsan_so_com_vn_1670507007.8589253,,,
"3,5 tỷ VNĐ",Quan Nhân, 33m2,,,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507008.8931594,,,
"10,5 tỷ VNĐ",Phú Mỹ, 61m2,,,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507009.8418252,,,
"2,5 tỷ VNĐ",Đường  phường Yên Nghĩa, 32m2, 3, 4,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507011.0769823, 2, 3, 3
"5,75 tỷ VNĐ",Đường Quan Nhân phường Nhân Chính, 60m2, 4, 4,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507011.8957932, 3, 6, 4
25 tỷ VNĐ,Đường Nguyễn Chí Thanh phường Láng Thượng, 65m2, 5, 5,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507013.1015687, 3, 6, 3
"10,2 tỷ VNĐ",Hà Nội, 62m2,,,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507014.4130287,,,
6 tỷ VNĐ,Phố Quan Nhân, 50m2, 5, 5,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507015.328281,,,
"3,4 tỷ VNĐ",Đường Ái Mộ phường Bồ Đề, 44m2, 4, 4,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507016.3734887, 2, 3,
6 tỷ VNĐ,Đường Láng, 46m2, 4, 5,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507020.415157,,,
"3,289 tỷ VNĐ",Đường Hoàng Như Tiếp phường Bồ Đề, 32m2, 3, 3,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507021.332705, 3, 3, 3
9 tỷ VNĐ,"Quang Trung, Hà Đông", 54m2, 3, 5,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507022.2612212, 30, 4, 4
