price,address,Diện tích,Lộ giới,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Hướng
,Đường Cầu Bươu phường Kiến Hưng, 536m2, 6,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507045.9604125,,,,,
,Đường Quang Tiến phường Đại Mỗ, 39m2,,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507050.0127892, 3,,,,
"7,9 tỷ VNĐ",Đường Bạch Đằng phường Bạch Đằng, 60m2, 15,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507051.1441286, 4, 5, 1, 8,
12 tỷ VNĐ/m2,Hồng Mai, 55m2,,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507055.955004,,,,,
"9,6 tỷ VNĐ",Đường Nguyễn Văn Cừ phường Ngọc Lâm, 80m2, 5,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507056.8922608, 4, 5, 5, 4,
"9,6 tỷ VNĐ",Đường Nguyễn Văn Cừ phường Ngọc Lâm, 80m2, 5,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507057.8456888, 4, 5, 5, 4,
"4,89 tỷ VNĐ",Đường Hoàng Quốc Việt phường Nghĩa Tân, 36m2, 1,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507059.9042404, 5, 4, 4, 4,
"4,9 tỷ VNĐ",Đường Nguyễn Văn Huyên phường Nghĩa Đô, 36m2, 1,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507062.0869474, 5, 5, 4, 4,
"4,8 tỷ VNĐ","Khương trung, Thanh Xuân, Hà Nội", 38m2,,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507063.6009934, 4, 6, 4, 4,
"1,99 tỷ VNĐ",Đường Bắc Thăng Long phường Hải Bối, 42m2,,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507064.5983257, 4,,,,
"1,16 tỷ VNĐ","kim sơn , gia lâm", 42m2, 2,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507065.533974, 4,,,,
6 tỷ VNĐ,Phố Thượng Đình, 45m2,,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507066.464459, 4, 5,,,
"9,1 tỷ VNĐ",Đường Hoàng Quốc Việt phường Nghĩa Tân, 50m2, 6,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507067.383004, 4, 4, 4, 4,
"6,6 tỷ VNĐ",Nguyễn Khuyến, 33m2,,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507068.3069909, 4, 4, 4, 3, Tây nam
"3,83 tỷ VNĐ",Đường Đường 131 phường Mai Đình, 105m2,,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507069.491298, 5,,,,
"2,4 tỷ VNĐ",Ngô Quyền, 50m2,,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507070.6490076, 4, 4, 4, 3, Tây
"2,4 tỷ VNĐ",Hà Trì 3, 37m2,,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507071.7743173, 4, 3, 2, 2, Tây
"3,4 tỷ VNĐ",Đường Thạch Bàn phường Thạch Bàn, 31m2, 3,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507072.5552123,, 5, 3, 4,
"5,2 tỷ VNĐ","đình thôn, mỹ đình 1, nam từ liêm", 45m2,,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507073.5445244,,,,,
22 tỷ VNĐ,trích sài, 200m2, 3,19/07/2022,Tin thường,batdongsan_so_com_vn_1670507074.762296, 12, 4,,,
