price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Hướng
990 triệu VNĐ,"Đường Tả Thanh Oai, Huyện Thanh Trì, Thành phố Hà Nội.", 45m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507237.6617563,,,,,,
,MẶT PHỐ LẠC LONG QUÂN 80m 9 tầng giá 555tr/m, 80m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507238.3981364,,,,,,
6 tỷ VNĐ,Đường Khương Trung mới phường Thanh Xuân Trung, 60m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507239.282476, 5, 1, 4, 4, 4,
"19,4 tỷ VNĐ",Đường Ngọc Lâm phường Ngọc Lâm, 120m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507240.5093372, 6, 10, 5, 8, 8,
"6,2 tỷ VNĐ",Đường Thịnh Quang phường Thịnh Quang, 36m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507241.4148562, 4, 3, 6, 3, 4,
"6,6 tỷ VNĐ","Ngõ 199 Hồ Tùng Mậu , Cầu Giấy, Hà Nội", 83m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507245.9654672, 4,,,,, Đông nam
,Đường Quốc lộ 70 phường Kiến Hưng, 52m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507246.8951392, 4, 10, 4, 12, 4,
,Thạch Bàn, 50m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507248.9730272,,,,,,
"4,7 tỷ VNĐ",Đường Trần Phú phường Mộ Lao, 35m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507250.0069454, 3, 2, 4, 4, 2,
9 tỷ VNĐ,Ngọc Thụy, 160m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507251.2803323,,,,,,
7 tỷ VNĐ,Nguyễn Trãi, 44m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507252.073155, 4,, 7,,,
6 tỷ VNĐ,Đường Tô Vĩnh Diện phường Thanh Xuân Trung, 60m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507252.975741, 5, 1, 4, 4, 4,
"2,7 tỷ VNĐ",Đường Mậu Lương phường Kiến Hưng, 30m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507254.0000014, 3, 2, 5, 3, 3,
"3,6 tỷ VNĐ",Đường Yên Xá phường Tân Triều, 32m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507255.0178206, 4, 2, 5, 3, 3,
"9,5 tỷ VNĐ",Đường Thổ Quan phường Thổ Quan, 40m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507255.9579701, 3, 4, 5, 4,,
4 tỷ VNĐ,lạc long quân, 35m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507257.1966598, 5, 2, 5, 3,,
"1,8 tỷ VNĐ","Đa Tốn , Gia Lâm , Hà Nội", 40m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507258.1142044, 4, 4,,,,
"2,2 tỷ VNĐ","+ Bán nhà đê la thành, Trung tâm Quận đống đa,", 24m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507259.0369608,,,,,,
"5,2 tỷ VNĐ","Trương Định, hoàng Mai, Hn", 50m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507260.2466795,,,,,,
"7,8 tỷ VNĐ",Đường Nguyễn Văn Cừ phường Gia Thụy, 60m2,18/07/2022,Tin thường,batdongsan_so_com_vn_1670507261.5648637, 4, 6, 5, 6, 4,
