price,address,Diện tích,Hướng,Mặt tiền,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"1,04 tỷ VNĐ","Đường Quốc Lộ 3, Đông Xuân, Sóc Sơn", 55m2, Tây nam, 4,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445671.3800876,,,,
"4,95 tỷ VNĐ","Đường Láng, Láng Thượng, Đống Đa", 44m2,,,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445673.073736, 2, 3, 2, 2
"2,006 tỷ VNĐ",Thôn Viên Nội - Xã Vân Nội - Đông Anh - Hà Nội, 68m2,, 4,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445674.9994397,,,,
"3,7 tỷ VNĐ","Đường Lê Quang Đạo, Mỹ Đình 2, Nam Từ Liêm", 33m2,, 4,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445676.6127398, 3, 5, 3,
"3,7 tỷ VNĐ","Đường Lê Quang Đạo, Mỹ Đình 2, Nam Từ Liêm", 33m2,, 4,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445678.446338, 3, 5, 3,
"6,3 tỷ VNĐ","Đường Chính Kinh, Nhân Chính, Thanh Xuân", 50m2,, 4,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445680.2257915, 3, 4, 3, 3
"3,28 tỷ VNĐ","Đường Tố Hữu, Dương Nội, Hà Đông", 75m2,, 10,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445683.093114, 15, 35, 2, 2
"4,85 tỷ VNĐ","Đường Đội cấn, Liễu Giai, Ba Đình", 50m2,, 6,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445684.866625, 4, 3, 3, 3
"4,5 tỷ VNĐ","Mai Lâm, huyện Đông ANh, Hà Nội", 82m2, Đông nam, 6,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445687.1340172, 6,,,
"8,6 tỷ VNĐ","Đường Khuất Duy Tiến, Nhân Chính, Thanh Xuân", 42m2,, 3,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445689.0898144, 7, 4, 4, 3
22 tỷ VNĐ,Quận Cầu Giấy, 45m2,,,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445692.014448,,,,
"5,9 tỷ VNĐ","275 Nguyễn Trãi, Thanh Xuân, Hà Nội", 147m2,,,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445694.282364,, 10, 3, 2
"5,84 tỷ VNĐ","Chính Kinh, Thanh Xuân, Hà Nội", 45m2,, 3,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445699.0435162,, 5, 9, 9
"3,8 tỷ VNĐ","Đường Lĩnh Nam, Lĩnh Nam, Hoàng Mai", 38m2,, 4,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445701.155519, 15, 5, 3, 4
"2,8 tỷ VNĐ",văn điển thanh trì hà nội, 42m2,, 4,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445703.8363967,, 4, 4, 3
"2,43 tỷ VNĐ","Đường Bắc Cầu, Ngọc Thụy, Long Biên", 51m2,, 4,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445705.306105, 6, 4, 3, 4
68 tỷ VNĐ,"Đường Đường Thành, Cửa Đông, Hoàn Kiếm", 100m2,, 5,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445707.2589312, 20, 8, 16, 16
"3,2 tỷ VNĐ","Tựu Liệt, Tam Hiệp", 45m2,,,21/11/2022,Tin thường,batdongsan_so_com_vn_1670445709.4004493,,,,
"31,8 tỷ VNĐ","Đường Hoàng Cầu, Ô Chợ Dừa, Đống Đa", 75m2,, 5,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445711.3276389, 8, 7, 7, 8
"14,5 tỷ VNĐ",Lê Lai - Hà Đông, 70m2,, 6,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445713.502316,,,,
