price,address,Diện tích,Mặt tiền,Số tầng,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Lộ giới
"4,7 tỷ VNĐ",Hạ Đình, 42m2, 3, 5,16/07/2022,Tin thường,batdongsan_so_com_vn_1670507529.4411821,,,
"4,8 tỷ VNĐ",kim Giang, 44m2, 4, 5,16/07/2022,Tin thường,batdongsan_so_com_vn_1670507530.2540107,,,
7 tỷ VNĐ,quang trung, 55m2, 4, 5,16/07/2022,Tin thường,batdongsan_so_com_vn_1670507531.0309317, 6, 6,
"10,2 tỷ VNĐ","Đường Kim Giang, Phường , Quận Hoàng Mai, Thành phố Hà Nội.", 60m2,,,16/07/2022,Tin thường,batdongsan_so_com_vn_1670507532.0446649,,,
"7,2 tỷ VNĐ",Cầu giấy, 70m2,,,16/07/2022,Tin thường,batdongsan_so_com_vn_1670507532.8027341,,,
"10,5 tỷ VNĐ",Đường Đặng Thùy Trâm phường Dịch Vọng Hậu, 39m2, 3, 5,16/07/2022,Tin thường,batdongsan_so_com_vn_1670507533.750201, 6, 5, 6
11 tỷ VNĐ,Đường Dương Quảng Hàm phường Quan Hoa, 80m2, 8, 4,16/07/2022,Tin thường,batdongsan_so_com_vn_1670507534.860233, 5, 4, 4
4 tỷ VNĐ,Mỗ Lao- Hà Đông, 36m2,, 5,16/07/2022,Tin thường,batdongsan_so_com_vn_1670507535.839135,,,
"4,05 tỷ VNĐ",Văn Quán- Hà Đông, 37m2,, 5,16/07/2022,Tin thường,batdongsan_so_com_vn_1670507536.7202845,,,
"4,05 tỷ VNĐ",Văn Quán- Hà Đông, 37m2,, 5,16/07/2022,Tin thường,batdongsan_so_com_vn_1670507537.6587353,,,
4 tỷ VNĐ,Mỗ Lao- Hà Đông, 36m2,, 5,16/07/2022,Tin thường,batdongsan_so_com_vn_1670507538.6276994,,,
"4,8 tỷ VNĐ",Đường Láng Hạ phường Láng Hạ, 40m2, 5, 6,16/07/2022,Tin thường,batdongsan_so_com_vn_1670507539.49596,,, 3
"3,65 tỷ VNĐ","Bát Khối, Long Biên, Hà Nội", 31m2, 4, 5,16/07/2022,Tin thường,batdongsan_so_com_vn_1670507540.5222673, 3,, 3
"3,05 tỷ VNĐ",Đường Lê Văn Lương phường Nhân Chính, 35m2, 3, 2,16/07/2022,Tin thường,batdongsan_so_com_vn_1670507541.3605852, 2, 2, 2
"5,4 tỷ VNĐ",Đường Hồ Đắc Di phường Nam Đồng, 43m2, 3, 4,16/07/2022,Tin thường,batdongsan_so_com_vn_1670507542.2522013, 4, 4, 4
120 triệu VNĐ/m2,"Thành Trung, Trâu Quỳ, Gia Lâm, Hà Nội", 75m2, 5, 5,11/07/2022,Tin thường,batdongsan_so_com_vn_1670507544.1437092, 8, 4, 18
"1,95 tỷ VNĐ",Đường Đông Mỹ phường Vạn Phúc, 81m2, 5,,16/07/2022,Tin thường,batdongsan_so_com_vn_1670507545.2896457,,,
"7,5 tỷ VNĐ",Đường Hoàng Quốc Việt phường Nghĩa Tân, 42m2, 4, 5,16/07/2022,Tin thường,batdongsan_so_com_vn_1670507546.1936433, 6, 4, 6
"4,19 tỷ VNĐ",Đường Phú Đô phường Phú Đô, 39m2, 4, 5,16/07/2022,Tin thường,batdongsan_so_com_vn_1670507547.1998222, 3, 4, 3
"9,5 tỷ VNĐ",Đường Lâm Hạ phường Bồ Đề, 90m2, 7, 4,16/07/2022,Tin thường,batdongsan_so_com_vn_1670507548.4733112, 5, 5, 5
