price,address,Diện tích,Lộ giới,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Mặt tiền
"3,5 tỷ VNĐ",Đường ngọc hà phường Đội Cấn, 33m2, 3,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507681.593607,,,,
"2,4 tỷ VNĐ",Nguyễn Trãi, 22m2,,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507682.443335, 3, 2, 3,
"4,85 tỷ VNĐ",Đường Lê Trọng Tấn phường La Khê, 30m2, 4,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507683.6451607, 4, 3, 4, 4
"1,8 tỷ VNĐ","ngõ 424/7  Trần Khát Chân, Quận Hai Bà Trưng, Hà Nội", 19m2,,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507684.671378, 4,,,
"9,6 tỷ VNĐ",Đường Phúc Lợi phường Phúc Lợi, 73m2,,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507686.0759542,,,, 6
"2,75 tỷ VNĐ",Ngõ Chợ Khâm Thiên, 40m2,,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507687.0792718, 2, 2, 1,
"4,29 tỷ VNĐ",Đường Trung Kính phường Yên Hòa, 38m2, 2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507687.8322954, 5, 4, 4, 3
"3,1 tỷ VNĐ",Nguyễn Trãi, 30m2,,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507688.695949,,,,
,Đường Quang Trung phường Hà Cầu,, 1,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507689.7351692,,,,
"2,1 tỷ VNĐ",Đường Yên Bình phường Yên Nghĩa, 36m2, 5,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507690.922461, 4, 3, 4, 3
"5,4 tỷ VNĐ",Phố Quan Nhân, 36m2,,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507691.778362, 5,,, 4
11 tỷ VNĐ,Hồ Tùng Mậu, 40m2,,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507692.659008, 4, 2,, 4
"7,5 tỷ VNĐ","nguyễn An Ninh, Hoàng Mai, Hà Nội", 60m2,,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507693.7999587,,,,
"31,5 tỷ VNĐ",Đường Lạc Long Quân phường Bưởi, 105m2, 20,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507694.8212836, 1, 2, 1, 6
"7,5 tỷ VNĐ","Trương Định, Hoàng Mai, Hà Nội", 70m2,,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507695.9314907,,,,
11 tỷ VNĐ,Đường Đội cấn phường Đội Cấn, 55m2, 15,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507696.994646, 1, 2, 1, 8
5 tỷ VNĐ,Đường Tô Hiệu phường Nguyễn Trãi, 43m2, 4,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507698.4688146, 3, 3, 3, 3
18 tỷ VNĐ,Đường Bát Khối phường Cự Khối, 120m2,,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507700.1643176,,,, 6
,Đường Xa La phường Kiến Hưng,, 10,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507701.6542964, 5, 4, 4,
"2,8 tỷ VNĐ","Đông Dư, Gia Lâm", 45m2, 4,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507703.2350686, 4, 3,, 4
