price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Lộ giới
190 triệu VNĐ/m2,"long biên , ha Nội", 125m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507729.2287602,,,,,
"7,1 tỷ VNĐ","Long Biên, Hà Nội", 90m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507730.2351072, 3, 4, 3, 3,
"6,2 tỷ VNĐ",kim mã ngọc khánh, 50m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507731.1407382, 4, 4, 3,,
"2,8 tỷ VNĐ","Cổ Linh, Long Biên", 45m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507732.170827, 4, 4, 3,, 4
17 tỷ VNĐ,"Cầu Giấy, Hà Nội", 70m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507732.9278579,,,,,
"4,28 tỷ VNĐ",Vạn Phúc- Hà Đông, 40m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507733.8064525,, 4,,,
"4,1 tỷ VNĐ",Ngô Quyền- Hà Đông, 40m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507734.8965375,, 4,,,
"4,1 tỷ VNĐ",Ngô Quyền- Hà Đông, 40m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507735.7781806,, 4,,,
"4,28 tỷ VNĐ",Vạn Phúc- Hà Đông, 40m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507736.6678011,, 4,,,
"7,3 tỷ VNĐ",Phố Cự Lộc, 38m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507737.5428047, 3, 5,,,
,"Chính chủ Bán hoặc cho Thuê nhà số 78 phố Yên Ninh, Ba Đình, 0934388882", 70m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507738.3775718,,,,,
"33,9 tỷ VNĐ","minh khai , hai bà trưng", 300m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507739.8187177, 20, 3, 6, 7,
"6,3 tỷ VNĐ",Nguyễn Trãi, 35m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507740.971686, 3, 5,,,
,Đường Lò Đúc phường Phố Huế, 24m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507741.9181046,, 4,,, 4
15 tỷ VNĐ,Nguyễn phúc lai, 56m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507742.7728531, 4, 7, 4,,
"3,5 tỷ VNĐ",Đường Chu Văn An phường La Khê, 32m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507747.2655509,, 5,,, 3
"3,9 tỷ VNĐ",lac long quân, 35m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507749.4773037, 5, 5,, 5, 2
"9,7 tỷ VNĐ",Đường Phùng Chí Kiên phường Nghĩa Đô, 45m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507750.4001296, 4, 7, 4, 6, 15
"5,35 tỷ VNĐ",Nguyễn Văn Linh, 50m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507751.4978416,,,,,
"4,5 tỷ VNĐ",Đường Khương Hạ phường Khương Hạ, 35m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507752.548033, 3, 5, 3, 4, 3
