price,address,Diện tích,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Hướng,Lộ giới,Số toilet
4 tỷ VNĐ,Mậu Lương - Hà Đông, 39m2, 4,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445774.903288,,,,,
"3,65 tỷ VNĐ",Phương Liệt Thanh Xuân Hà Nội, 35m2, 4,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445777.296534, 4, 4,,,
460 triệu VNĐ,"Đường Ngọc Khánh, Ngọc Khánh, Ba Đình", 35m2, 3,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445779.3098755, 4, 3, Đông, 3, 2
"21,5 tỷ VNĐ","Đường Nguyễn Khả Trạc, Mai Dịch, Cầu Giấy", 80m2, 7,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445781.899334, 4, 10,, 10, 11
"21,5 tỷ VNĐ","Đường Nguyễn Khả Trạc, Mai Dịch, Cầu Giấy", 80m2, 7,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445784.627416, 4, 10,, 10, 11
10 tỷ VNĐ,Nguyễn Đình Chiểu Hai Bà Trưng Hà Nội, 50m2, 5,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445786.902952, 4, 5,,,
23 tỷ VNĐ,"Đường Đại lộ Thăng Long, An Khánh, Hoài Đức", 160m2, 5,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445789.5027068, 7, 4,, 10, 3
4 tỷ VNĐ,"Đường Văn Chương, Thổ Quan, Đống Đa", 38m2, 5,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445792.7515373, 3, 6,, 6, 6
"6,6 tỷ VNĐ","Đường Điện Biên Phủ, Điện Biên, Ba Đình", 30m2, 6,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445794.476724, 4, 4,, 1, 5
"3,1 tỷ VNĐ","Đường Nguyễn Ngọc Vũ, Trung Hòa, Cầu Giấy", 77m2, 7,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445796.9990816, 8, 2,, 50, 2
"8,1 tỷ VNĐ","Đường Hồng Hà, Phúc Xá, Ba Đình", 47m2, 5,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445799.4932468, 3, 8,, 5, 4
45 tỷ VNĐ,"Đường Nguyễn Xiển, Thanh Xuân Trung, Thanh Xuân", 100m2, 7,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445801.854287, 5, 4,, 40, 7
"5,1 tỷ VNĐ","Đường Bùi Xương Trạch, Khương Trung, Thanh Xuân", 56m2, 4,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445803.7276304,, 4,, 1, 3
"7,8 tỷ VNĐ","Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội", 50m2, 5,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445806.062582,, 4,,,
"7,8 tỷ VNĐ","Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội", 50m2, 5,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445808.8945572,, 4,,,
"8,55 tỷ VNĐ","Đường Khuất Duy Tiến, Nhân Chính, Thanh Xuân", 42m2, 4,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445811.5206482, 3, 4,, 7, 3
7 tỷ VNĐ,"Đường Láng, Láng Thượng, Đống Đa", 34m2, 3,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445813.7619903, 3,,, 50,
"17,5 tỷ VNĐ","Đường Láng Hạ, Giảng Võ, Ba Đình", 68m2, 5,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445815.4804173, 4, 6,, 15, 5
3 tỷ VNĐ,188 au co quang an tay ho, 30m2, 5,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445817.674989, 5, 4,, 5, 4
"2,15 tỷ VNĐ","Đường Lương Thế Vinh, Mễ Trì, Nam Từ Liêm", 70m2,,20/11/2022,Tin thường,batdongsan_so_com_vn_1670445820.362329,,,, 1,
