price,address,Diện tích,Lộ giới,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet
"7,5 tỷ VNĐ",Đường Thái Hà phường Láng Hạ, 40m2, 1,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507823.398786,,,,
"12,5 tỷ VNĐ","dự án Kim Văn, Phường Đại Kim, Quận Hoàng Mai", 83m2,,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507825.1067486, 6, 4,,
"2,6 tỷ VNĐ",Đường Văn Minh phường Di Trạch, 52m2, 2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507825.9903302, 3, 5, 3, 2
"2,67 tỷ VNĐ",Võ Thị Sáu - Hà Nội, 45m2,,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507827.0275567,,,,
"3,8 tỷ VNĐ","Tứ Hiệp, Thanh Trì, Hà Nội", 41m2,,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507828.1267035,,,,
"3,7 tỷ VNĐ","Khương Đình, Thanh Xuân", 35m2,,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507829.0472558,,,,
"3,15 tỷ VNĐ","Tứ Hiệp, Thanh Trì, Hà Nội", 37m2,,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507830.0904822,,,,
"4,7 tỷ VNĐ",Đống Đa Hà Nội, 35m2, 3,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507831.0000613, 3, 3, 3, 2
"3,2 tỷ VNĐ",Nguyễn Trãi Thanh Xuân, 26m2,,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507831.8687005,,,,
"6,2 tỷ VNĐ",Đường Võ Văn Dũng phường Ô Chợ Dừa, 100m2, 5,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507832.9500825, 4, 5, 3, 4
42 tỷ VNĐ,Đường Âu Cơ phường Phú Thượng, 140m2, 15,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507834.4361086, 10, 4, 5, 4
"4,2 tỷ VNĐ",Đường Xuân Đỉnh phường Xuân Đỉnh, 35m2, 2,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507836.508376, 4, 5, 3, 4
3 tỷ VNĐ,phố Minh Khai, 35m2,,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507838.1974015,,,,
"6,3 tỷ VNĐ",Đường Thái Hà phường Trung Liệt, 40m2, 4,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507839.5350983, 4, 5, 6, 4
"5,65 tỷ VNĐ",Hoàng Đạo Thành, 44m2,,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507840.5204194, 4, 5,,
"1,3 tỷ VNĐ",Cầu Giấy, 55m2,,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507841.490856,, 4, 2,
"5,6 tỷ VNĐ",Trường Chinh, 44m2,,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507842.2537847, 3, 5,,
"3,4 tỷ VNĐ","phú đô, nam từ liêm", 30m2,,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507843.3224957,,,,
4 tỷ VNĐ,Tô Hiệu- Hà Đông, 37m2,,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507844.1522772,, 4,,
"4,05 tỷ VNĐ",Bà Triệu- Hà Đông, 38m2,,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507845.3460858,, 4,,
