price,address,Diện tích,Số tầng,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet,Mặt tiền
"4,05 tỷ VNĐ",Bà Triệu- Hà Đông, 38m2, 4,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507864.2119963,,,,
4 tỷ VNĐ,Tô Hiệu- Hà Đông, 37m2, 4,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507865.2086368,,,,
"2,1 tỷ VNĐ",Đường 19 phường Hải Bối, 30m2, 3,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507865.9925313, 9, 3, 2,
"3,98 tỷ VNĐ","Đường Khương Đình, Phường , Quận Thanh Xuân, Thành phố Hà Nội", 35m2, 5,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507867.0437706,,,,
"3,1 tỷ VNĐ",Đường Tứ Hiệp phường Tứ Hiệp, 148m2,,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507868.116849, 5, 4, 3, 10
"4,3 tỷ VNĐ",Đường 69 phường Mỹ Đình 1, 45m2, 5,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507868.8993576, 1, 5, 5, 45
"4,7 tỷ VNĐ","Trâu Quỳ , Gia Lâm , Hà Nội", 100m2,,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507869.8877711, 5,,, 5
5 tỷ VNĐ,Hà Nội, 79m2,,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507870.7149904,,,,
"3,9 tỷ VNĐ","Đường Kim Giang, Phường , Quận Hoàng Mai, Thành phố Hà Nội", 40m2, 5,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507872.1142027,,,,
"6,8 tỷ VNĐ",Nguyễn Trãi, 52m2, 5,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507873.1365235,,,, 3
"13,5 tỷ VNĐ",Đường Cù Chính Lan phường Khương Trung, 57m2, 5,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507874.1856632, 1, 4, 3, 5
"6,3 tỷ VNĐ",Đường Kim Mã phường Kim Mã, 40m2, 5,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507875.361033, 1, 4,,
"6,8 tỷ VNĐ",Ngã Tư sở, 52m2, 5,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507885.1403973,, 5,, 4
"5,8 tỷ VNĐ",Đường Phương Liệt phường Phương Liệt, 48m2, 5,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507886.6304126, 2, 4, 5, 3
140 triệu VNĐ/m2,Phường Xuân Đỉnh, 30m2,,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507887.6636927,,,,
"3,1 tỷ VNĐ",Đường Vĩnh Phúc phường Vĩnh Phúc, 33m2, 5,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507891.9184687, 3, 5, 5, 4
"7,6 tỷ VNĐ",Phố Thái Hà, 52m2,,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507892.9147627,,,,
,Trần Khát Trân, 50m2,,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507894.3125398,,,,
"5,35 tỷ VNĐ",Nguyễn Văn Linh, 50m2,,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507895.6111016,,,,
