price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
60 tỷ VNĐ,quanthanhxuan, 145m2,03/12/2020,Tin thường,batdongsan_so_com_vn_1670507963.135593,,,,,
78 tỷ VNĐ,quancaugiay, 184m2,03/12/2020,Tin thường,batdongsan_so_com_vn_1670507983.3178263,,,,,
95 tỷ VNĐ,quancaugiay, 280m2,03/12/2020,Tin thường,batdongsan_so_com_vn_1670507984.3889651,,,,,
210 tỷ VNĐ,quannamtuniem, 390m2,04/12/2020,Tin thường,batdongsan_so_com_vn_1670507985.398805,,,,,
62 tỷ VNĐ,quancaugiay, 147m2,05/12/2020,Tin thường,batdongsan_so_com_vn_1670507986.3512328,,,,,
42 tỷ VNĐ,quanthanhxuan, 85m2,05/12/2020,Tin thường,batdongsan_so_com_vn_1670507987.3620927,,,,,
"1,65 tỷ VNĐ","Đông Dư , Gia Lâm ,Hà Nội", 37m2,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507988.4340293, 4, 3,,,
"19,99 tỷ VNĐ",Đường Quang Trung phường La Khê, 100m2,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507989.6948848, 5, 50, 4, 4, 4
"11,45 tỷ VNĐ",Khu đô thị Văn Khê, 88m2,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507990.8402548, 5,, 4, 4, 4
"7,6 tỷ VNĐ","Khương Đình, Thanh Xuân, Hà Nội.", 41m2,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507991.8401692, 4, 3, 6, 5,
"1,15 tỷ VNĐ",Đoãn Kế Thiện, 45m2,14/07/2022,Tin thường,batdongsan_so_com_vn_1670507995.4257574,,, 2, 2, 1
"4,5 tỷ VNĐ",Đường Trần Thái Tông phường Dịch Vọng, 38m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670507997.551456, 4, 8, 5, 3, 4
69 tỷ VNĐ,"phố Hàng Hành, Phường Hàng Trống, Quận Hoàn Kiếm, Hà Nội", 43m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670507998.572002, 4,, 10,,
"4,5 tỷ VNĐ",Đường Mỹ Đình phường Mỹ Đình 1, 38m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670507999.6990066, 4, 8, 5, 3, 4
"4,5 tỷ VNĐ",Đường Mỹ Đình phường Mỹ Đình 1, 38m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508000.6305888, 4, 8, 5, 3, 4
"3,9 tỷ VNĐ","NGUYỄN TRÃI, THANH XUÂN", 38m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508001.5334463,,,,,
"3,2 tỷ VNĐ",Đường Chu Huy Mân phường Phúc Đồng, 69m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508002.8539324, 4, 4,,,
"7,6 tỷ VNĐ",Phố Võ Thị Sáu, 45m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508005.2514777,,,,,
"3,6 tỷ VNĐ","Nguyễn Trãi, Thanh Xuân", 35m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508006.755456,,,,,
"10,8 tỷ VNĐ",Đường Phan Văn Trường phường Dịch Vọng Hậu, 45m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508008.4695466, 4, 4, 5, 5, 4
