price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Hướng,Lộ giới
"6,3 tỷ VNĐ","Bát Khối, Tư Đình", 56.5m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508176.9562635,,,,,,
"7,9 tỷ VNĐ",thượng đình, 55m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508177.9645667, 4, 4, 4, 3,,
"2,35 tỷ VNĐ",Đường Phùng Hưng phường Phúc La, 31m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508179.099532, 4,,,,,
7 tỷ VNĐ,"Trâu QUỳ, Gia Lâm, Hà Nội", 70m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508180.2574408, 7, 2, 4,, Đông nam,
"9,56 tỷ VNĐ",Đường Quang Trung phường La Khê, 50m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508181.4263103, 4, 7, 7, 6,, 7
"4,4 tỷ VNĐ",Phố Cự Lộc - Thượng Đình - Thanh Xuân - Hà Nội, 39m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508183.13175, 4, 5, 4, 4,,
"3,9 tỷ VNĐ",Phố Khương Hạ -Khương Hạ - Thanh Xuân - Hà Nội, 33m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508184.5919805, 5, 5, 4, 4,,
"10,65 tỷ VNĐ",Đường A phường Trâu Quỳ, 90m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508185.7290442, 6, 4, 4, 4,, 15
"3,2 tỷ VNĐ",Đường Khu đô thi mới tây nam linh đàm phường Hoàng Liệt, 68m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508187.026998, 6,, 2, 3,, 2
"4,55 tỷ VNĐ",Đường 3 phường Nguyên Khê, 70m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508188.172931, 5,,,,,
9 tỷ VNĐ,Đường Hồng Tiến phường Ngọc Thụy, 71m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508189.2371686, 5, 3, 3, 3,, 3
"3,7 tỷ VNĐ","mỹ đình, nam từ liêm", 40m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508190.1941586,,,,,,
"11,495 tỷ VNĐ",Khu đô thị Văn Khê - Hà Đông, 83m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508191.2932544, 5, 4, 4, 4,,
3 tỷ VNĐ,Đường 1 phường Ngọc Thụy, 35m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508192.4438736, 3, 5, 3, 4,, 3
"6,5 tỷ VNĐ",Phạm Văn Đồng, 45m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508193.5271082, 4, 5, 3, 4,,
"4,5 tỷ VNĐ","Khương Đình, Thanh Xuân, Hà Nội.", 35m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508194.6150236, 3, 5, 4,,, 2
"16,5 tỷ VNĐ",Đường Trần Quốc Hoàn phường Mai Dịch, 55m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508195.7174027, 5, 6, 7, 5,, 6
"6,3 tỷ VNĐ",129-Bát Khối, 56m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508196.7855935,,,,,,
"2,65 tỷ VNĐ",27-Long Biên1, 31m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508198.0930474,,,,,,
"2,6 tỷ VNĐ",Minh Khai - Hà Nội, 45m2,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508200.6282682,,,,,,
