price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Lộ giới,Số toilet
"9,9 tỷ VNĐ",Hoàng Quốc Việt - Cầu Giấy - Hà Nội, 36m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508334.9731002,,,,,
10 tỷ VNĐ,Hoàng Hoa Thám - Tây Hồ - Hà Nội, 36m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508336.0248022,,,,,
"4,2 tỷ VNĐ","Đường Khương Đình, Phường , Quận Thanh Xuân, Thành phố Hà Nội.", 32m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508337.1267598,,,,,
"5,32 tỷ VNĐ",Cầu giấy, 59m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508338.3750153,,,,,
5 tỷ VNĐ,Tây Sơn, 40m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508339.7234354, 3, 5, 4,,
"5,2 tỷ VNĐ",Cầu giấy, 59m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508340.8649805,,,,,
"3,8 tỷ VNĐ",Nguyễn Trãi, 35m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508342.6481524,,,,,
10 tỷ VNĐ,Thụy Khuê - Tây Hồ - Hà Nội, 36m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508346.3202095,,,,,
"3,6 tỷ VNĐ",Đường Tạ Quang Bửu phường Bạch Đằng, 52m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508347.5480049, 4, 6, 4, 1, 4
"3,5 tỷ VNĐ",Đường Uy Nỗ phường Xuân Nộn, 81m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508348.4905043, 5,,,,
10 tỷ VNĐ,Thuỵ Khuê - Tây Hồ - Hà Nội, 36m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508349.658933,,,,,
10 tỷ VNĐ,Thụy Khuê - Tây Hồ - Hà Nội, 35m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508350.7006512,,,,,
"4,4 tỷ VNĐ",Nguyễn Trãi, 43m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508351.598462,,,,,
"4,6 tỷ VNĐ","Phố Khương Đình, Quận Thanh Xuân, Thành phố Hà Nội", 35m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508352.9427094,, 5,,,
8 tỷ VNĐ,Đường Ngọc Lâm phường Ngọc Lâm, 83m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508353.9630136, 6, 4, 5, 5, 5
"8,2 tỷ VNĐ/m2","Đường Vĩnh Tuy, quận Hai Bà Trưng", 116m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508355.0031774, 7, 3, 10, 16,
20 tỷ VNĐ,Nguyễn Đức Quý - Thanh Xuân - Hà Nội, 85m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508355.9678304,,,,,
11 tỷ VNĐ,Phạm Tuấn Tài - Cầu Giấy - Hà Nội, 50m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508357.212517,,,,,
9 tỷ VNĐ,Đường Việt Hưng phường Việt Hưng, 65m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508358.2778199, 5, 5, 5, 9, 4
,"Bán Gấp Nhà VĂN CHƯƠNG, TÔN ĐỨC THẮNG, 4 tầng, chỉ 2.2 tỷ,  S rộng, sầm uất, có BANK.", 30m2,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508359.5613854,,,,,
