price,address,Diện tích,Mặt tiền,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Lộ giới,Hướng
"2,21 tỷ VNĐ",Đường Nguyên Khê phường Nguyên Khê, 66m2, 4,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508381.9142761,,,,,
885 triệu VNĐ,Đường Tỉnh Lộ 131 phường Quang Tiến, 59m2, 4,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508384.0842798,,,,,
"3,65 tỷ VNĐ",Tư Đình, 40m2,,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508387.018662,,,,,
"3,3 tỷ VNĐ","phú đô, nam từ liêm", 30m2,,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508388.3561234, 5, 3, 5,,
,tôn đức thắng, 30m2,,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508389.464747,,,,,
3 tỷ VNĐ/m2,"Đường Vĩnh Hưng, quận Hoàng Mai", 32m2, 5,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508390.617874, 5, 3,, 6,
5 tỷ VNĐ,Tấy Sơn, 42m2, 4,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508391.7837782, 5, 4,,,
"1,403 tỷ VNĐ",Đường Tỉnh Lộ 131 phường Quang Tiến, 61m2, 4,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508393.4428678,,,,,
"23,6 tỷ VNĐ",Đường Đào Tấn phường Cống Vị, 90m2, 9,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508394.8130088, 6, 12, 12, 4,
"2,2 tỷ VNĐ","Từ 2.2 tỷ sở hữu ngay nhà 35m2 5 tầng phố Hoàng Ngân, Lê Văn Lương", 35m2,,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508396.2744722,,,,,
"7,5 tỷ VNĐ",thượng đình, 48m2, 4,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508397.5875666, 5, 6, 4,,
,Doãn kế Thiện .Cầu Giấy, 33m2,,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508398.6217265,,,,,
"5,6 tỷ VNĐ",Kẻ Tạnh, 56m2,,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508399.7373574,,,,,
"6,1 tỷ VNĐ",Lê Đức Thọ, 55m2,,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508400.7149897,,,,,
"2,21 tỷ VNĐ",Đường Nguyên Khê phường Nguyên Khê, 66m2, 4,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508402.0065448,,,,,
"2,65 tỷ VNĐ",Ngọc Lâm, 31m2,,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508403.1224396,,,,,
"1,78 tỷ VNĐ","TÒA E1, ECOHOME PHÚC LỢI, LONG BIÊN HÀ NỘI", 68m2,,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508404.3748171, 4, 2, 2,, Đông bắc
"3,55 tỷ VNĐ",Ngọc Thụy, 62m2,,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508406.075252,,,,,
"1,95 tỷ VNĐ",Đường Tả Thanh Oai phường Tả Thanh Oai, 35m2, 6,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508407.1974351, 4, 3, 3, 2,
"15,8 tỷ VNĐ",Đường Nghi Tàm phường Yên Phụ, 110m2, 5,12/07/2022,Tin thường,batdongsan_so_com_vn_1670508408.2575884, 5, 5, 5, 5,
