price,address,Diện tích,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Mặt tiền,Lộ giới,Số toilet
"2,6 tỷ VNĐ",Nguyễn Khánh Toàn Quan Hoa Cầu Giấy, 34m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508479.615492,,,,,
"3,85 tỷ VNĐ",Trung Kính Trung Hòa Cầu Giấy, 33m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508481.10701,,,,,
6 tỷ VNĐ,Đường Láng, 48m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508482.6707096, 6, 5,,,
11 tỷ VNĐ,"Long Biên, Hà Nội", 91m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508484.300339, 5, 5, 4,,
"5,32 tỷ VNĐ",Nguyễn KHánh Toàn, 60m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508485.4528186,,,,,
"5,32 tỷ VNĐ",Nguyễn KHánh Toàn, 60m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508486.4712322,,,,,
"10,5 tỷ VNĐ",Đường Đặng Văn Ngữ phường Nam Đồng, 65m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508487.9947052, 4, 4, 6, 3, 5
,Đường Thụy Khuê, 58m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508492.127947, 4,,,,
"7,9 tỷ VNĐ",Đường Văn Cao phường Vĩnh Phúc, 40m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508493.3348227, 3, 4, 8, 5, 3
6 tỷ VNĐ,văn quán, 50m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508494.840267, 4, 4, 4,, 3
"2,2 tỷ VNĐ",Đường Tôn Đức Thắng phường văn Chuong, 30m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508496.248826,,,, 1,
"14,5 tỷ VNĐ",Phố Chùa Láng, 55m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508497.2749898, 5, 4,,, 5
,Đường Cao Lỗ phường Đông Anh, 87m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508498.3923147,,,,,
"4,5 tỷ VNĐ","Khương Đình, Thanh Xuân, Hà Nội.", 37m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508500.0334096, 5, 4, 3, 2,
"6,3 tỷ VNĐ","Khương Hạ , Thanh Xuân , Hà Nội", 45m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508502.0288274, 5, 6, 4, 3, 4
11 tỷ VNĐ,Quận Bắc Từ Liêm, 72m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508503.337906,,,,,
12 tỷ VNĐ,"Xuân La, Tây Hồ, Hà Nội", 60m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508505.0191417,,,,,
,Bán nhà Lê Thanh Nghị - Trần Đại Nghĩa 110m 6T SĐCC 360tr/m, 110m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508506.578931,,,,,
"2,7 tỷ VNĐ","Ngọc Thụy, Long Biên, Hà Nội", 31m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508507.9865265,,,,,
"5,2 tỷ VNĐ",Đường Văn Quán phường Văn Quán, 48m2,11/07/2022,Tin thường,batdongsan_so_com_vn_1670508509.6273816, 4, 4, 3, 4, 3
