price,address,Diện tích,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Hướng,Lộ giới,Số phòng ngủ,Số toilet
3 tỷ VNĐ,Hà Trì - Hà Đông, 34m2, 5,19/11/2022,Tin thường,batdongsan_so_com_vn_1670445989.026696,,,,,
"8,2 tỷ VNĐ",Lý Thường Kiệt - Hà Đông, 50m2,,19/11/2022,Tin thường,batdongsan_so_com_vn_1670445992.0380764, 5,,,,
7 tỷ VNĐ,LK La Khê, 50m2, 5,19/11/2022,Tin thường,batdongsan_so_com_vn_1670445994.9459257, 3, Đông nam, 12, 6, 4
"39,7 tỷ VNĐ",LÊ THANH NGHỊ HAI BÀ TRƯNG HÀ NỘI, 100m2,,19/11/2022,Tin thường,batdongsan_so_com_vn_1670445997.5238774, 8,,,,
"18,5 tỷ VNĐ",phường bưởi, 66m2,,19/11/2022,Tin thường,batdongsan_so_com_vn_1670445999.9945056,,,,,
"18,5 tỷ VNĐ",phường bưởi, 66m2,,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446002.7286284,,,,,
"11,8 tỷ VNĐ","Đường Láng Hạ, Láng Hạ, Đống Đa", 60m2, 5,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446005.701547,,, 5, 5, 3
68 ngàn VNĐ,"Đường Quang Tiến, Tây Mỗ, Nam Từ Liêm", 41m2, 1,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446008.2545764, 5,, 30, 1,
71 triệu VNĐ,"Đường Đội cấn, Đội Cấn, Ba Đình", 70m2, 4,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446011.261647, 4,, 3, 4, 3
"6,85 tỷ VNĐ","Đường Tố Hữu, Mộ Lao, Hà Đông", 45m2, 5,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446014.04904, 4,, 3,,
,"Đường Quốc lộ 32, Tân Lập, Đan Phượng", 77m2,,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446017.5681362,,,,,
"9,9 tỷ VNĐ","Đường Hoàng Đạo Thành, Kim Giang, Thanh Xuân", 45m2, 6,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446020.4153216, 3,, 8, 4, 4
"9,3 tỷ VNĐ","Đường Cầu Giấy, Quan Hoa, Cầu Giấy", 50m2, 6,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446023.240342, 5,, 8, 6,
"10,9 tỷ VNĐ","Thanh Xuân, Hà Nội", 48m2,,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446025.7013843,,,,,
"3,75 tỷ VNĐ","Đường Phạm Hùng, Mỹ Đình 1, Nam Từ Liêm", 128m2, 1,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446028.2915246,,, 30, 3, 2
3 tỷ VNĐ,"Đường Kim Đồng, Giáp Bát, Hoàng Mai", 47m2, 4,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446031.0118532, 41,, 3,,
"4,5 tỷ VNĐ","Đường Đội cấn, Đội Cấn, Ba Đình", 40m2, 5,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446033.7345052, 5,, 4, 3, 4
"5,9 tỷ VNĐ",phường mai dịch, 40m2,,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446036.3211126,,,,,
"2,5 tỷ VNĐ","Đường Nhân Hòa, Nhân Chính, Thanh Xuân", 26m2,,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446038.3706064,,, 2,,
"1,45 tỷ VNĐ","HUỲNH VẰN NGHỆ, SÀI ĐỒNG,", 68m2, 10,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446040.8827434,, Đông,, 2, 2
