price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Lộ giới,Hướng,Mặt tiền
"6,6 tỷ VNĐ","Phường Phương Mai, Phố Lương Định Của", 43m2, 4, 4, 3,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508947.7593882,,,
"3,65 tỷ VNĐ",Đường Định Công Thượng phường Định Công, 34m2, 4, 4, 3,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508948.9272113, 3,,
4 ngàn VNĐ,Đường Tây Sơn  phường Trung Liệt, 40m2,,,,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508950.5214906, 1,,
"4,5 tỷ VNĐ",ngõ 203 Kim Ngưu, 56m2, 4, 4, 3,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508951.80602, 3, Bắc, 10
10 tỷ VNĐ,Đường Thụy Khuê phường Thụy Khuê, 50m2, 5, 8, 5,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508952.7490356, 10,, 5
"7,9 tỷ VNĐ",Xuân THủy, 65m2, 6,,,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508953.874637,,,
"7,7 tỷ VNĐ",Khương Đình, 46m2, 6, 5,,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508955.0835462,,, 5
"4,5 tỷ VNĐ",Quang Trung, 59m2, 3, 3, 2,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508956.2056844,,,
"2,4 tỷ VNĐ",Đường Linh Đàm phường Đại Kim, 68m2, 1, 2, 2,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508957.4069667, 1,,
5 tỷ VNĐ,Cầu Diễn, 62m2, 1, 1, 1,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508958.376893,,, 5
"4,3 tỷ VNĐ",Đường Hoàng Hoa Thám phường Vĩnh Phúc, 35m2, 5, 3, 4,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508961.4483724, 3,, 3
"4,35 tỷ VNĐ",168 Kim Giang, 39m2, 5, 4, 4,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508962.5973132,,, 3
"6,2 tỷ VNĐ",Lê Đức Thọ, 45m2, 5, 5,,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508963.700759,,, 4
"3,45 tỷ VNĐ",Đường Xuân La phường Bưởi, 30m2, 5, 3, 4,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508965.2257488, 3,, 3
"1,18 tỷ VNĐ",Yết Kiêu, 45m2,, 2, 2,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508966.3597436,,,
"3,3 tỷ VNĐ","TỨ HIỆP, THANH TRÌ, HÀ NỘI", 39m2,,,,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508967.6781688,,,
,phúc Lợi, 41m2, 1, 2, 1,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508968.6815257,,,
"3,8 tỷ VNĐ","TỨ HIỆP, THANH TRÌ, HÀ NỘI", 38m2,,,,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508970.546143,,,
4 tỷ VNĐ,Minh Khai - Hà Nội, 80m2,,,,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508971.7121136,,,
"5,8 tỷ VNĐ",Đường Cầu Giấy phường Dịch Vọng, 55m2, 3, 4, 3,09/07/2022,Tin thường,batdongsan_so_com_vn_1670508973.0119102, 3,, 3
