price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Số toilet
68 tỷ VNĐ,Phố Thái Thịnh, 130m2, 18, 9, 4,12/11/2020,Tin thường,batdongsan_so_com_vn_1670509049.7950418,
58 tỷ VNĐ,Hoàng Ngân, 145m2, 8, 9,,21/11/2020,Tin thường,batdongsan_so_com_vn_1670509053.8452466,
50 tỷ VNĐ,Đặng Thùy Trâm, 118m2, 8, 9,,22/11/2020,Tin thường,batdongsan_so_com_vn_1670509054.8954504,
760 triệu VNĐ,"Linh Quang, Văn Chương, Đống Đa", 35m2,, 6, 1,08/07/2022,Tin thường,batdongsan_so_com_vn_1670509056.032206, 1
36 tỷ VNĐ,Tô Vĩnh Diện, 89m2, 5,,,24/11/2020,Tin thường,batdongsan_so_com_vn_1670509057.0196013,
40 tỷ VNĐ,Hoàng Văn Thái, 95m2, 7, 9,,24/11/2020,Tin thường,batdongsan_so_com_vn_1670509058.2130432,
75 tỷ VNĐ,Nam Trung Yên, 184m2, 13,,,26/11/2020,Tin thường,batdongsan_so_com_vn_1670509059.329409,
50 tỷ VNĐ,Nguyễn Xiển, 160m2, 6, 8,,26/11/2020,Tin thường,batdongsan_so_com_vn_1670509060.4913094,
64 tỷ VNĐ,Dịch Vọng Hậu, 150m2, 8,,,27/11/2020,Tin thường,batdongsan_so_com_vn_1670509061.5403743,
36 tỷ VNĐ,Mễ Trì Thượng, 127m2, 6, 9,,15/05/2021,Tin thường,batdongsan_so_com_vn_1670509062.564066,
48 tỷ VNĐ,Vũ Tông Phan, 100m2, 9,,,24/05/2021,Tin thường,batdongsan_so_com_vn_1670509063.767928,
80 tỷ VNĐ,Trần Thái Tông, 185m2, 10,,,27/08/2021,Tin thường,batdongsan_so_com_vn_1670509065.029151,
73 tỷ VNĐ,Lê Đức Thọ, 210m2, 14, 9,,30/11/2021,Tin thường,batdongsan_so_com_vn_1670509066.4724126,
60 tỷ VNĐ,Nam Đồng, 135m2, 6,,,30/11/2021,Tin thường,batdongsan_so_com_vn_1670509067.772733,
65 tỷ VNĐ,Nguyễn Khang, 120m2, 8,,,01/12/2021,Tin thường,batdongsan_so_com_vn_1670509069.3743334,
200 tỷ VNĐ,Hàng Chuối, 230m2, 11,,,11/12/2021,Tin thường,batdongsan_so_com_vn_1670509070.5078874,
51 tỷ VNĐ,Nguyễn Khang, 165m2, 8,,,13/12/2021,Tin thường,batdongsan_so_com_vn_1670509071.8006587,
86 tỷ VNĐ,Quang Trung, 290m2, 13,,,12/01/2022,Tin thường,batdongsan_so_com_vn_1670509073.079846,
50 tỷ VNĐ,Trần Duy Hưng, 150m2, 10,,,14/01/2022,Tin thường,batdongsan_so_com_vn_1670509074.1689572,
48 tỷ VNĐ,Quang Trung, 135m2, 7,,,24/01/2022,Tin thường,batdongsan_so_com_vn_1670509075.2117968,
