price,address,Diện tích,Ngày đăng,Loại tin,id,Hướng,Số tầng,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới
"3,39 tỷ VNĐ",Nguyễn Văn Linh, 40m2,08/07/2022,Tin thường,batdongsan_so_com_vn_1670509165.2147312,,,,,,
"2,3 tỷ VNĐ",Đức Thượng huyện Hoài Đức Hà Nội, 40m2,08/07/2022,Tin thường,batdongsan_so_com_vn_1670509167.2648144, Tây nam, 4, 3, 3,,
"3,8 tỷ VNĐ",ngõ 120 Dương Văn Bé, 35m2,08/07/2022,Tin thường,batdongsan_so_com_vn_1670509168.4321299, Bắc, 5, 3, 4, 3, 3
"1,8 tỷ VNĐ",Đường Vũ Lăng phường Tứ Hiệp, 70m2,08/07/2022,Tin thường,batdongsan_so_com_vn_1670509170.153729,, 16, 2, 2, 7, 10
850 triệu VNĐ,Hà Hương Dịu chuyên tư vấn các dự án Thấp tầng và CHCC cao cấp mới của chủ đầu tư Vinhomes - 0354599046, 28m2,08/07/2022,Tin thường,batdongsan_so_com_vn_1670509171.39264,,,,,,
"3,8 tỷ VNĐ",Đường Giải Phóng phường Tân Mai, 30m2,08/07/2022,Tin thường,batdongsan_so_com_vn_1670509172.8263624,, 5, 3, 4, 3, 2
"4,85 tỷ VNĐ",ngõ 104 Nguyễn An Ninh, 45m2,08/07/2022,Tin thường,batdongsan_so_com_vn_1670509174.1581464, Tây, 5, 4, 3, 4, 3
"17,7 tỷ VNĐ",Đường Trần Quốc Vượng phường Dịch Vọng Hậu, 82m2,08/07/2022,Tin thường,batdongsan_so_com_vn_1670509176.2356668,, 5, 6, 6, 7, 10
"4,5 tỷ VNĐ",Đường Trung Oai phường Vân Nội, 52m2,08/07/2022,Tin thường,batdongsan_so_com_vn_1670509177.4659274,,,,, 4,
"3,8 tỷ VNĐ","Ái Mộ, Bồ Đề, Long Biên, Hà Nội", 26m2,08/07/2022,Tin thường,batdongsan_so_com_vn_1670509180.7407615,, 4, 3,, 4, 4
"2,2 tỷ VNĐ",Đường Tả Thanh Oai phường Tả Thanh Oai, 35m2,08/07/2022,Tin thường,batdongsan_so_com_vn_1670509182.1553912,, 4, 3, 2,, 1
170 tỷ VNĐ,Đường Tràng Thi phường Hàng Bông, 268m2,08/07/2022,Tin thường,batdongsan_so_com_vn_1670509183.7277894,, 3, 4, 4, 9, 30
"28,5 tỷ VNĐ",đường Di Trạch, 70m2,08/07/2022,Tin thường,batdongsan_so_com_vn_1670509185.0709982,, 1, 1,, 4,
"1,05 tỷ VNĐ",Đường Liên Xã phường Xuân Nộn, 47m2,08/07/2022,Tin thường,batdongsan_so_com_vn_1670509186.2172515,,,,,,
13 tỷ VNĐ,Đường Nguyễn Văn Cừ phường Gia Thụy, 76m2,08/07/2022,Tin thường,batdongsan_so_com_vn_1670509187.3529584,, 5, 5, 5, 4, 8
7 tỷ VNĐ,Hồ Tùng Mậu, 100m2,08/07/2022,Tin thường,batdongsan_so_com_vn_1670509188.4363806,, 1, 1,, 5,
"13,9 tỷ VNĐ",Đường Nguyễn Xiển phường Thanh Xuân Nam, 60m2,08/07/2022,Tin thường,batdongsan_so_com_vn_1670509193.2403793,, 6, 6, 8, 4, 8
18 tỷ VNĐ,Đường Mễ Trì phường Mễ Trì, 95m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509195.4933496,, 5, 5, 5, 7, 5
"3,98 tỷ VNĐ",Đường Xuân Thủy phường Mai Dịch, 35m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509196.788818,, 4, 6, 6, 3, 4
"9,8 tỷ VNĐ",Đường Nghĩa Đô phường Nghĩa Đô, 70m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509198.1096466,, 7, 16, 16, 5, 4
