price,address,Diện tích,Mặt tiền,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Số tầng,Lộ giới
20 tỷ VNĐ,"Nguyễn Huy Tưởng, Thanh Xuân,Hà Nội", 68m2, 5, 5, 5,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509273.8953445,,
"7,6 tỷ VNĐ",Thụy Khuê Tây Hồ, 30m2, 3, 3, 6,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509275.3334713, 6,
760 triệu VNĐ,"Văn Chương, Đống Đa", 35m2,, 1, 1,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509276.3237855, 6,
"4,5 tỷ VNĐ",85 Hạ Đình -  Thanh Xuân - Hà Nội, 35m2, 5, 4, 4,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509277.4589813, 4,
10 tỷ VNĐ,Đường Đông Quan phường Nghĩa Đô, 42m2, 4, 6, 7,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509278.5823803, 7, 4
"4,3 tỷ VNĐ",Thượng Đình, 34m2,, 4,,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509279.7311823, 6,
"3,8 tỷ VNĐ","Bồ Đề, Long Biên, Hà Nội", 26m2, 4, 3,,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509280.7830675, 4, 4
"1,17 tỷ VNĐ",Đường Hoàng Quốc Việt phường Quan Hoa, 60m2, 5, 4, 4,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509282.4896986, 5, 6
"4,9 tỷ VNĐ",Đường đê la thành, 48m2, 3, 4,,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509284.0205276, 5,
320 tỷ VNĐ,"võ chí công, cầu giấy", 915m2, 25, 1, 1,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509285.6720252, 1,
8 tỷ VNĐ,Đường  phường Long Biên, 50m2,,,,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509286.6804113,,
"1,1 tỷ VNĐ","Trần Phú, Hà Đông, Hà Nội", 54m2,,,,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509288.6592202,,
"7,4 tỷ VNĐ",Vạn Phúc- Hà Đông, 50m2,,,,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509289.7273424, 5,
"7,4 tỷ VNĐ",Giếng Sen- Hà Đông, 50m2,,,,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509290.947217, 5,
"7,4 tỷ VNĐ",Giếng Sen- Hà Đông, 50m2,,,,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509291.8787305, 5,
"7,4 tỷ VNĐ",Vạn Phúc- Hà Đông, 50m2,,,,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509293.031175, 5,
"12,5 tỷ VNĐ",Đường Xuân Thủy phường Dịch Vọng Hậu, 62m2, 4, 10, 10,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509298.817541, 7, 10
2 tỷ VNĐ,Đường Nguyễn Mậu Tài phường Trâu Quỳ, 120m2,, 4, 3,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509300.3110335,, 10
4 tỷ VNĐ,Đường Kim Mã Thượng phường Cống Vị, 38m2, 4, 4, 4,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509301.7440548, 5, 2
"3,95 tỷ VNĐ","Đường Định Công, Quận Hoàng Mai, Thành phố Hà Nội", 40m2,,,,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509303.256978, 5,
