price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số toilet,Số phòng ngủ
6 tỷ VNĐ,phường phú đô, 50m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446101.9548888,,,,,
125 tỷ VNĐ,"Đường Lạc Long Quân, Nhật Tân, Tây Hồ", 194m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446104.51401, 26, 50, 7, 7,
"4,5 tỷ VNĐ","Đường Đội cấn, Ngọc Hà, Ba Đình", 38m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446107.0238085, 5, 4, 5, 4, 3
"6,5 tỷ VNĐ","Đường Đình Thôn, Mỹ Đình 1, Nam Từ Liêm", 142m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446109.7025447, 4, 10, 1, 3, 4
200 triệu VNĐ,"Đường Nguyễn Khang, Trung Hòa, Cầu Giấy", 250m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446111.4126148, 10,,,,
"3,28 tỷ VNĐ","đương ngô gia tự, phường đức giang, quận long biên, hà nội", 35m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446114.507006,,, 5,, 3
"3,28 tỷ VNĐ","đương ngô gia tự, phường đức giang, quận long biên, hà nội", 35m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446116.8529174,,, 5,, 3
"7,4 tỷ VNĐ","Đường Thái Hà, Trung Liệt, Đống Đa", 46m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446119.323207,, 4, 5, 4, 6
200 triệu VNĐ,"Đường Nguyễn Khang, Trung Hòa, Cầu Giấy", 250m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446121.6824105, 10,,,,
"13,2 tỷ VNĐ","Nhà 5 tầng tại Nghi Tàm, Tây Hồ, gara ô tô đường 2 xe tải tránh 13,2 tỷ; 0944498989", 98m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446123.9938767,,,,,
"5,1 tỷ VNĐ","Đường Kim Hoa, Phương Liên, Đống Đa", 56m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446127.2531219,, 4, 7, 6, 9
,TRẦM LỘNG ƯNG HÒA, 80m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446129.2432418,,,,,
"2,7 tỷ VNĐ",Tân Mai, 35m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446131.6838448,,,,,
"2,7 tỷ VNĐ",Tân Mai, 35m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446133.4676545,,,,,
"12,5 tỷ VNĐ","Đường Hoàng Ngân, Nhân Chính, Thanh Xuân", 45m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446135.6484284, 6, 30, 7,, 6
98 tỷ VNĐ,"Đường Hàng Cót, Hàng Mã, Hoàn Kiếm", 161m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446138.9068305, 4, 11, 2, 5, 5
"2,7 tỷ VNĐ","Đường Tây Mỗ, Tây Mỗ, Nam Từ Liêm", 58m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446141.3264112, 6,,,,
9 tỷ VNĐ,"đường Hoàng Mai, Quận Hoàng Mai", 71m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446145.4539704, 9,, 5,,
9 tỷ VNĐ,"đường Hoàng Mai, Quận Hoàng Mai", 71m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446148.674922, 9,, 5,,
"4,1 tỷ VNĐ","Đường Thụy Khuê, Bưởi, Tây Hồ", 26m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446150.6635003, 5, 3, 5, 3, 3
