price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Số toilet,Lộ giới
7 tỷ VNĐ,Tây Sơn, 54m2, 4, 4, 5,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509423.2773342,,
"3,25 tỷ VNĐ","Thanh Trì, Hà Nội", 45m2,,,,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509424.533511,,
"3,65 tỷ VNĐ","Đường Kim Giang, Quận Hoàng Mai, Thành phố Hà Nội", 40m2,, 4,,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509425.825106,,
"6,9 tỷ VNĐ","Ba Đình, Hà Nội", 75m2, 4, 4, 3,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509427.1940305, 3,
"4,1 tỷ VNĐ",Văn Phú- Hà Đông, 40m2,, 5,,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509428.2717037,,
"4,2 tỷ VNĐ",Văn La- Hà Đông, 41m2,, 5,,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509429.378288,,
"4,2 tỷ VNĐ",Văn La- Hà Đông, 41m2,, 5,,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509430.4813795,,
"4,1 tỷ VNĐ",Văn Phú- Hà Đông, 40m2,, 5,,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509431.66355,,
10 tỷ VNĐ,Đường Tây Sơn phường Ngã Tư Sở, 45m2, 4, 5, 4,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509432.8536086, 5, 6
5 tỷ VNĐ,Thịnh Quang, 38m2, 4, 6, 5,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509434.1061,,
"3,2 tỷ VNĐ","trần cung, cổ nhuế 1, bắc từ liêm", 41m2,, 4, 4,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509435.4627736, 4,
"1,9 tỷ VNĐ",ngõ 203 Kim Ngưu, 55m2,,,,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509436.6206775,,
"13,3 tỷ VNĐ",KĐT Văn Khê, 83m2, 5, 5, 4,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509438.1562548, 4, 10
5 tỷ VNĐ,40, 40m2, 4, 6, 5,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509441.8163157,,
,Đường Hoàng Quốc Việt phường Nghĩa Đô, 97m2, 5, 1, 2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509443.0580819, 1, 3
,Đường Hoàng Quốc Việt phường Nghĩa Đô, 97m2, 5, 1, 2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509444.1472905, 1, 3
3 tỷ VNĐ,Đường nguyễn văn linh phường phúc đồng, 34m2,, 5, 3,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509445.6457953,, 3
4 tỷ VNĐ,Đường Nguyễn Văn Cừ phường Gia Thụy, 34m2,, 5, 4,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509446.752098, 4, 3
"5,5 tỷ VNĐ",Đường 19 tháng 5 phường Văn Quán, 40m2, 4, 5, 4,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509447.863641, 4, 10
"11,7 tỷ VNĐ",Hoàng Văn Thái, 45m2, 4, 5, 4,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509448.979203, 4, 8
