price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Lộ giới
"4,52 tỷ VNĐ",460 Khương Đình – Thanh Xuân, 39m2, 5, 4, 4,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509519.2195084,,,
"6,5 tỷ VNĐ",Ngõ Phùng Chí Kiên, 36m2, 5, 4, 4,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509520.6725886, Nam, 4, 2
6 tỷ VNĐ,Đường Tây mỗ, 56m2, 5, 5, 4,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509521.8858292, Bắc, 4,
"7,5 tỷ VNĐ","Nhà phân lô phố Lạc Trung, 52.7m2 x 6 tầng, Ô TÔ VÀO NHÀ- GIÁ RẺ BẤT NGỜ - 094 567 6597", 52m2,,,,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509523.9641418,,,
"5,5 tỷ VNĐ",trần cung, 50m2, 5, 9, 9,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509525.1242585,, 5, 5
3 tỷ VNĐ,Đường Mậu Lương phường Kiến Hưng, 40m2, 4, 4, 3,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509526.1361055,, 4, 3
"10,5 tỷ VNĐ",Đường Lâm Hạ phường Gia Thụy, 83m2, 5, 5,,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509527.370346,, 5, 7
3 tỷ VNĐ,"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội", 35m2, 4,,,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509529.3905988,,,
"1,8 tỷ VNĐ",Đường Biên Giang phường Biên Giang, 33m2, 1, 1, 1,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509530.678987,, 4, 8
6 tỷ VNĐ,"Khương Trung, thanh Xuân, Hà Nội", 52m2,,,,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509531.788052,,,
999 triệu VNĐ,Đường 420 xã Bình Yên, 100m2,,,,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509532.8285239,, 4,
3 tỷ VNĐ,K2 Cầu DIễn Nam Từ Liêm Hà Nội, 80m2,, 2, 2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509534.5897741, Đông nam,,
"3,9 tỷ VNĐ","Bán nhà tầng 1, ngõ 106 Minh Khai, Hai Bà Trưng, 0983862828", 47m2,,,,04/07/2022,Tin thường,batdongsan_so_com_vn_1670509535.6280026,,,
885 triệu VNĐ,Đường Đường 131 phường Quang Tiến, 59m2,,,,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509537.213787,, 4,
"7,15 tỷ VNĐ",Tư Đình, 55m2,,,,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509539.0582123,,,
"2,1 tỷ VNĐ",Lâm Du, 27m2,,,,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509540.6001797,,,
"1,5 tỷ VNĐ",Đường Sài Đồng phường Sài Đồng, 60m2, 10, 2, 2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509541.8566322,,, 10
"6,5 tỷ VNĐ",trần phú, 40m2, 5, 3, 4,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509542.9590979,, 4,
"1,8 tỷ VNĐ",Đường 19 tháng 5 phường Yên Nghĩa, 33m2, 2, 2, 2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509544.6002707,, 4, 3
"12,3456 tỷ VNĐ",Xuân Thủy, 60m2,,,,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509548.6123333,,,
