price,address,Diện tích,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Hướng,Mặt tiền,Lộ giới
"6,8 tỷ VNĐ",PHƯỜNG MAI DỊCH, 50m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446211.560191,,,,,,
"4,15 tỷ VNĐ",TRẦN HỮU DỰC NAM TỪ LIÊM HÀ NỘI, 104.3m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446213.8555033, 10, 3, 2,,,
"68,5 tỷ VNĐ","Chính chủ cần Bán nhà mặt phố Trung Kính Trung Hòa Vũ Phạm Hàm Trần Duy Hưng Cầu Giấy dt 140 m2 giá 68,5 tỷ", 140m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446215.93168, 10, 8,, Bắc, 6, 20
"16,8 tỷ VNĐ","Chính chủ cần bán gấp nhà 196 Cầu Giấy Nguyễn Văn Huyên Nguyễn Khánh Toàn Quan Hoa Cầu Giấy dt 58 m2 giá 16,8 tỷ", 58m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446218.8122542, 8, 6,, Tây bắc, 4, 6
"24,8 tỷ VNĐ","Chính chủ cần bán gấp nhà mặt ngõ Phố Đội Cấn Liễu Giai Ba Đình dt 65 m2 giá 24,8 tỷ", 68m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446220.8005905, 8, 6,, Đông bắc, 8, 8
"2,25 tỷ VNĐ","Đường Bạch Đằng, Bạch Đằng, Hai Bà Trưng", 26m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446223.3634415, 3, 2, 3,, 3, 3
5 tỷ VNĐ,"Đường Trần Duy Hưng, Trung Hòa, Cầu Giấy", 45m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446225.3058596, 5, 4, 3,, 5, 3
"4,45 tỷ VNĐ",Hồ Tùng Mậu, 62m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446228.403193,,,,, 3, 2
4 tỷ VNĐ,"Đường Nguyễn An Ninh, Tương Mai, Hoàng Mai", 53m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446230.7569752, 5,,,, 4, 3
"9,6 tỷ VNĐ",Mạc Thái Tổ Cầu Giấy, 40m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446233.2425754, 5, 2, 3,, 5,
,"Đường Mỹ Đình, Mỹ Đình 1, Nam Từ Liêm",,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446235.0041513, 5,,,,, 4
"9,5 tỷ VNĐ","Đường hoàng ngân, Trung Hòa, Cầu Giấy", 55m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446237.548409, 7, 12, 12,, 5, 3
"4,75 tỷ VNĐ","Đường Nguyễn Khang, Dịch Vọng, Cầu Giấy", 47m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446239.8576128, 4, 3,,,, 3
"4,2 tỷ VNĐ","Đường Cầu Giấy, Dịch Vọng, Cầu Giấy", 40m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446242.4226756, 4, 3,,,, 3
550 triệu VNĐ,"Đường Hoàng Văn Thái, Khương Mai, Thanh Xuân", 45m2,19/11/2022,Tin thường,batdongsan_so_com_vn_1670446244.694819, 5, 3, 4, Đông nam, 4, 3
31 tỷ VNĐ,Tức Mạc Hoàn Kiếm Hà Nội, 102m2,18/11/2022,Tin thường,batdongsan_so_com_vn_1670446246.987923, 1, 2,,, 6,
"7,8 tỷ VNĐ","Đường Trần Bình, Mai Dịch, Cầu Giấy", 67m2,18/11/2022,Tin thường,batdongsan_so_com_vn_1670446249.3326402, 5, 9, 9,, 6, 2
"11,2 tỷ VNĐ","Đường Bùi Xương Trạch, Khương Đình, Thanh Xuân", 56m2,18/11/2022,Tin thường,batdongsan_so_com_vn_1670446251.8121698, 7, 5, 3,, 5, 9
78 tỷ VNĐ,Trích Sài Tây Hồ Hà Nội, 92m2,18/11/2022,Tin thường,batdongsan_so_com_vn_1670446254.8072646, 5, 6,,, 10,
"5,5 tỷ VNĐ","Đường Cự Lộc, Thanh Xuân Bắc, Thanh Xuân",,18/11/2022,Tin thường,batdongsan_so_com_vn_1670446256.6268342, 4, 3, 3,,, 6
