price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Số toilet,Hướng,Mặt tiền
"5,5 tỷ VNĐ","Đường Nguyễn Trãi, Thanh Xuân Bắc, Thanh Xuân", 45m2, 3, 6, 10,18/11/2022,Tin thường,batdongsan_so_com_vn_1670446676.9904027,,,
"5,4 tỷ VNĐ","Đường Hồ Ba Mẫu, Quang Trung, Đống Đa",, 1, 5, 3,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446678.7462206,,,
"6,3 tỷ VNĐ","Đường Xã Đàn 2, Ô Chợ Dừa, Đống Đa", 45m2, 6, 5, 6,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446681.4352558,,,
"11,5 tỷ VNĐ","Đường Trung Kính, Trung Hòa, Cầu Giấy", 40m2, 20, 5, 4,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446683.7072098, 4,,
"1,6 tỷ VNĐ","Đường An Đào A, Trâu Quỳ, Gia Lâm", 43m2, 5, 1, 1,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446686.749546, 1, Đông bắc, 5
"4,15 tỷ VNĐ","Đường Nguyễn Khang, Yên Hòa, Cầu Giấy", 32m2, 3, 4, 5,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446689.8246162, 5,, 4
34 tỷ VNĐ,"Đường Tô Ngọc Vân, Quảng An, Tây Hồ", 120m2, 15, 5, 6,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446693.5560286, 6,, 8
3 tỷ VNĐ,"Trung Văn, Nam Từ Liêm", 40m2,,,,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446696.4076843,,,
"3,5 tỷ VNĐ","Đường Thái Hà, Trung Liệt, Đống Đa", 30m2, 3, 2, 2,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446701.6505501, 2,,
"2,9 tỷ VNĐ",Cổ Nhuế, 90m2, 2, 1, 1,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446703.9881203,,, 4
"2,79 tỷ VNĐ","Đường Cầu Am, Vạn Phúc, Hà Đông", 29m2, 3,,,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446706.4524117,,, 6
"3,18 tỷ VNĐ","Đường 179 Vĩnh Hưng, Vĩnh Hưng, Hoàng Mai", 38m2, 3, 5, 3,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446709.1643565, 3,, 4
"2,4 tỷ VNĐ","Đường Long biên 1, Ngọc Lâm, Long Biên", 33m2, 1, 4, 3,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446711.475315, 4, Đông, 3
"1,68 tỷ VNĐ",Đại Mỗ Nam Từ Liêm Hà Nội, 53m2,,, 2,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446714.5445726,,,
"2,65 tỷ VNĐ","Đường Thanh Nhàn, Thanh Nhàn, Hai Bà Trưng", 28m2, 2, 4, 3,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446717.16826, 3,, 3
6 tỷ VNĐ,"Đường Cầu Giấy, Quan Hoa, Cầu Giấy", 40m2, 4, 6, 7,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446719.0443053, 7,, 4
"6,5 tỷ VNĐ","Thanh Xuân, Hà Nội", 48m2,,,,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446721.6505065,,,
"3,1 tỷ VNĐ","Đường Nguyễn Ngọc Vũ, Trung Hòa, Cầu Giấy", 76m2, 30, 1, 2,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446724.5254095, 2,,
7 tỷ VNĐ,"Lê Duẩn, Đống Đa", 48m2,,,,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446727.6526442,,,
"5,9 tỷ VNĐ","Đường Hoàng Văn Thái, Thanh Xuân Nam, Thanh Xuân", 37m2, 3, 4, 4,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446729.9641042, 4,, 5
