price,address,Diện tích,Mặt tiền,Ngày đăng,Loại tin,id,Số tầng,Hướng,Lộ giới,Số phòng ngủ,Số toilet
"1,98 tỷ VNĐ","phố bắc cầu, phường ngọc thụy, quận long biên, hà nội", 55m2, 4,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446900.5374353,,,,,
"9,5 tỷ VNĐ","Phường Láng Thượng, Quận Đống Đa", 45m2, 6,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446903.154771, 6,,,,
"3,2 tỷ VNĐ","Đường Lý Sơn, Thượng Thanh, Long Biên", 78m2, 10,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446905.9037707, 21, Đông nam, 50, 3, 3
"5,35 tỷ VNĐ",Chùa Láng, 42m2, 3,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446926.133462, 6,,, 6,
"13,5 tỷ VNĐ","Đường Hoàng Hoa Thám, Vĩnh Phúc, Ba Đình", 330m2, 33,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446927.5188928, 19,, 30, 4, 4
"2,95 tỷ VNĐ","Đường thái thịnh, Thịnh Quang, Đống Đa", 25m2, 3,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446929.6556752, 3,, 2, 3, 4
"1,8 tỷ VNĐ","Đường Lê Trọng Tấn, An Khánh, Hoài Đức", 66m2,,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446932.8644469,, Đông nam, 1, 2, 1
"22,5 triệu VNĐ","Đường Quốc lộ 21, Bình Yên, Thạch Thất", 120m2, 5,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446935.7973158,,,,,
"2,65 tỷ VNĐ","Đường Khâm Thiên, Khâm Thiên, Đống Đa", 25m2, 4,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446938.7804132, 4,, 2, 3, 4
"2,65 tỷ VNĐ","Đường Khâm Thiên, Khâm Thiên, Đống Đa", 25m2, 4,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446941.7045145, 4,, 2, 3, 4
7 tỷ VNĐ,"Đường Nguyễn Ngọc Vũ, Trung Hòa, Cầu Giấy", 40m2,,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446944.6018221, 4,, 3, 4,
"4,8 tỷ VNĐ","Đường Hồ Tùng Mậu, Mai Dịch, Cầu Giấy", 40m2, 4,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446947.5818067, 4,, 5, 3, 4
"7,5 tỷ VNĐ","Thanh Xuân, Hà Nội", 54m2,,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446950.2661889,,,,,
42 triệu VNĐ,"Đường Thọ Am, Liên Ninh, Thanh Trì", 61m2, 4,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446952.8940685,,,,,
14 tỷ VNĐ,"Đường Ngọc Thụy, Ngọc Thụy, Long Biên", 100m2, 5,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446955.431426,,,,,
970 triệu VNĐ,"Đường 1, Cổ Đông, Sơn Tây", 62m2, 4,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446958.031371,,,,,
"2,95 tỷ VNĐ","Đường Thái Hà, Trung Liệt, Đống Đa", 19m2,,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446960.4616754, 3,, 10, 2, 3
"3,6 tỷ VNĐ","Đường Tôn Đức Thắng, Hàng Bột, Đống Đa", 33m2, 3,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446963.358248, 5,, 5, 5, 5
,426, 80m2,,17/11/2022,Tin thường,batdongsan_so_com_vn_1670446966.0010726,,,,,
