price,address,Diện tích,Mặt tiền,Ngày đăng,Loại tin,id,Số tầng,Lộ giới,Số phòng ngủ,Số toilet,Hướng
"8,2 tỷ VNĐ",Trần Đăng Ninh- Hà Đông, 50m2, 5,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448091.9877317,,,,,
"3,6 tỷ VNĐ",Mỗ Lao- Hà Đông, 35m2,,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448094.302627, 4,,,,
"3,5 tỷ VNĐ",Vạn Phúc- Hà Đông, 35m2,,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448096.7792, 4,,,,
358 tỷ VNĐ,"Đường Đào Duy Từ, Hàng Buồm, Hoàn Kiếm", 302m2, 10,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448098.8953083, 7, 7, 45, 45,
"5,5 tỷ VNĐ","Đường Hoàng Cầu, Ô Chợ Dừa, Đống Đa", 45m2,,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448101.0063307, 5, 7, 4,,
"3,8 tỷ VNĐ","Đường Bế Văn Đàn, Nguyễn Trãi, Hà Đông", 77m2, 7,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448103.4499342, 1, 10, 3,, Tây nam
54 tỷ VNĐ,"Đường Nguyễn Khánh Toàn, Quan Hoa, Cầu Giấy", 120m2, 6,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448106.0358582, 8, 30,,,
6 tỷ VNĐ,"Đường Võng Thị, Bưởi, Tây Hồ", 60m2, 5,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448108.202813, 5, 2, 4, 4,
"4,85 tỷ VNĐ","Đường Mỹ Đình, Mỹ Đình 1, Nam Từ Liêm", 50m2, 4,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448110.509233, 5, 4, 6, 5,
2 tỷ VNĐ,"Đường Bắc Sơn, Thủy Xuân Tiên, Chương Mỹ", 240m2,,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448113.5843434,,,,,
"5,5 tỷ VNĐ","Ngõ 136 Cầu Diễn, Bắc Từ Liêm", 80m2, 7,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448116.7291224, 3, 3, 3,,
"7,3 tỷ VNĐ","Đường Lãng Yên, Bạch Đằng, Hai Bà Trưng", 42m2, 4,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448119.3513246, 5, 5, 3, 4,
5 tỷ VNĐ,"Đường Giáp Bát, Giáp Bát, Hoàng Mai", 68m2, 4,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448121.8999016,, 3,,,
"6,8 tỷ VNĐ","93 Láng Hạ, Đống Đa, Hà Nội", 86m2,,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448124.680984,,, 2, 2, Đông bắc
6 tỷ VNĐ,"Đường Bạch Mai, Cầu Dền, Hai Bà Trưng", 60m2, 10,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448127.122418, 4, 3, 4, 5,
"4,99 tỷ VNĐ","Đường Nguyễn Đình Hoàn, Nghĩa Đô, Cầu Giấy", 43m2, 4,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448129.6166947, 5, 4, 4, 4,
"6,8 tỷ VNĐ","Đường Đặng Văn Ngữ, Nam Đồng, Đống Đa", 40m2,,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448132.0438936, 4, 4, 4, 3,
3 tỷ VNĐ,"Đường Chợ Khâm Thiên, Trung Phụng, Đống Đa", 32m2, 4,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448134.9960394, 4, 50, 3, 3,
"4,5 tỷ VNĐ","Đường Định Công, Định Công, Hoàng Mai", 106m2,,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448137.4183283, 10, 20, 3, 2, Đông nam
"4,4 tỷ VNĐ",Khương Đình, 40m2, 4,14/11/2022,Tin thường,batdongsan_so_com_vn_1670448139.8604114, 5, 4, 4, 4,
