price,address,Diện tích,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số toilet
"5,65 tỷ VNĐ","Đường ngọc Thụy, phường ngọc thụy , Quận Long Biên, Hà Nội", 41m2, 5, 5,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448774.9098735,,,
"11,25 tỷ VNĐ","Đường Lê Đức Thọ, Mỹ Đình 1, Nam Từ Liêm", 98m2, 5, 6,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448776.8858707, 5, 3, 8
"11,5 tỷ VNĐ","Đường Tô Vĩnh Diện, Khương Trung, Thanh Xuân", 64m2, 5, 5,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448779.6372516, 5, 15, 5
"7,8 tỷ VNĐ","Đường Hoàng Cầu, Ô Chợ Dừa, Đống Đa", 55m2, 4,,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448782.5994296, 4, 20, 3
"14,5 tỷ VNĐ","liền kề số TT5-2B -24 Khu đô thị mới Đại Kim, Quận Hoàng Mai", 72m2, 4,,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448784.4242587, 4,,
"14,5 tỷ VNĐ","liền kề số TT5-2B -24 Khu đô thị mới Đại Kim, Quận Hoàng Mai", 72m2, 4,,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448787.4518003, 4,,
"14,5 tỷ VNĐ","liền kề số TT5-2B -24 Khu đô thị mới Đại Kim, Quận Hoàng Mai", 72m2, 4,,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448789.9928267, 4,,
"17,7 tỷ VNĐ","Đường Nguyễn Phong Sắc, Dịch Vọng, Cầu Giấy", 80m2, 5, 5,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448792.483281, 3, 9, 5
,"Đường 69, Tây Mỗ, Nam Từ Liêm",,, 2,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448795.1579015,, 1, 2
,"Đường Lê Đức Thọ, Mỹ Đình 2, Nam Từ Liêm",, 5,,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448797.643886,, 4,
"4,9 tỷ VNĐ","Đường cầu giấy, Quan Hoa, Cầu Giấy", 39m2, 5, 7,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448799.9770064, 1, 2, 8
"15,4 tỷ VNĐ","Đường Chùa Bộc, Quang Trung, Đống Đa", 27m2, 1, 2,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448802.3116477, 7, 30, 2
"5,9 tỷ VNĐ","Đường Khương Trung, Khương Trung, Thanh Xuân", 55m2, 4, 5,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448804.6808875, 3, 3, 3
"6,05 tỷ VNĐ","Đường Xuân Đỉnh, Xuân Đỉnh, Bắc Từ Liêm", 50m2,,,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448807.2734802, 4, 1,
65 tỷ VNĐ,"phố Hàng Hành, Phường Hàng Trống, Quận Hoàn Kiếm, Hà Nội", 43m2, 10,,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448810.3443627,,,
"3,99 tỷ VNĐ","Đường Trần Cung, Nghĩa Tân, Cầu Giấy", 35m2, 5, 3,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448813.5639756, 4, 5, 4
"3,95 tỷ VNĐ","Đường Cầu Noi, Cổ Nhuế 2, Bắc Từ Liêm", 40m2,,,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448815.9723177, 4, 1,
"10,5 tỷ VNĐ","Đường Lê Trọng Tấn, An Khánh, Hoài Đức", 60m2, 4, 4,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448818.4634013, 4, 10, 3
"11,5 tỷ VNĐ","Đường Mạc Thái Tổ, Trung Hòa, Cầu Giấy", 115m2, 4, 4,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448821.5347195,, 15, 4
"5,1 tỷ VNĐ",Dịch Vọng, 40m2, 5, 6,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448823.6992416,,,
