price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Lộ giới,Hướng,Số toilet
"5,1 tỷ VNĐ",Ngõ 155 Cầu Giấy, 40m2, 4, 6, 5,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466522.5695577,,,
"5,2 tỷ VNĐ",Trần Thái Tông, 42m2, 4, 5, 3,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466524.6933315,,,
"2,7 tỷ VNĐ","Đường Tôn Đức Thắng, Hàng Bột, Đống Đa", 30m2,,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466527.2140534, 1,,
"12,5 tỷ VNĐ","Dự án Kim Văn, Phường Đại Kim, Quận Hoàng Mai, Hà Nội", 83m2,, 4,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466529.5294127,,,
10 tỷ VNĐ,"Đường Quốc lộ 32, Phùng, Đan Phượng", 200m2, 8, 3, 6,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466531.698281, 11, Đông nam, 5
"16,5 tỷ VNĐ","Đường Lê Trọng Tấn, Khương Mai, Thanh Xuân", 95m2, 6,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466534.250673, 1,,
21 tỷ VNĐ,"Đặng Tiến Đông, Đống Đa, Hà Nội", 96m2,,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466536.407857,,,
"4,4 tỷ VNĐ","Đường Ngọc Thụy, Ngọc Thụy, Long Biên", 45m2, 3,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466538.6325293,,,
"2,85 tỷ VNĐ","Đường Phạm Văn Đồng, Dịch Vọng Hậu, Cầu Giấy", 70m2,, 1, 2,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466540.8773925, 30,, 2
"4,5 tỷ VNĐ","Cần bán nhà, đất trung tâm Huyện Sóc Sơn, 4,5 tỷ; 0858190000", 178m2,,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466542.935669,,,
"3,4 tỷ VNĐ","Đường Xuân Đỉnh, Cổ Nhuế 1, Bắc Từ Liêm", 35m2,,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466545.9782166, 3,,
"15,6 tỷ VNĐ",93 Láng Hạ, 179m2,,, 4,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466548.5130117,, Đông bắc, 3
"3,15 tỷ VNĐ","Đường Nguyễn Xiển, Tân Triều, Thanh Trì", 76m2,, 1, 2,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466550.639541, 1,, 2
"3,75 tỷ VNĐ","Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội", 35m2, 5, 5, 3,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466553.0768185,,,
25 tỷ VNĐ,Trần Đại Nghĩa, 115m2,, 7,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466557.9157314,,,
"6,5 tỷ VNĐ",Quang Trung- Hà Đông, 58m2, 4,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466560.2058492,,,
"9,3 tỷ VNĐ",Xa La- Hà Đông, 80m2, 5,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466562.9496484,,,
"9,3 tỷ VNĐ",Xa La - Hà Đông, 80m2, 5,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466564.8637433,,,
"6,5 tỷ VNĐ",Quang Trung - Hà Đông, 58m2, 4,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466568.2056224,,,
"12,7 tỷ VNĐ",Hoàng Ngân, 43m2, 4, 7,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466570.3757827,,,
