price,address,Diện tích,Hướng,Lộ giới,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet
"6,8 tỷ VNĐ","Chúc Sơn, Chương Mỹ, Hà Nội", 92m2, Đông, 20, 4,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467877.8040879,,,
5 tỷ VNĐ,"Đường Phú Đô, Phú Đô, Nam Từ Liêm", 40m2,, 2,,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467880.5554996,,,
2 tỷ VNĐ,"Đường Việt Hưng, Việt Hưng, Long Biên", 30m2,, 3,,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467883.1754665, 319, 1, 1
8 tỷ VNĐ,"Cầu Diễn, Bắc Từ Liêm", 101m2,,,,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467885.2342021,,,
"4,2 tỷ VNĐ","Đường Yết Kiêu, Yết Kiêu, Hà Đông", 37m2,, 4, 5,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467887.541934, 3, 3, 3
"4,4 tỷ VNĐ","Đường Láng, Thịnh Quang, Đống Đa", 40m2,, 15, 4,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467889.7981863, 5, 5, 5
"6,5 tỷ VNĐ",259 Phú Diễn, 90m2,, 4, 2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467893.8082497, 7, 10,
8 tỷ VNĐ,136 Cầu Diễn, 106m2,, 5, 1,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467896.5056953, 6, 1,
"5,2 tỷ VNĐ",Phú Diễn, 60m2,, 3, 4,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467899.5459223, 4, 4,
"5,6 tỷ VNĐ","Đường Cầu Giấy, Quan Hoa, Cầu Giấy", 38m2,, 3, 5,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467902.2854385,, 4, 4
"15,6 tỷ VNĐ","Đường Ngụy Như Kon Tum, Thanh Xuân Trung, Thanh Xuân", 50m2,, 12, 4,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467905.3042262, 4, 4, 4
"3,5 tỷ VNĐ","Đường Lĩnh Nam, Lĩnh Nam, Hoàng Mai", 40m2,, 5, 4,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467908.2557847, 5, 6, 4
"4,29 tỷ VNĐ","Đường Minh Khai, Mai động, Hoàng Mai", 40m2,, 2, 4,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467910.533178, 3, 4, 3
"3,5 tỷ VNĐ",khâm thiên, 38m2,,,,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467912.7925446,,,
25 tỷ VNĐ,"Đường Lê Quang Đạo, Phú Đô, Nam Từ Liêm", 77m2,, 30, 5,09/11/2022,Tin thường,batdongsan_so_com_vn_1670467915.0129926, 9, 5, 5
"11,8 triệu VNĐ","Đường Nguyệt Quế 1, Ngọc Lâm, Long Biên", 50m2,, 1, 6,09/11/2022,Tin thường,batdongsan_so_com_vn_1670467917.530521, 4, 3, 4
"3,2 tỷ VNĐ","Đường Ngọc Thụy, Ngọc Thụy, Long Biên", 40m2,,,,09/11/2022,Tin thường,batdongsan_so_com_vn_1670467919.664176, 3,,
"9,6 tỷ VNĐ","Đường Lạc Long Quân, Xuân La, Tây Hồ", 70m2,, 3, 5,09/11/2022,Tin thường,batdongsan_so_com_vn_1670467922.0639741, 6, 4, 4
35 tỷ VNĐ,"Đường Trịnh Công Sơn, Quảng An, Tây Hồ", 85m2,, 30, 2,09/11/2022,Tin thường,batdongsan_so_com_vn_1670467926.8236907, 4, 3, 2
"3,7 tỷ VNĐ","Đường Hoàng Ngân, Trung Hòa, Cầu Giấy", 36m2,, 2, 3,09/11/2022,Tin thường,batdongsan_so_com_vn_1670467930.1510415, 4, 4, 3
