price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Số toilet,Hướng
"6,3 tỷ VNĐ","Đường Phùng Khoang, Trung Văn, Nam Từ Liêm", 45m2,4.0,10.0,4.0,5.0,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468631.269085,,
"19,8 tỷ VNĐ","Đường Trâu Quỳ, Trâu Quỳ, Gia Lâm", 100m2,5.0,30.0,4.0,5.0,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468633.5936205,4.0,
"9,8 tỷ VNĐ","Đường Thụy Khuê, Thụy Khuê, Tây Hồ", 27m2,5.0,20.0,3.0,3.0,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468636.2328222,2.0, Tây nam
"2,5 tỷ VNĐ","Đường Tỉnh lộ 419, Tân Xã, Thạch Thất", 195m2,6.0,,,,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468638.804284,,
12 tỷ VNĐ,"Đường 1, Bồ Đề, Long Biên", 95m2,5.0,4.0,5.0,4.0,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468641.770186,3.0,
"4,2 tỷ VNĐ","Đường Tố Hữu, Trung Văn, Nam Từ Liêm", 112m2,11.0,2.0,,3.0,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468644.3474865,2.0, Nam
39 tỷ VNĐ,KĐT Pháp Vân - Hoàng Minh, 300m2,11.0,,4.0,5.0,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468649.0020816,,
"4,8 tỷ VNĐ","Đường Nguyễn Trãi, Thanh Xuân Nam, Thanh Xuân", 40m2,4.0,1.0,4.0,3.0,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468651.6431122,3.0,
"6,85 tỷ VNĐ","Đường Đào Tấn, Ngọc Khánh, Ba Đình", 61m2,4.0,3.0,4.0,5.0,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468673.332085,3.0,
200 triệu VNĐ,"Đường Nguyễn Khang, Trung Hòa, Cầu Giấy", 250m2,10.0,,,,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468676.2272108,,
