,Price,Area,Mặt tiền,Số phòng ngủ,Hướng ban công,Tình trạng pháp lý,Hướng nhà,Số tầng,Bồn cầu,City,District,Name
0,8000.0,65,None,None,None,None,None,None,None,Hà Nội,Quận Ba Đình,Bán Nhà riêng tại Đường Đào Tấn
1,2800.0,50,None,None,None,None,None,None,None,Hà Nội,Quận Hà Đông,Bán Nhà riêng tại Đường 6
2,2200.0,37,None,None,None,None,None,None,None,Hà Nội,Quận Hà Đông,Bán Nhà riêng tại Phường Yên Nghĩa
3,2850.0,33,None,None,None,None,None,None,None,Hà Nội,Quận Hà Đông,Bán Nhà riêng tại Đường Yên Lộ
4,950.0,50.0,None,3.0,None,None,None,None,None,Hà Nội,Quận Thanh Xuân,Bán Căn hộ chung cư tại Đường Nguyễn Trãi
5,1090.0,45.0,None,2.0,None,None,None,None,1.0,Hà Nội,Quận Hoàng Mai,Bán Nhà riêng tại Đường Giải Phóng
8,2450.0,32,None,None,None,None,None,None,None,Hà Nội,Quận Hà Đông,Bán Nhà riêng tại Đường Tố Hữu
9,6250.0,39,4m,4.0,None,Sổ hồng,Tây-Bắc,5.0,1.0,Hà Nội,Quận Thanh Xuân,Bán Nhà riêng tại Đường Khương Trung
10,2600.0,35,None,None,None,None,None,None,None,Hà Nội,Quận Hà Đông,Bán Nhà riêng tại Đường Nghĩa Lộ
11,Thỏa thuận,"20,6",None,None,None,None,None,None,None,Hà Nội,Quận Thanh Xuân,Bán Nhà riêng tại Phố Cự Lộc
12,3800.0,30,None,None,None,None,None,None,None,Hà Nội,Quận Hoàng Mai,Bán Nhà riêng tại Đường Lĩnh Nam
13,4150.0,34,None,None,None,None,None,None,None,Hà Nội,Quận Hoàng Mai,Bán Nhà riêng tại Đường Đại Từ
14,10000.0,50,None,None,None,None,None,None,None,Hà Nội,Quận Hoàng Mai,Bán Nhà riêng tại Đường Kim Đồng
15,2720.0,30,None,None,None,None,None,None,None,Hà Nội,Quận Hoàng Mai,Bán Nhà riêng tại Đường Tây Trà
16,4800.0,45,None,None,None,None,None,None,None,Hà Nội,Quận Hoàng Mai,Bán Nhà riêng tại Đường Tân Mai
17,25500.0,93,None,None,None,None,None,None,None,Hà Nội,Quận Hoàn Kiếm,Bán Nhà riêng tại Đường Trần Hưng Đạo
19,Thỏa thuận,53,"3,5m",4.0,None,None,None,5.0,None,Hà Nội,Quận Long Biên,Bán Nhà riêng tại Đường Bồ Đề
27,2640.0,88,None,None,None,None,None,None,None,Hà Nội,Huyện Đan Phượng,Bán Đất tại Xã Phương Đình
33,1700.0,66,None,None,None,None,None,None,None,Hà Nội,Huyện Sóc Sơn,Bán Nhà riêng tại Xã Quang Tiến
34,1350.0,45,None,None,None,None,None,None,None,Hà Nội,Huyện Sóc Sơn,Bán Nhà riêng tại Đường Tân Trại
35,6300.0,--,"7,5m",4.0,None,Sổ đỏ,None,6.0,1.0,Hà Nội,Quận Thanh Xuân,Bán Nhà riêng tại Đường Trường Chinh
36,2200.0,127,None,None,None,None,None,None,None,Hà Nội,Huyện Sóc Sơn,Bán Nhà riêng tại Đường 35
38,3950.0,86,None,None,None,None,None,None,None,Hà Nội,Quận Thanh Xuân,Bán Căn hộ chung cư tại Phố Lê Văn Thiêm
39,8000.0,40,None,None,None,None,None,None,None,Hà Nội,Quận Thanh Xuân,Bán Nhà riêng tại Đường Hoàng Văn Thái
40,8000.0,70,None,None,None,None,None,None,None,Hà Nội,Quận Thanh Xuân,Bán Nhà riêng tại Đường Hoàng Văn Thái
41,8800.0,120,None,6.0,None,Sổ đỏ,None,None,None,Hà Nội,Quận Nam Từ Liêm,Bán Nhà riêng tại Đường Phú Đô
42,4500.0,52,None,None,None,None,None,None,None,Hà Nội,Quận Thanh Xuân,Bán Nhà riêng tại Đường Hoàng Văn Thái
43,12000.0,40,None,None,None,None,None,None,None,Hà Nội,Quận Thanh Xuân,Bán Nhà riêng tại Đường Hoàng Văn Thái
44,22500.0,123,None,None,None,None,None,None,None,Hà Nội,Quận Thanh Xuân,Bán Nhà riêng tại Phường Khương Trung
45,41680.0,110,None,None,None,None,None,None,None,Hà Nội,Quận Ba Đình,Bán Nhà riêng tại Phố Liễu Giai
46,39000.0,160,None,None,None,None,None,None,None,Hà Nội,Quận Ba Đình,Bán Nhà riêng tại Phố Kim Mã
47,5500.0,40,None,None,None,None,None,None,None,Hà Nội,Quận Ba Đình,Bán Nhà riêng tại Đường Lê Hồng Phong
48,4850.0,36,None,None,None,None,None,None,None,Hà Nội,Quận Ba Đình,Bán Nhà riêng tại Đường Đội Cấn
49,4650.0,34,None,None,None,None,None,None,None,Hà Nội,Quận Ba Đình,Bán Nhà riêng tại Đường Hoàng Hoa Thám
58,29800.0,70,None,None,None,None,None,None,None,Hà Nội,Quận Đống Đa,Bán Nhà riêng tại Đường Nguyên Hồng
59,2880.0,27,None,None,None,None,None,None,None,Hà Nội,Quận Đống Đa,Bán Nhà riêng tại Đường Cát Linh
60,22000.0,65,None,None,None,None,None,None,None,Hà Nội,Quận Đống Đa,Bán Nhà riêng tại Phố Thái Hà
61,5200.0,41,None,None,None,None,None,None,None,Hà Nội,Quận Đống Đa,Bán Nhà riêng tại Đường Láng
62,11500.0,60,None,None,None,None,None,None,None,Hà Nội,Quận Đống Đa,Bán Nhà riêng tại Phố Láng Hạ
