Title,Price,Area,Address,Gen_descrip,Loại hình,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Số phòng ngủ,Kệ TV,Tủ trang trí,Bàn ghế P.khách,Bình nóng lạnh,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Tình trạng pháp lý,Đường vào,Mặt tiền,Hướng nhà,Số tầng,Nội thất,Máy hút mùi,Tủ bếp,Bàn ăn,Giường ngủ,Bàn phấn,Tủ quần áo,Hướng ban công,Căn góc,Chiều sâu,Đã bao gồm thuế?,Chính chủ hay không?,Sofa phòng khách,Bàn trà,Đệm,Trần thả
"Cần bán nhà đất 5 tầng, 65 m2 tại Đường Đào Tấn - Cống Vị - Ba Đình - Hà Nội, giá 8 tỷ","
8
Tỷ ","
65
m2
","['Hà Nội', 'Quận Ba Đình', 'Bán Nhà riêng tại Đường Đào Tấn']","
Cực hiếm - bán nhà đẹp Ba Đình - Phân Lô - 65 mét vuông x 5 tầng - giá 8 tỉ.Chính chủ là giáo viên về hưu muốn bán về ở với con trai.Nhà nằm trong khu phân lô ngõ 12 Đào Tấn bộ toàn giảng viên về hưu và người nước ngoài dân trí cao yên tĩnh.Bìa đỏ chính chủ, vuông đẹp, không lỗi phong thủy gì.Call ngay em Nam chuyên nhà đẹp Ba Đình đảm bảo tìm cho quý AC căn nhà ưng ý nhất.  
",Nhà riêng, 25/11/2022,25/12/2022,Bán,2041434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cần bán nhanh nhà riêng 4 tầng, 50 m2 tại Đường 6 - Yên Nghĩa - Hà Đông - Hà Nội, giá 2.8 tỷ","
2,8
Tỷ ","
50
m2
","['Hà Nội', 'Quận Hà Đông', 'Bán Nhà riêng tại Đường 6']","
* DT: 51m2.* MT: 4m.* Vị trí:- 100m ra QL6, 400m bến xe Yên Nghĩa - Ga tàu cao tốc trên cao Cát Linh. 5 ph ra ngã ba Bala. Văn Phú.- Xung quanh có đủ, ủy ban nhân dân xã, trung tâm y tế, nhà văn hóa, trường cấp 1,2,3, trường mẫu giáo.- Nhà xây 4 tầng cực kỳ vững chắc có ép cọc, đổ móng bè, full nội thất chỉ về ở.- Bìa đỏ chính chủ.- Tầng 1:  p.khách, bếp ăn +  phòng vệ sinh.- Tầng 2, 3: Mỗi tầng 2 PN +  phòng vệ sinh.- Tầng 4: PN hoặc phòng thờ, khu giặt đồ và sân phơi thoáng rộng, các tầng đều có ban công tiểu cảnh cực đẹp.- Hỗ trợ vay NH lên đến 80 phần trăm.* Giá: 2.7 tỉ có thỏa thuận.L/H: Em Đạt hoặc kết bạn zalo để đc tư vấn và xem nhà free.Ngoài ra em còn 1 số căn tại.Biên Giang Hà Đông: Giá từ 1.8 tỉ/căn.DT: 30 - 35m2 xây mới từ 3 - 4 tầng.Yên Nghĩa Hà Đông: Giá từ: 2 tỉ/căn.DT: 30 - 35m2 xây mới từ 3 - 4 tầng.Phú Lãm Phú Lương Hà Đông: Giá từ: 1.95 tỉ/căn.DT: 35m2 lô góc 4 tầng.  
",Nhà riêng, 25/11/2022,25/12/2022,Bán,2041430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cần bán ngay nhà đẹp 4 tầng, 37 m2 tại Phường Yên Nghĩa - Hà Đông - Hà Nội, giá 2.2 tỷ","
2,2
Tỷ ","
37
m2
","['Hà Nội', 'Quận Hà Đông', 'Bán Nhà riêng tại Phường Yên Nghĩa']","
Rẻ quá ạ. Bạn e cần tiền gấp bán nhà Hà Đông 37m2 bìa đỏ. 4 tầng.Tầng 2 ban công nữa ra hơn 40m2.Ngõ 2m. Cách oto tránh 30m.Nhà mới ở đc 1 năm mà đuối sức NH quá.Chưa bao giờ có giá rẻ như này luôn.Chỉ 2,2 tỉ xách va li về ở thôi.Khu vực an ninh, hang xóm thân thiện.Liên hệ ngay em để đc xem nhà sớm nhất: Triều.  
",Nhà riêng, 25/11/2022,25/12/2022,Bán,2041428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cần bán nhà đẹp 4 tầng, 33 m2 tại Đường Yên Lộ - Yên Nghĩa - Hà Đông - Hà Nội, giá 2.85 tỷ","
2,85
Tỷ ","
33
m2
","['Hà Nội', 'Quận Hà Đông', 'Bán Nhà riêng tại Đường Yên Lộ']","
Nhà ngay cạnh khu đô thị Đô Nghĩa, công viên cây đàn lớn nhất Hà Đông.Oto vào nhà, DT 33m2, bìa đỏ riêng biệt.Tường riêng, móng riêng, cột riêng, oto vào nhà.Thiết kế mỗi tầng 1 phòng, 3 PN, 1 thờ, 3 vệ sinh, sân phơi.Nhà đã có nội thất mới: Bàn ăn, tủ bếp, sàn gỗ, ghế sofa... Chỉ việc về ở.Giá: 2,85 tỉ (có thương lượng).   
",Nhà riêng, 25/11/2022,25/12/2022,Bán,2041417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chính chủ ! Bán chung cư N01 Nguyễn Trãi - Ngã Tư Sở, 2 Đến 3 Phòng Ngủ + 2 Vệ Sinh, Ở Ngay.","
600 - 1300
Triệu ","
40 - 60
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Bán Căn hộ chung cư tại Đường Nguyễn Trãi']","
CHỦ ĐẦU TƯ trực tiếp mở bán không qua môi giới. Cam kết giá rẻ nhất thị trường. Tòa nhà hoàn thiện, thiết kế sang trọng hiện đại, nhiều ánh sáng tự nhiên. Diện tích: 35m2 - 38m2 - 40m2 - 45m2 - 48m2 - 50m2 - 55m2- 60m2 (thiết kế từ 1 - 2 -3 phòng ngủ). Giá bán 600 triệu đến - 850 triệu - 900 triệu - 1.1 tỷ - 1.2 tỷ- 1,380ty (Giá trên đã bao gồm phí VAT Tách sổ đỏ riêng). ***Pháp lý: Khách hàng được nhận sổ đỏ riêng vĩnh viễn, hợp đồng mua bán công chứng nhà nước, giấy phép XD đầy đủ theo quy định pháp luật. - Nhà ở được luôn. Tòa nhà sạch sẽ, thoáng. Tòa nhà được trang bị thang máy nhập khẩu tốc độ cao, thang bộ, bảo vệ 24/24. LIÊN HỆ XEM NHÀ 24/24
",Căn hộ, 25/11/2022,23/12/2022,Bán,1936969,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bán căn hộ chung cư Giải Phóng - Phố Vọng - Full nội thất, sổ hồng từng căn, mới, ở ngay","
680 - 1500
Triệu ","
35 - 55
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Bán Nhà riêng tại Đường Giải Phóng']","
Mở bán  Chung Cư mini K5 – GIẢI PHÓNG – Trường Chinh ở ngay đẹp, rẻ, full đồVỊ trí tòa nhà mini K5: Phố Giải Phóng – Hà Nội. Vị trí trung tâm tiện đi lại. Gần mặt đường chính Giải PhóngNội thất bàn giao có sẵn: Tủ bếp, hút mùi, bếp âm, đèn led trang trí, sàn lát ghạch, …hệ thống cửa chính, phụ đầy đủ, đầu chờ internet, wife có sẵn…Giấy tờ đầy đủ: Sổ đỏ, giấy phép xây dựng tòa nhàHiện tại tòa nhà đã mở bán với nhiều diện tích, căn tầng đẹpDiện tích 30 – 48 – 50m2Giá bán: Dao động từ 680tr – 900 – 1 tỷ - 1,5 tỷChiết khấu ngay 2%Thiết kế 1 - 2 ngủ,  3 ngủ,  1 wcTÒA NHÀ VỪA MỞ BÁN CÒN RẤT NHIỀU CĂN TẦNG ĐẸP ĐỂ BAN LỰA CHỌN – NHẤC MÁY VÀ GỌI: ( TRỰC TIẾP CĐT)
",Nhà riêng, 25/11/2022,23/12/2022,Bán,2024841,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
"Cực phẩm căn hộ 2 phòng ngủ giá chỉ 1,6 tỷ Vinhomes Ocean Park Gia Lâm","
1,6
Tỷ ","
60
m2
",['Bán Căn hộ chung cư  Vinhomes Ocean Park'],"
Căn hộ được thiết kế với phòng khách, khu vực bếp mở, 2 phòng ngủ, 1 vệ sinh, 2 lô gia thoáng mát,...Tổng diện tích căn hộ: 60m2Nội thất nguyên bản chủ đầu tưCăn hộ đã có sổ hồng chính chủGía bán thiện chí: 1,6 tỷ
",Căn hộ, 17/11/2022,15/12/2022,Bán,2032487,2.0,,,,,,,,,Sổ hồng,,,,,,,,,,,,,,,,,,,,
"Bán chung cư quận Đống Đa, nhiều vị trí, đa dạng từng phân khúc, giá từ 550tr đến 1.3 tỷ/căn","
550 - 1300
Triệu ","
28 - 70
m2
","['Hà Nội', 'Bán Căn hộ chung cư tại Quận Đống Đa']","
Để đáp ứng nhu cầu của khách hàng, sở hữu ngôi nhà ngay tại Đống Đa – Trung tâm của Thành phố.Căn hộ được xây dựng chắc chắn, có tầng gửi xe cao thoáng, sạch sẽ.Các phòng có ban công thông thoáng, bảo vệ chuyên nghiệp, thang máy tốc độ cao.Đa dạng từng phân khúc :           + Diện tích từ : 28 – 30 -32 -35 – 43 – 46 – 50 – 60 – 70m2.          + Giá  : 550tr/căn đến 1.3 tỷ/căn.Nội thất : thiết bị vệ sinh đầy đủ, bếp hút mùi, bếp âm, tủ bếp trên, dưới, gạch men chống xước…Có nhiều vị trí Ô TÔ  đỗ cửa hoặc gần trục đường lớn, thuận tiện đi lại, gần nhiều trường ĐH lớn của Quận Đống Đa .Pháp lý đầy đủ theo quy định của pháp luật Việt Nam.CAM KẾT : có sổ hồng cho khách hàng khi mua căn hộ bởi CĐT uy tín.Liên hệ ngay : CĐT ( để chọn được căn đẹp mà lại phù hợp với tài chính của mình).
",Căn hộ, 25/11/2022,23/12/2022,Bán,1433435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nhà cuối Tố Hữu KĐT Đô Nghĩa 30m ra đường ô tô thông SD 32m2*5T, 3PN, 2.45 tỷ Mr. Khanh","
2,45
Tỷ ","
32
m2
","['Hà Nội', 'Quận Hà Đông', 'Bán Nhà riêng tại Đường Tố Hữu']","
* Nhà gần BX Yên Nghĩa, Yên Nghĩa.Nằm trong khu vực cư dân đông đúc, văn minh, đầy đủ tiện ích sinh hoạt. Gần chợ trường học liên cấp di chuyển thuận tiện các nơi.* DT 32 mét vuông*5T 3 PN.Tổng DTXD lên đến 150 mét vuông.* Cụ thể:- Tầng 1: pk, bếp,  phòng vệ sinh, sân sau.- Tầng 2: PN,  phòng vệ sinh.- Tầng 3: PN,  phòng vệ sinh.- Tầng 4: PN,  phòng vệ sinh.- Tầng 5: Phòng thờ, sân phơi.Toàn bộ các phòng đều ngập tràn ánh sáng, thoáng mát.* Nội thất:- Nhà xây chắc chắn, hoàn thiện đẹp. Hệ thống cửa chính hai lớp: Của sắt và cửa kính cường lực. Tủ bếp gỗ sồi nga tự nhiên có đầy đủ chậu rửa, bơm nước..- Thiết bị  phòng vệ sinh đầy đủ bồn rửa mặt, bệ xí, gương kính, đầu chờ bình nóng lạnh.- Toàn bộ hệ thống cửa thông phòng, tay vịn cầu thang đc làm từ gỗ tự nhiên rất chắc chắn.- Thiết bị điện nước.* Pháp lí.- Ngôi nhà đã hoàn thiện đầy đủ nghĩa vụ với nhà nước, có bìa đỏ riêng biệt rõ ràng. Sẵn sàng giao dịch trong ngày cũng như hỗ trợ vay vốn NH lên đến 75 phần trăm giá trị ngôi nhà.LH xem nhà và tư vấn hoàn toàn free nhà Hà Đông.  
",Nhà riêng, 25/11/2022,25/12/2022,Bán,2041389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bán nhà Khương Trung 39m2, 5 tầng 6.25 tỷ ô tô 7 chỗ đỗ cửa","
6,25
Tỷ ","
39
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Bán Nhà riêng tại Đường Khương Trung']","
Bán nhà Khương Trung, Thanh Xuân hơn 6 tỷ oto 7 chỗ thoải mái.Diện tích sổ 36.5m2, diện tích xây dựng 39m2 x 5 tầng, mặt tiền 3.7m vuông vắn, nhà khung bê tông cốt thép còn mới 89% chủ xây để ở, cẩn thận, chắc chắn, hướng Bắc ghé Tây.Đường trước nhà rộng 3.5m oto 7 chỗ ra vào thoải mái, ngõ rất rộng có thể tổ chức tiệc quy mô 10 mâm 6 người, đi lại cực kỳ thoải mái. Khu vực quy hoạch ổn định, nhà cách mặt đường Khương Trung khoảng 108m, cách Ngã Tư Sở khoảng 400m.Giá: 6.25 tỷ, có thương lượng 
",Nhà riêng, 25/11/2022,23/12/2022,Bán,2041421,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sổ hồng,4m,4m,Tây-Bắc,5.0,Có,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
